tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason
"['amazon-web-services', 'amazon-redshift', 'amazon-emr', 'data-warehouse', 'amazon-data-pipeline']","{'account_id': 26639862, 'reputation': 1, 'user_id': 20255735, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0CBE0WR9EafHT4U7KEDHXfPGhSldRWgthTk3h6=k-s256', 'display_name': 'Abi Manoharan', 'link': 'https://stackoverflow.com/users/20255735/abi-manoharan'}",False,56,1,0,1666097397,1665926822,,74087493,CC BY-SA 4.0,https://stackoverflow.com/questions/74087493/how-would-you-use-aws-data-pipeline-elastic-mapreduce-and-redshift-to-perform,"How would you use AWS Data Pipeline, Elastic MapReduce, and Redshift to perform ETL and data warehousing?",,,
"['amazon-web-services', 'apache-spark', 'amazon-data-pipeline']","{'account_id': 5907355, 'reputation': 21, 'user_id': 4648629, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ce4ac3de45012c1ea94c0aee72e92d3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Raghavi Ravi', 'link': 'https://stackoverflow.com/users/4648629/raghavi-ravi'}",False,61,0,0,1665413793,1665413793,,74016848,CC BY-SA 4.0,https://stackoverflow.com/questions/74016848/unable-to-set-spark-defaults-configuration-for-emr-from-data-pipeline,Unable to set spark-defaults configuration for EMR from data pipeline,,,
"['sql-server', 'amazon-web-services', 'odbc', 'amazon-rds', 'amazon-data-pipeline']","{'account_id': 1701511, 'reputation': 365, 'user_id': 1561441, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/c52eee5e5b197d19777ad4b0681ca27d?s=256&d=identicon&r=PG', 'display_name': 'DSC', 'link': 'https://stackoverflow.com/users/1561441/dsc'}",False,414,0,2,1665098038,1665097300,1665098038.0,73980793,CC BY-SA 4.0,https://stackoverflow.com/questions/73980793/how-to-connect-aws-rds-for-sql-server-to-odbc-data-sources-via-linked-server-con,How to connect AWS RDS for SQL Server to ODBC data sources via Linked Server connections?,,,
"['amazon-web-services', 'amazon-redshift', 'amazon-data-pipeline', 'transactional-replication']","{'account_id': 11481022, 'reputation': 5, 'user_id': 8415082, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/19fcb8eadb174907233484946083f52f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'rk0905', 'link': 'https://stackoverflow.com/users/8415082/rk0905'}",False,270,0,0,1663037596,1663037596,,73697083,CC BY-SA 4.0,https://stackoverflow.com/questions/73697083/redshift-to-redshift-ongoing-sync-using-aws-data-pipeline,Redshift to redshift ongoing sync using AWS data pipeline,,,
"['amazon-web-services', 'amazon-s3', 'amazon-dynamodb', 'amazon-data-pipeline', 'data-pipeline']","{'account_id': 5139737, 'reputation': 3278, 'user_id': 4117496, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/c2d8b2befcc632c3bb1566e54be54e87?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Fisher Coder', 'link': 'https://stackoverflow.com/users/4117496/fisher-coder'}",False,248,1,0,1661350840,1661299552,,73466126,CC BY-SA 4.0,https://stackoverflow.com/questions/73466126/cannot-run-aws-data-pipeline-job-due-to-listobjectsv2-operation-access-denied,Cannot run AWS Data Pipeline job due to ListObjectsV2 operation: Access Denied,,,
"['typescript', 'amazon-web-services', 'aws-cdk', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 5139737, 'reputation': 3278, 'user_id': 4117496, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/c2d8b2befcc632c3bb1566e54be54e87?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Fisher Coder', 'link': 'https://stackoverflow.com/users/4117496/fisher-coder'}",True,154,1,0,1661222368,1661200094,,73450672,CC BY-SA 4.0,https://stackoverflow.com/questions/73450672/aws-cdk-datapipeline-how-to-import-an-existing-data-pipeline,AWS CDK DataPipeline how to import an existing data pipeline,,,
"['amazon-web-services', 'amazon-s3', 'amazon-dynamodb', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 5139737, 'reputation': 3278, 'user_id': 4117496, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/c2d8b2befcc632c3bb1566e54be54e87?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Fisher Coder', 'link': 'https://stackoverflow.com/users/4117496/fisher-coder'}",True,74,1,0,1661199886,1661016306,1661052737.0,73428745,CC BY-SA 4.0,https://stackoverflow.com/questions/73428745/aws-data-pipeline-keeps-running-into-filealreadyexistsexception,AWS Data Pipeline keeps running into FileAlreadyExistsException,73450649.0,,
"['amazon-web-services', 'shell', 'amazon-ec2', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 26103988, 'reputation': 1, 'user_id': 19798945, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b87636c203173a6b19483d7ed75135a9?s=256&d=identicon&r=PG', 'display_name': 'potato', 'link': 'https://stackoverflow.com/users/19798945/potato'}",False,27,1,0,1663866582,1660882820,,73411796,CC BY-SA 4.0,https://stackoverflow.com/questions/73411796/how-can-i-attaching-an-additional-ebs-volume-to-ec2-from-data-pipeline,How can I attaching an additional EBS volume to EC2 from Data Pipeline?,,,
"['amazon-web-services', 'aws-glue', 'amazon-data-pipeline', 'aws-glue-spark']","{'account_id': 2514323, 'reputation': 392, 'user_id': 2186087, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/c7b4af3bbf67e8f934470de42f263680?s=256&d=identicon&r=PG', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/2186087/sam'}",False,148,0,0,1659630813,1659630813,,73239428,CC BY-SA 4.0,https://stackoverflow.com/questions/73239428/sql-server-bcp-tool-on-aws-glue-job,SQL Server bcp tool on AWS GLUE job,,,
"['amazon-web-services', 'cloud', 'aws-glue', 'amazon-data-pipeline']","{'account_id': 15754453, 'reputation': 86, 'user_id': 11368024, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-1JIPil2tpIc/AAAAAAAAAAI/AAAAAAAAAfs/JzGOADdlCN8/photo.jpg?sz=256', 'display_name': 'Zaheer UD Din Baber', 'link': 'https://stackoverflow.com/users/11368024/zaheer-ud-din-baber'}",True,3803,2,5,1686682455,1659606341,,73233710,CC BY-SA 4.0,https://stackoverflow.com/questions/73233710/awsglue-accessdeniedexception-status-code-400,"AWSGlue AccessDeniedException, Status Code 400",,,
"['pytest', 'aws-glue', 'amazon-data-pipeline']","{'account_id': 2514323, 'reputation': 392, 'user_id': 2186087, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/c7b4af3bbf67e8f934470de42f263680?s=256&d=identicon&r=PG', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/2186087/sam'}",False,163,1,0,1659630481,1659025818,1659630481.0,73156207,CC BY-SA 4.0,https://stackoverflow.com/questions/73156207/run-pytest-on-glue,Run Pytest on Glue,,,
"['amazon-web-services', 'apache-spark', 'pyspark', 'amazon-emr', 'amazon-data-pipeline']","{'account_id': 17363045, 'reputation': 3, 'user_id': 12578860, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/jk8Lb.png?s=256&g=1', 'display_name': 'ASHISH', 'link': 'https://stackoverflow.com/users/12578860/ashish'}",False,46,0,0,1658332194,1658332194,,73054644,CC BY-SA 4.0,https://stackoverflow.com/questions/73054644/unable-to-run-elasticmap-reduce-pyspark-job-on-aws-datapipeline,Unable to run Elasticmap reduce pyspark job on AWS Datapipeline,,,
"['amazon-web-services', 'amazon-dynamodb', 'serverless-framework', 'amazon-data-pipeline']","{'account_id': 16833450, 'reputation': 31, 'user_id': 12170770, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b9c418b948e754b3a832efe8b94cd287?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Go_dot', 'link': 'https://stackoverflow.com/users/12170770/go-dot'}",False,549,0,1,1652432288,1652362338,1652432288.0,72216561,CC BY-SA 4.0,https://stackoverflow.com/questions/72216561/is-there-a-way-i-can-replicate-a-dynamodb-table-but-add-a-sort-key-to-it,Is there a way I can replicate a DynamoDb table but add a sort key to it?,,,
"['apache-spark', 'amazon-s3', 'amazon-data-pipeline']","{'account_id': 18774397, 'reputation': 5, 'user_id': 13690525, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/3601206596572902/picture?type=large', 'display_name': 'Arnav Jasrotia', 'link': 'https://stackoverflow.com/users/13690525/arnav-jasrotia'}",True,665,1,0,1652292134,1652100538,,72172282,CC BY-SA 4.0,https://stackoverflow.com/questions/72172282/how-to-export-dynamodb-to-s3-as-a-single-file,How to export dynamodb to s3 as a single file?,72205642.0,,
"['amazon-web-services', 'etl', 'pipeline', 'aws-glue', 'amazon-data-pipeline']","{'account_id': 12138765, 'reputation': 316, 'user_id': 8863398, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b585ead91a50355b16eab33d924908c6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Imperial_J', 'link': 'https://stackoverflow.com/users/8863398/imperial-j'}",False,159,0,0,1647364225,1647364225,,71486309,CC BY-SA 4.0,https://stackoverflow.com/questions/71486309/how-to-integrate-an-ingestion-flow-pipeline-with-aws-glue,How to integrate an Ingestion Flow Pipeline with AWS Glue?,,,
"['amazon-web-services', 'amazon-s3', 'amazon-dynamodb', 'amazon-data-pipeline']","{'account_id': 23417305, 'reputation': 109, 'user_id': 17478072, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjMuWqhDqSkbcOIB1lRjF7kog3JOgS6qzZVZ7ahgw=k-s256', 'display_name': 'Rehan CH', 'link': 'https://stackoverflow.com/users/17478072/rehan-ch'}",True,1372,2,4,1657894294,1645026115,,71144872,CC BY-SA 4.0,https://stackoverflow.com/questions/71144872/aws-data-pipeline-didnt-showing-ec2-instance-role,AWS Data Pipeline didn&#39;t showing EC2 instance role,,,
"['amazon-web-services', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 21627565, 'reputation': 241, 'user_id': 15951701, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/74359d5762f23268692908b0a5e6d1c6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'fewfew', 'link': 'https://stackoverflow.com/users/15951701/fewfew'}",False,185,1,0,1641818424,1641813349,,70651537,CC BY-SA 4.0,https://stackoverflow.com/questions/70651537/aws-dynamodb-export-using-data-pipeline-not-working-for-eu-north-1,AWS dynamodb export using data pipeline not working for eu-north-1?,,,
"['amazon-web-services', 'amazon-emr', 'amazon-data-pipeline']","{'account_id': 2127143, 'reputation': 626, 'user_id': 1888955, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/d0e2f63219279e40d238b92a0e057ebc?s=256&d=identicon&r=PG', 'display_name': 'user1888955', 'link': 'https://stackoverflow.com/users/1888955/user1888955'}",False,24,0,1,1629785676,1629785676,,68902563,CC BY-SA 4.0,https://stackoverflow.com/questions/68902563/transform-rows-in-csvs-in-map-reduce-way-on-aws,Transform rows in CSVs in map reduce way on AWS,,,
"['amazon-web-services', 'amazon-s3', 'amazon-dynamodb', 'amazon-data-pipeline']","{'account_id': 8143132, 'reputation': 148, 'user_id': 6132595, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/2KlJ4.jpg?s=256&g=1', 'display_name': 'amazing_milkha', 'link': 'https://stackoverflow.com/users/6132595/amazing-milkha'}",False,142,0,0,1620315216,1620289758,1620315216.0,67414502,CC BY-SA 4.0,https://stackoverflow.com/questions/67414502/export-dynamodb-data-to-s3-and-get-the-presigned-url,Export DynamoDB data to S3 and get the presigned url,,,
"['amazon-web-services', 'jdbc', 'hive', 'amazon-data-pipeline']","{'account_id': 9650958, 'reputation': 11, 'user_id': 7162145, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-gGBXaAmDHek/AAAAAAAAAAI/AAAAAAAAAWU/_LkAZQofp_k/photo.jpg?sz=256', 'display_name': 'jyo', 'link': 'https://stackoverflow.com/users/7162145/jyo'}",False,13,0,0,1617707566,1617707566,,66967555,,https://stackoverflow.com/questions/66967555/aws-data-pipeline-get-data-from-hive-to-s3,AWS data pipeline get data from hive to s3,,1617708685.0,Duplicate
"['amazon-web-services', 'batch-file', 'batch-processing', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 417566, 'reputation': 1670, 'user_id': 793635, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/ffb2eabb8fc7b6db244d8cc1d6d33527?s=256&d=identicon&r=PG', 'display_name': 'Shanaka', 'link': 'https://stackoverflow.com/users/793635/shanaka'}",False,178,1,0,1616340117,1616326457,,66731796,CC BY-SA 4.0,https://stackoverflow.com/questions/66731796/batch-file-processing-in-aws-using-data-pipeline,Batch file processing in AWS using Data Pipeline,,,
"['header', 'amazon-data-pipeline']","{'account_id': 19147038, 'reputation': 1073, 'user_id': 13985795, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ZJvhNTG0h6Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm6zh4vg1bH9-6NTYXFp_TfKAAeYQ/photo.jpg?sz=256', 'display_name': 'Nivethitha Thiyagarajan', 'link': 'https://stackoverflow.com/users/13985795/nivethitha-thiyagarajan'}",False,237,2,0,1661977562,1615531941,,66595483,CC BY-SA 4.0,https://stackoverflow.com/questions/66595483/include-header-row-while-extracting-the-table-as-csv-to-s3-in-data-pipeline-aws,Include header row while extracting the table as csv to s3 in data pipeline AWS service,,,
"['amazon-dynamodb', 'amazon-data-pipeline', 'data-pipeline']","{'account_id': 16880713, 'reputation': 31, 'user_id': 12206896, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-FD_jC3J5Ll0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcVkYG2UwP93NWWd5_iVeoGmyMlzA/photo.jpg?sz=256', 'display_name': 'Harika K', 'link': 'https://stackoverflow.com/users/12206896/harika-k'}",False,119,2,1,1690448881,1615304671,1615313904.0,66550118,CC BY-SA 4.0,https://stackoverflow.com/questions/66550118/estimate-duration-of-dynamodb-data-export-via-data-pipeline,Estimate duration of DynamoDB data export via Data Pipeline,,,
"['amazon-web-services', 'amazon-ec2', 'amazon-iam', 'amazon-emr', 'amazon-data-pipeline']","{'account_id': 6199004, 'reputation': 205, 'user_id': 4829473, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f19e220575a701f33fc78a69044079b0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Dhaval Soni', 'link': 'https://stackoverflow.com/users/4829473/dhaval-soni'}",False,1154,1,1,1647759609,1614516357,,66409243,CC BY-SA 4.0,https://stackoverflow.com/questions/66409243/error-unable-to-validate-instance-profile-datapipelinedefaultresourcerole-bec,ERROR: Unable to validate instance profile &#39;DataPipelineDefaultResourceRole&#39; because no role exists with that name,,,
"['amazon-dynamodb', 'amazon-emr', 'amazon-data-pipeline']","{'account_id': 11593972, 'reputation': 417, 'user_id': 8497568, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a40b99ff7a680c73ec072d87b5d72af4?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Reactive_learner', 'link': 'https://stackoverflow.com/users/8497568/reactive-learner'}",False,690,1,3,1627100510,1612682482,1612683427.0,66085477,CC BY-SA 4.0,https://stackoverflow.com/questions/66085477/how-to-export-dynamodb-table-data-without-the-point-in-time-recovery,How to export DynamoDB table data without the point in time recovery?,,,
"['azure-data-factory', 'amazon-data-pipeline']","{'account_id': 5483420, 'reputation': 347, 'user_id': 4359039, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e762b7203f4cd9327f3bafabce00c91f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Dinesh Madhup', 'link': 'https://stackoverflow.com/users/4359039/dinesh-madhup'}",False,808,1,1,1613115130,1612302920,1612304100.0,66018186,CC BY-SA 4.0,https://stackoverflow.com/questions/66018186/how-to-use-web-activity-in-azure-data-factory-to-count-the-total-number-of-pages,How to use Web activity in Azure Data Factory to count the total number of pages in source data?,,,
"['mysql', 'amazon-web-services', 'amazon-s3', 'amazon-data-pipeline']","{'account_id': 12401582, 'reputation': 2446, 'user_id': 9038584, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/POPil.jpg?s=256&g=1', 'display_name': 'Tenten Ponce', 'link': 'https://stackoverflow.com/users/9038584/tenten-ponce'}",False,120,0,1,1611663996,1611663588,1611663996.0,65901258,CC BY-SA 4.0,https://stackoverflow.com/questions/65901258/aws-data-pipeline-sqlactivity-into-s3-mysql-db,AWS Data Pipeline - SQLActivity into S3 (MySQL DB),,,
"['amazon-s3', 'amazon-dynamodb', 'database-backups', 'amazon-data-pipeline', 'disaster-recovery']","{'account_id': 9845567, 'reputation': 1497, 'user_id': 7293226, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1278369258889335/picture?type=large', 'display_name': 'Vineeth Sai', 'link': 'https://stackoverflow.com/users/7293226/vineeth-sai'}",True,1574,2,1,1607804713,1607727625,,65259759,CC BY-SA 4.0,https://stackoverflow.com/questions/65259759/dynamodb-backup-and-restore-using-data-pipelines-how-long-does-it-take-to-backu,DynamoDB backup and restore using Data pipelines. How long does it take to backup and recover?,,,
"['amazon-web-services', 'amazon-s3', 'amazon-dynamodb', 'amazon-data-pipeline']","{'account_id': 13734565, 'reputation': 161, 'user_id': 9911253, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f3acf126ccbb959cd3817f3ab7ce6741?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'WillK', 'link': 'https://stackoverflow.com/users/9911253/willk'}",True,164,1,0,1607655576,1607618336,,65238643,CC BY-SA 4.0,https://stackoverflow.com/questions/65238643/aws-data-pipeline-dynamodb-to-s3-503-slowdown-error,AWS Data Pipeline DynamoDB to S3 503 SlowDown Error,65239753.0,,
"['amazon-web-services', 'amazon-dynamodb', 'amazon-redshift', 'amazon-data-pipeline']","{'account_id': 17643699, 'reputation': 427, 'user_id': 12805500, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ae5103b421ecf2bc776973c9b55cb0da?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': '4d61726b', 'link': 'https://stackoverflow.com/users/12805500/4d61726b'}",True,454,1,2,1609603702,1607375141,,65189381,CC BY-SA 4.0,https://stackoverflow.com/questions/65189381/aws-data-pipeline-dynamo-to-redshift,AWS Data Pipeline Dynamo to Redshift,65541241.0,,
"['amazon-web-services', 'amazon-data-pipeline']","{'account_id': 1055927, 'reputation': 3136, 'user_id': 1058646, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/8d8b80b5266b05dae852093e7733236a?s=256&d=identicon&r=PG', 'display_name': 'NoviceMe', 'link': 'https://stackoverflow.com/users/1058646/noviceme'}",False,83,0,1,1606325044,1606325044,,65009783,CC BY-SA 4.0,https://stackoverflow.com/questions/65009783/send-data-pipeline-logs-to-cloudwatch,Send data pipeline logs to CloudWatch,,,
"['python-3.x', 'amazon-web-services', 'datatable', 'amazon-dynamodb', 'amazon-data-pipeline']","{'account_id': 13460647, 'reputation': 45, 'user_id': 9712794, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-5qMA0oQGvW4/AAAAAAAAAAI/AAAAAAAAGec/JvFUW26mxlg/photo.jpg?sz=256', 'display_name': 'Nirja Ayare', 'link': 'https://stackoverflow.com/users/9712794/nirja-ayare'}",False,538,0,1,1605917591,1605888842,1605917591.0,64932989,CC BY-SA 4.0,https://stackoverflow.com/questions/64932989/how-to-copy-selected-records-from-one-dynamodb-table-to-another,How to copy selected records from one DynamoDB table to another?,,,
"['amazon-web-services', 'amazon-dynamodb', 'amazon-data-pipeline']","{'account_id': 14938832, 'reputation': 35, 'user_id': 11634009, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c2f4ceb90c5781dec45fd580ab5cc972?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Shaggy31', 'link': 'https://stackoverflow.com/users/11634009/shaggy31'}",False,153,2,0,1606378479,1604557753,,64692208,CC BY-SA 4.0,https://stackoverflow.com/questions/64692208/export-dynamodb-on-demand-data-table-by-data-pipeline,Export dynamodb on demand data table by data pipeline,,,
"['amazon-s3', 'amazon-emr', 'amazon-sns', 'amazon-data-pipeline']","{'account_id': 6802120, 'reputation': 11, 'user_id': 5235121, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8d32dbb7b0d8951778908e38ee7066d0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Salim K A', 'link': 'https://stackoverflow.com/users/5235121/salim-k-a'}",True,190,1,0,1647100206,1600754174,,64003813,CC BY-SA 4.0,https://stackoverflow.com/questions/64003813/activating-data-pipeline-when-new-files-arrived-on-s3-using-sns,Activating data pipeline when new files arrived on S3 using SNS,,,
