tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id
"['amazon-web-services', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 21627565, 'reputation': 241, 'user_id': 15951701, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/74359d5762f23268692908b0a5e6d1c6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'fewfew', 'link': 'https://stackoverflow.com/users/15951701/fewfew'}",False,185,1,0,1641818424,1641813349,,70651537,CC BY-SA 4.0,https://stackoverflow.com/questions/70651537/aws-dynamodb-export-using-data-pipeline-not-working-for-eu-north-1,AWS dynamodb export using data pipeline not working for eu-north-1?,
"['amazon-web-services', 'csv', 'amazon-s3', 'delimiter', 'aws-data-pipeline']","{'account_id': 6722102, 'reputation': 199, 'user_id': 5181689, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1498908983734109/picture?type=large', 'display_name': 'Farukh Khan', 'link': 'https://stackoverflow.com/users/5181689/farukh-khan'}",False,580,1,0,1639388124,1639224972,1639388124.0,70315061,CC BY-SA 4.0,https://stackoverflow.com/questions/70315061/import-csv-file-in-s3-bucket-with-semi-colon-separated-fields,Import csv file in s3 bucket with semi colon separated fields,
"['amazon-web-services', 'amazon-ec2', 'pip', 'boto3', 'aws-data-pipeline']","{'account_id': 5763582, 'reputation': 39, 'user_id': 4549186, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/efc8f078060d1e3e33a34959f3d32a4e?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'N01', 'link': 'https://stackoverflow.com/users/4549186/n01'}",False,142,0,1,1630631370,1630631370,,69038462,CC BY-SA 4.0,https://stackoverflow.com/questions/69038462/unable-to-download-pip-and-boto3-on-aws-ec2-machine-used-in-aws-data-pipeline,Unable to download pip and boto3 on AWS EC2 machine used in AWS data pipeline,
"['amazon-web-services', 'amazon-s3', 'aws-glue', 'aws-data-pipeline']","{'account_id': 1584903, 'reputation': 1456, 'user_id': 1469496, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/6FNao.png?s=256&g=1', 'display_name': 'summerNight', 'link': 'https://stackoverflow.com/users/1469496/summernight'}",False,434,1,0,1629340235,1628287643,,68687919,CC BY-SA 4.0,https://stackoverflow.com/questions/68687919/multiple-s3-inputs-into-glue-pipeline,Multiple S3 Inputs into Glue Pipeline,
"['python', 'pandas', 'dataframe', 'amazon-athena', 'aws-data-pipeline']","{'account_id': 13071887, 'reputation': 65, 'user_id': 9445288, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-hiwWLwpz5v4/AAAAAAAAAAI/AAAAAAAAADo/Dhbm4pVO9Tw/photo.jpg?sz=256', 'display_name': 'Aditya Sahu', 'link': 'https://stackoverflow.com/users/9445288/aditya-sahu'}",False,86,1,0,1627558797,1626785198,,68455137,CC BY-SA 4.0,https://stackoverflow.com/questions/68455137/reading-partitioned-data-through-athena-in-downstream-jobs-in-pandas,Reading Partitioned Data through Athena in downstream jobs in pandas,
"['amazon-web-services', 'amazon-redshift', 'aws-data-pipeline']","{'account_id': 5741903, 'reputation': 43, 'user_id': 4534355, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/882601838427762/picture?type=large', 'display_name': 'Keerthika Koka', 'link': 'https://stackoverflow.com/users/4534355/keerthika-koka'}",True,61,1,1,1623756139,1623755890,,67985256,CC BY-SA 4.0,https://stackoverflow.com/questions/67985256/of-records-loaded-through-aws-redshift,# of records loaded through AWS Redshift,67985311.0
"['amazon-web-services', 'aws-glue', 'aws-data-pipeline']","{'account_id': 16045688, 'reputation': 37, 'user_id': 11580862, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XCbpp9W5zT8/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfSIE7Wl7gphePxtuIeqzczjuyXtQ/mo/photo.jpg?sz=256', 'display_name': 'Paras Pandey', 'link': 'https://stackoverflow.com/users/11580862/paras-pandey'}",True,4655,2,3,1620629606,1620441256,,67443560,CC BY-SA 4.0,https://stackoverflow.com/questions/67443560/is-it-possible-to-update-and-insert-data-in-aws-glue-database-using-glue,Is it possible to update and insert data in AWS Glue database using glue,67465993.0
"['amazon-web-services', 'hadoop', 'hive', 'amazon-emr', 'aws-data-pipeline']","{'account_id': 20421277, 'reputation': 311, 'user_id': 14982219, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-rbLd_j2f4Hs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnljVfX8sQdTYLQdLlK1GgVd3Ml0w/s96-c/photo.jpg?sz=256', 'display_name': 'vll1990', 'link': 'https://stackoverflow.com/users/14982219/vll1990'}",True,852,2,3,1641557083,1620373948,,67430978,CC BY-SA 4.0,https://stackoverflow.com/questions/67430978/avoid-run-install-task-runner-step-in-emr-cluster,avoid run Install Task Runner step in EMR cluster,
"['amazon-web-services', 'amazon-s3', 'aws-glue', 'aws-billing', 'aws-data-pipeline']","{'account_id': 19526353, 'reputation': 127, 'user_id': 14287127, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjE52xccTVlEBzOxtz7X_Q6AOjZDUx_GSDP6jyK=k-s256', 'display_name': 'Shreyas Chorge', 'link': 'https://stackoverflow.com/users/14287127/shreyas-chorge'}",False,414,0,0,1632227463,1619166323,1619166597.0,67226499,CC BY-SA 4.0,https://stackoverflow.com/questions/67226499/completely-deleting-all-resources-related-to-aws-glue-and-aws-data-pipeline,Completely deleting all resources related to AWS Glue and AWS Data Pipeline,
"['amazon-web-services', 'aws-glue', 'aws-data-pipeline', 'aws-lake-formation']","{'account_id': 15740204, 'reputation': 49, 'user_id': 11357870, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/94b2c7aacdf2889f4b45b3a2a6c4c1d3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'rose1110', 'link': 'https://stackoverflow.com/users/11357870/rose1110'}",False,84,0,1,1618154154,1617821288,1618154154.0,66992382,CC BY-SA 4.0,https://stackoverflow.com/questions/66992382/cralwer-not-creating-table-in-data-lake-from-postgres-partition-table,Cralwer not creating table in data lake from postgres partition table,
"['amazon-s3', 'amazon-rds', 'aws-data-pipeline']","{'account_id': 9331015, 'reputation': 11, 'user_id': 6926762, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a82c5cf0dced9da0202270e37e1805ff?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'kiran', 'link': 'https://stackoverflow.com/users/6926762/kiran'}",False,219,0,1,1616507740,1616501983,1616507740.0,66763007,CC BY-SA 4.0,https://stackoverflow.com/questions/66763007/using-aws-data-pipeline-to-move-data-from-aws-rds-to-s3,Using AWS Data Pipeline to move data from AWS RDS to S3,
"['amazon-web-services', 'batch-file', 'batch-processing', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 417566, 'reputation': 1670, 'user_id': 793635, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/ffb2eabb8fc7b6db244d8cc1d6d33527?s=256&d=identicon&r=PG', 'display_name': 'Shanaka', 'link': 'https://stackoverflow.com/users/793635/shanaka'}",False,178,1,0,1616340117,1616326457,,66731796,CC BY-SA 4.0,https://stackoverflow.com/questions/66731796/batch-file-processing-in-aws-using-data-pipeline,Batch file processing in AWS using Data Pipeline,
"['amazon-web-services', 'azure', 'azure-data-factory', 'aws-data-pipeline']","{'account_id': 3622304, 'reputation': 31, 'user_id': 3020727, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6178b76a7f66bc594288744311ad03ba?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'CelticGiz', 'link': 'https://stackoverflow.com/users/3020727/celticgiz'}",False,921,0,3,1610434029,1610434029,,65679162,CC BY-SA 4.0,https://stackoverflow.com/questions/65679162/is-there-an-equivalent-of-the-azure-integration-runtime-for-aws-data-pipeline,Is there an equivalent of the Azure Integration Runtime for AWS Data pipeline?,
"['amazon-web-services', 'amazon-ec2', 'aws-data-pipeline']","{'account_id': 1366177, 'reputation': 1296, 'user_id': 1302551, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/1a424f12a746bc7afd940cadad187370?s=256&d=identicon&r=PG', 'display_name': 'WolVes', 'link': 'https://stackoverflow.com/users/1302551/wolves'}",True,278,1,0,1609359526,1609348708,,65510944,CC BY-SA 4.0,https://stackoverflow.com/questions/65510944/aws-iam-setup-for-ec2-resource-in-aws-data-pipeline,AWS IAM Setup for EC2 Resource in AWS Data Pipeline,65513079.0
"['postgresql', 'unix', 'psql', 'aws-data-pipeline']","{'account_id': 7199349, 'reputation': 27, 'user_id': 5497020, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4bc3fe64f6e4675f4469e36840445e2b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Subrahmanyam', 'link': 'https://stackoverflow.com/users/5497020/subrahmanyam'}",True,24,1,0,1608701796,1608698102,,65419090,CC BY-SA 4.0,https://stackoverflow.com/questions/65419090/using-mulitple-sql-query-through-psql-connecting-from-a-remote-client,Using mulitple sql query through psql connecting from a remote client,65419507.0
"['amazon-redshift', 'aws-data-pipeline', 'aws-event-bridge']","{'account_id': 22223, 'reputation': 12915, 'user_id': 54612, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/9da7533a8a4f0bc48954fcce6860d520?s=256&d=identicon&r=PG', 'display_name': 'blu', 'link': 'https://stackoverflow.com/users/54612/blu'}",True,619,1,0,1607333835,1607282940,,65172207,CC BY-SA 4.0,https://stackoverflow.com/questions/65172207/how-can-create-an-amazon-event-bus-rule-to-handle-an-aws-data-pipeline-event,How can create an Amazon Event Bus rule to handle an AWS Data Pipeline event?,
"['amazon-web-services', 'aws-data-pipeline']","{'account_id': 17981114, 'reputation': 589, 'user_id': 13067435, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7fd641a18a843a4ec2e3ca641e13d8f0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'arve', 'link': 'https://stackoverflow.com/users/13067435/arve'}",False,563,1,0,1602202516,1602182473,,64268771,CC BY-SA 4.0,https://stackoverflow.com/questions/64268771/how-to-read-ssm-parameters-in-a-shell-script-in-aws-data-pipeline,How to read ssm parameters in a shell script in aws data pipeline?,
"['amazon-web-services', 'amazon-s3', 'aws-data-pipeline']","{'account_id': 19590616, 'reputation': 11, 'user_id': 14337716, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4eb42056fd744f1a93353ca43d029f7b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'shiva', 'link': 'https://stackoverflow.com/users/14337716/shiva'}",True,423,1,0,1601015411,1601004594,1601015279.0,64057387,CC BY-SA 4.0,https://stackoverflow.com/questions/64057387/set-up-cross-account-access-for-aws-s3,Set up cross account access for AWS S3,
"['amazon-web-services', 'serverless', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 6508597, 'reputation': 666, 'user_id': 5036698, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/f09562d877d4f4d8cd90c8c7cc665244?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Asfar Irshad', 'link': 'https://stackoverflow.com/users/5036698/asfar-irshad'}",True,468,2,0,1601376112,1600360295,1601376112.0,63942440,CC BY-SA 4.0,https://stackoverflow.com/questions/63942440/aws-data-pipeline-unable-to-create-through-serverless-yaml-template,AWS data pipeline unable to create through serverless yaml template,64117944.0
"['amazon-web-services', 'amazon-s3', 'amazon-dynamodb', 'amazon-emr', 'aws-data-pipeline']","{'account_id': 9466552, 'reputation': 79, 'user_id': 7038713, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5b4928edee93d3335dfc4114ea311154?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Afnas ', 'link': 'https://stackoverflow.com/users/7038713/afnas'}",True,674,1,4,1599467984,1598705681,1599023973.0,63647183,CC BY-SA 4.0,https://stackoverflow.com/questions/63647183/how-to-export-an-aws-dynamodb-table-to-an-s3-bucket,How to export an AWS DynamoDB table to an S3 Bucket?,63774135.0
"['amazon-web-services', 'aws-cloudformation', 'aws-cdk', 'aws-data-pipeline']","{'account_id': 9954013, 'reputation': 469, 'user_id': 7365614, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/5ed773db849a7a4157e4a907e7ef867c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'user7365614', 'link': 'https://stackoverflow.com/users/7365614/user7365614'}",False,154,0,0,1595026114,1595009214,1595026114.0,62959548,CC BY-SA 4.0,https://stackoverflow.com/questions/62959548/how-to-sync-data-form-redshift-to-dynamodb,How to sync data form redshift to dynamodb,
"['amazon-web-services', 'amazon-s3', 'amazon-rds', 'amazon-aurora', 'aws-data-pipeline']","{'account_id': 4332141, 'reputation': 140, 'user_id': 3537366, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f587801f69d5e3cb3e15fd38e59be0c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Hary S', 'link': 'https://stackoverflow.com/users/3537366/hary-s'}",False,1144,1,0,1592153984,1592140625,1592150142.0,62373035,CC BY-SA 4.0,https://stackoverflow.com/questions/62373035/move-data-from-s3-to-amazon-aurora-postgres,Move data from S3 to Amazon Aurora Postgres,
"['amazon-web-services', 'aws-data-pipeline']","{'account_id': 18650561, 'reputation': 155, 'user_id': 13594111, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1184680958532512/picture?type=large', 'display_name': 'Atul', 'link': 'https://stackoverflow.com/users/13594111/atul'}",False,277,1,0,1592678600,1591950874,,62340541,CC BY-SA 4.0,https://stackoverflow.com/questions/62340541/aws-data-pipeline-creation-error-code-throttling-rate-exceeded,AWS Data Pipeline Creation Error Code: Throttling-- Rate Exceeded,
"['amazon-web-services', 'amazon-s3', 'aws-lambda', 'aws-dms', 'aws-data-pipeline']","{'account_id': 14846204, 'reputation': 105, 'user_id': 10721455, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-G8xQOAx4jVo/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-iX9yNuU1j0___EwrSAKddzZgjTYg/mo/photo.jpg?sz=256', 'display_name': 'Nimmo', 'link': 'https://stackoverflow.com/users/10721455/nimmo'}",True,1115,1,1,1591790666,1591774867,1591775598.0,62298207,CC BY-SA 4.0,https://stackoverflow.com/questions/62298207/data-migration-from-s3-to-rds,Data migration from S3 to RDS,62299968.0
"['amazon-web-services', 'amazon-ec2', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 6677655, 'reputation': 413, 'user_id': 5151812, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/2e30475140f6a90a81d7e6fe77c1819f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Dev', 'link': 'https://stackoverflow.com/users/5151812/dev'}",True,308,1,2,1591188931,1591186971,,62172748,CC BY-SA 4.0,https://stackoverflow.com/questions/62172748/aws-data-pipeline-name-tag-option-for-ec2-resource,AWS data pipeline name tag option for EC2 resource,62172879.0
"['amazon-dynamodb', 'amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 13328924, 'reputation': 107, 'user_id': 9620996, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/17e4da0080b776b965dcd9103c655c71?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Matheus Almeida', 'link': 'https://stackoverflow.com/users/9620996/matheus-almeida'}",True,730,1,0,1594975956,1587416239,1594975956.0,61331943,CC BY-SA 4.0,https://stackoverflow.com/questions/61331943/aws-data-pipeline-s3-csv-to-dynamodb-json-error,AWS Data Pipeline S3 CSV to DynamoDB JSON Error,
"['amazon-web-services', 'aws-lambda', 'amazon-redshift', 'aws-data-pipeline']","{'account_id': 18307406, 'reputation': 1, 'user_id': 13330962, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8056ad386084403ba2280ef8cc78d94d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Thybert', 'link': 'https://stackoverflow.com/users/13330962/thybert'}",True,230,1,0,1587050687,1587048699,,61253266,CC BY-SA 4.0,https://stackoverflow.com/questions/61253266/best-practices-for-setting-up-a-data-pipeline-on-aws-lambda-emr-redshift-athen,Best practices for setting up a data pipeline on AWS? (Lambda/EMR/Redshift/Athena),
"['amazon-s3', 'data-lake', 'aws-data-pipeline']","{'account_id': 268967, 'reputation': 3491, 'user_id': 558049, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/12d88a9283905c61b279c9b3f6082a6b?s=256&d=identicon&r=PG', 'display_name': 'Manish Trivedi', 'link': 'https://stackoverflow.com/users/558049/manish-trivedi'}",False,48,0,1,1586425168,1586425168,,61118173,CC BY-SA 4.0,https://stackoverflow.com/questions/61118173/which-file-format-is-suitable-for-unstructured-data,Which file format is suitable for unstructured data?,
"['amazon-data-pipeline', 'aws-data-pipeline']","{'account_id': 8969957, 'reputation': 185, 'user_id': 6688889, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6f2ef4a8e6e0828e64697f0689f1632c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Mike S.', 'link': 'https://stackoverflow.com/users/6688889/mike-s'}",True,886,1,1,1583978305,1583955420,,60643348,CC BY-SA 4.0,https://stackoverflow.com/questions/60643348/aws-data-pipeline-upload-csv-file-from-s3-to-dynamodb,AWS Data Pipeline: Upload CSV file from S3 to DynamoDB,
