tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id
['airbyte'],"{'account_id': 12789858, 'reputation': 321, 'user_id': 9254735, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ead063dd40e8c50ea5a94f62461b48ad?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Yusuf', 'link': 'https://stackoverflow.com/users/9254735/yusuf'}",False,11,0,0,1685050636,1685050636,76336397,CC BY-SA 4.0,https://stackoverflow.com/questions/76336397/airbyte-pg-to-pg-failing-exactly-after-8-gb-of-data-transfer,Airbyte pg to pg failing exactly after 8 gb of data transfer,,
"['postgresql', 'debezium', 'airbyte']","{'account_id': 19942531, 'reputation': 78, 'user_id': 14613970, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9f87d6e4fa031441c77ceb00d137b77a?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'mbsouksu', 'link': 'https://stackoverflow.com/users/14613970/mbsouksu'}",False,72,0,0,1682505357,1682505357,76109783,CC BY-SA 4.0,https://stackoverflow.com/questions/76109783/airbyte-is-failing-replication-after-5-or-6-tables,Airbyte is failing replication after 5 or 6 tables,,
"['apache-spark', 'pyspark', 'apache-spark-sql', 'airbyte']","{'account_id': 15174151, 'reputation': 145, 'user_id': 10949369, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-3Qke_HDpUE8/AAAAAAAAAAI/AAAAAAAAIJ0/4yzHYA8tnmk/photo.jpg?sz=256', 'display_name': 'Kazim Raza', 'link': 'https://stackoverflow.com/users/10949369/kazim-raza'}",True,125,1,0,1682457646,1682105897,76076272,CC BY-SA 4.0,https://stackoverflow.com/questions/76076272/airbyte-spark-sql-query-keeps-failing-updates-are-in-conflict-for-these-colum,Airbyte - Spark SQL query keeps failing (Updates are in conflict for these columns: data_user_id),1682262992.0,76105507.0
"['sql-server', 'google-bigquery', 'airbyte']","{'account_id': 15134371, 'reputation': 1, 'user_id': 10921279, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-t1uISERpVKY/AAAAAAAAAAI/AAAAAAAAAEo/XRVDZxvJfM4/photo.jpg?sz=256', 'display_name': 'UUBOY scy', 'link': 'https://stackoverflow.com/users/10921279/uuboy-scy'}",False,60,0,0,1681527728,1681527728,76020143,CC BY-SA 4.0,https://stackoverflow.com/questions/76020143/different-timezone-when-airbite-integrate-sql-server-2017-to-bigquery,Different timezone when Airbite integrate SQL Server 2017 to Bigquery,,
"['docker-compose', 'airbyte']","{'account_id': 26621862, 'reputation': 43, 'user_id': 20240531, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ba86d4eeb36ea8fafca619d745086fcd?s=256&d=identicon&r=PG', 'display_name': 'Marcus Vicentini', 'link': 'https://stackoverflow.com/users/20240531/marcus-vicentini'}",True,1383,1,2,1687990469,1679575845,75823212,CC BY-SA 4.0,https://stackoverflow.com/questions/75823212/deploying-airbyte-with-just-docker-compose-yaml-and-varibles,Deploying Airbyte with just docker-compose.yaml and varibles,,76577012.0
"['amazon-s3', 'airbyte']","{'account_id': 18212271, 'reputation': 646, 'user_id': 13254554, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhUqdXhtIy0MJhnwup3cuy2MU-vxp7Mm0MQ8oT78zQ=k-s256', 'display_name': 'brenda', 'link': 'https://stackoverflow.com/users/13254554/brenda'}",False,147,0,0,1679422389,1679422389,75804956,CC BY-SA 4.0,https://stackoverflow.com/questions/75804956/how-to-perform-pre-processing-steps-before-data-being-read-by-airbyte-s3-connect,How to perform pre-processing steps before data being read by Airbyte S3 connector?,,
"['sql-server', 'airbyte']","{'account_id': 15134371, 'reputation': 1, 'user_id': 10921279, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-t1uISERpVKY/AAAAAAAAAAI/AAAAAAAAAEo/XRVDZxvJfM4/photo.jpg?sz=256', 'display_name': 'UUBOY scy', 'link': 'https://stackoverflow.com/users/10921279/uuboy-scy'}",False,33,0,0,1679276834,1679276834,75785993,CC BY-SA 4.0,https://stackoverflow.com/questions/75785993/column-type-changes-after-table-is-integrated-from-sql-server-to-bigquery-by-air,Column type changes after table is integrated from SQL Server to BigQuery by Airbyte,,
"['sql-server', 'google-kubernetes-engine', 'airbyte']","{'account_id': 15134371, 'reputation': 1, 'user_id': 10921279, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-t1uISERpVKY/AAAAAAAAAAI/AAAAAAAAAEo/XRVDZxvJfM4/photo.jpg?sz=256', 'display_name': 'UUBOY scy', 'link': 'https://stackoverflow.com/users/10921279/uuboy-scy'}",False,358,0,0,1687892398,1679219327,75781189,CC BY-SA 4.0,https://stackoverflow.com/questions/75781189/integrate-big-sql-server-tables-with-airbyte,Integrate big SQL Server tables with Airbyte,1679224167.0,
"['database', 'mongodb', 'fivetran', 'airbyte']","{'account_id': 19317900, 'reputation': 11, 'user_id': 14227779, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-pDNE6FhP940/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4DABw7tlGBZ4YBuEO6hbNEksjcg/photo.jpg?sz=256', 'display_name': 'NeroM1', 'link': 'https://stackoverflow.com/users/14227779/nerom1'}",False,80,0,1,1679028297,1679027834,75763813,CC BY-SA 4.0,https://stackoverflow.com/questions/75763813/is-there-an-efficient-way-to-sync-mongodb-documents-containing-schema-and-data-t,Is there an efficient way to sync MongoDB documents containing schema and data to SQL-Servers?,1679028297.0,
"['mongodb', 'amazon-s3', 'open-source', 'aws-datasync', 'airbyte']","{'account_id': 28004370, 'reputation': 1, 'user_id': 21388024, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxa6wju5Wf1mX9NsGXhw-XLshj2Kj64UEw1Y9Rr7=k-s256', 'display_name': 'Vaidehi Khalpada', 'link': 'https://stackoverflow.com/users/21388024/vaidehi-khalpada'}",False,114,0,0,1678704802,1678704802,75720911,CC BY-SA 4.0,https://stackoverflow.com/questions/75720911/unable-to-establish-airbyte-connection-from-mongodb-to-s3-using-octavia-cli,Unable to establish airbyte connection from MongoDB to S3 using Octavia CLI,,
"['airflow', 'google-kubernetes-engine', 'airflow-2.x', 'airflow-webserver', 'airbyte']","{'account_id': 20910324, 'reputation': 277, 'user_id': 15361369, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ae2e82bc806f64c655f54bb2ba12cbe9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'IOIOIOIOIOIOI', 'link': 'https://stackoverflow.com/users/15361369/ioioioioioioi'}",True,233,1,0,1678454301,1678392526,75689562,CC BY-SA 4.0,https://stackoverflow.com/questions/75689562/airflow-airbyte-operator-module-not-found,airflow airbyte operator - module not found,,75696637.0
"['database', 'amazon-web-services', 'open-source', 'aws-datasync', 'airbyte']","{'account_id': 27971742, 'reputation': 1, 'user_id': 21361335, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxaGo-PtJbLnCMdkS2qYMTrsanNdLZj2DMtzGovL=k-s256', 'display_name': 'Manjul Tripathi', 'link': 'https://stackoverflow.com/users/21361335/manjul-tripathi'}",False,172,1,0,1678460458,1678345482,75681388,CC BY-SA 4.0,https://stackoverflow.com/questions/75681388/airbyte-missing-columns-in-tables,Airbyte Missing Columns in tables,,
"['mongodb', 'google-bigquery', 'airbyte']","{'account_id': 7759476, 'reputation': 682, 'user_id': 5872695, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fc6c9ed8996eb1e174fa5b13d167756f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'greg hor', 'link': 'https://stackoverflow.com/users/5872695/greg-hor'}",False,45,0,0,1677776034,1677776034,75618542,CC BY-SA 4.0,https://stackoverflow.com/questions/75618542/only-pick-selected-fields-when-ingesting-mongodb-data-with-airbyte,Only pick selected fields when ingesting mongodb data with airbyte,,
"['google-bigquery', 'data-ingestion', 'airbyte']","{'account_id': 1018761, 'reputation': 1436, 'user_id': 1029722, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/77fd016fc31ed04cd9ef6bcc6bcc7836?s=256&d=identicon&r=PG', 'display_name': 'tdebroc', 'link': 'https://stackoverflow.com/users/1029722/tdebroc'}",True,76,1,1,1676286416,1676286416,75435028,CC BY-SA 4.0,https://stackoverflow.com/questions/75435028/octavia-apply-airbyte-gives,Octavia apply Airbyte gives,,
"['postgresql', 'cdc', 'wal', 'airbyte']","{'account_id': 908626, 'reputation': 6352, 'user_id': 1417742, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/NnuNw.png?s=256&g=1', 'display_name': 'pd farhad', 'link': 'https://stackoverflow.com/users/1417742/pd-farhad'}",False,196,1,0,1676288932,1676279591,75433900,CC BY-SA 4.0,https://stackoverflow.com/questions/75433900/error-extension-pgoutput-is-not-available-while-trying-to-use-it-with-airbyte,ERROR: extension &quot;pgoutput&quot; is not available while trying to use it with airbyte to replicate the data from PostgreSQL in real-time using CDC,,
