tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason
"['sql', 'csv', 'azure-data-factory', 'azure-synapse', 'varchar']","{'account_id': 27585400, 'reputation': 23, 'user_id': 21053684, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AEdFTp7Oklw_4rGh2VigS57Hdgp2dTgCHv3Ljaa_8bwU=k-s256', 'display_name': 'dwssc2023', 'link': 'https://stackoverflow.com/users/21053684/dwssc2023'}",True,54,1,0,1693974479,1693960943,77048430,CC BY-SA 4.0,https://stackoverflow.com/questions/77048430/azure-synapses-csv-convert-varchar-to-date-a-few-rows-worked-and-others-faile,"Azure Synapses, CSV, Convert VARCHAR to DATE, A few rows worked and others failed",1693961754.0,77049019.0,,
"['sql', 'azure', 'ssms', 'azure-synapse']","{'account_id': 17061058, 'reputation': 1, 'user_id': 12344489, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Gqdgp.png?s=256&g=1', 'display_name': 'OrphanedRecordAnnie', 'link': 'https://stackoverflow.com/users/12344489/orphanedrecordannie'}",False,37,0,0,1694421802,1693925708,77045589,CC BY-SA 4.0,https://stackoverflow.com/questions/77045589/how-do-you-leave-comments-in-azure-synapse-analytics-views-and-what-are-the-best,How do you leave comments in Azure Synapse Analytics views and what are the best practices for comments?,1694421802.0,,,
"['azure-data-factory', 'parquet', 'azure-synapse', 'external-tables']","{'account_id': 29298565, 'reputation': 3, 'user_id': 22447367, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/98f5e1adc954a6d7ffc404cce93516d6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Jean-Christophe', 'link': 'https://stackoverflow.com/users/22447367/jean-christophe'}",True,74,2,0,1694071639,1693912696,77044062,CC BY-SA 4.0,https://stackoverflow.com/questions/77044062/synapse-cetas-from-parquet-file-with-columns-definition-is-failing,Synapse CETAS from parquet file with columns definition is failing,,77057429.0,,
"['azure', 'tsql', 'azure-synapse', 'delta-lake', 'delta']","{'account_id': 29366027, 'reputation': 21, 'user_id': 22499702, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtfPiRyTmWiT0_rL1n3cwnInfajedgQmIg7Z23WIMWLP=k-s256', 'display_name': 'Anish', 'link': 'https://stackoverflow.com/users/22499702/anish'}",True,43,1,0,1693899455,1693858749,77040406,CC BY-SA 4.0,https://stackoverflow.com/questions/77040406/i-need-to-create-a-view-on-top-of-a-specific-version-of-a-delta-table-is-there,"I need to create a view on top of a specific version of a Delta table. Is there a way to do it within Synapse, and using T-SQL?",,77042566.0,,
"['azure', 'azure-sql-database', 'azure-data-factory', 'azure-synapse']","{'account_id': 6710515, 'reputation': 1, 'user_id': 5174143, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4b9bdaa2733ac26b900bba6227728a59?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Kanta Maria', 'link': 'https://stackoverflow.com/users/5174143/kanta-maria'}",False,47,1,0,1693808169,1693707422,77030696,CC BY-SA 4.0,https://stackoverflow.com/questions/77030696/how-to-create-dynamic-columns-for-the-missing-ones-in-the-sink-sql-table-in-adf,How to create dynamic columns for the missing ones in the Sink SQL table in ADF?,,,,
"['azure-data-factory', 'azure-synapse']","{'account_id': 29298565, 'reputation': 3, 'user_id': 22447367, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/98f5e1adc954a6d7ffc404cce93516d6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Jean-Christophe', 'link': 'https://stackoverflow.com/users/22447367/jean-christophe'}",True,66,2,0,1693921303,1693582220,77024368,CC BY-SA 4.0,https://stackoverflow.com/questions/77024368/source-of-a-copy-activity-as-list-of-files-doesnt-preserve-the-listed-files,Source of a &quot;Copy Activity&quot; as &quot;List of files&quot; doesn&#39;t preserve the listed files order,,77043944.0,,
"['sql', 'sql-server', 'azure-synapse']","{'account_id': 25101593, 'reputation': 3, 'user_id': 18952257, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzC1QFNIA9Eis6QOV4bWl5Jj8ixitcIbkJlJf4d=k-s256', 'display_name': 'szaki', 'link': 'https://stackoverflow.com/users/18952257/szaki'}",False,41,0,-3,1693559946,1693552609,77021200,,https://stackoverflow.com/questions/77021200/convert-select-a-column-and-convert-it-to-a-string,Convert select a column and convert it to a string,1693557470.0,,1693559138.0,Duplicate
"['azure-data-factory', 'azure-synapse']","{'account_id': 24515116, 'reputation': 1, 'user_id': 18428996, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6e5a0e2b82f70ffb75d2bb5b179a581b?s=256&d=identicon&r=PG', 'display_name': 'Llewellyn', 'link': 'https://stackoverflow.com/users/18428996/llewellyn'}",False,50,1,0,1693595658,1693489145,77016393,CC BY-SA 4.0,https://stackoverflow.com/questions/77016393/how-do-i-pass-output-from-cache-to-a-rest-source-request-body,How do I pass output from cache to a REST source request body,,,,
"['azure-data-factory', 'azure-synapse']","{'account_id': 29298565, 'reputation': 3, 'user_id': 22447367, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/98f5e1adc954a6d7ffc404cce93516d6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Jean-Christophe', 'link': 'https://stackoverflow.com/users/22447367/jean-christophe'}",True,40,1,0,1693482169,1693471533,77014223,CC BY-SA 4.0,https://stackoverflow.com/questions/77014223/synapse-analytics-why-a-simple-select-query-as-source-of-a-copy-activity-is-tak,Synapse Analytics: why a simple SELECT query as source of a Copy activity is taking MUCH longer than running it as a standalone Script activity?,,77015519.0,,
"['pyspark', 'azure-synapse']","{'account_id': 1150769, 'reputation': 2535, 'user_id': 1132544, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/177a2b40a5496ad74cb45ee5e1e7954c?s=256&d=identicon&r=PG', 'display_name': 'Gerrit', 'link': 'https://stackoverflow.com/users/1132544/gerrit'}",True,46,1,0,1693483191,1693420974,77010742,CC BY-SA 4.0,https://stackoverflow.com/questions/77010742/how-to-convert-a-pyspark-notebook-to-a-job,How to convert a PySpark Notebook to a job,,77015548.0,,
"['azure', 'azure-data-factory', 'azure-synapse']","{'account_id': 16996696, 'reputation': 87, 'user_id': 12294944, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f784ee745945e0f224375a8cf580ea8d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'vipul', 'link': 'https://stackoverflow.com/users/12294944/vipul'}",True,66,1,0,1693453329,1693398004,77007975,CC BY-SA 4.0,https://stackoverflow.com/questions/77007975/compare-two-tables-to-find-missing-rows-dynamically-in-azure-synapse-data-flow,Compare two tables to find missing rows dynamically in Azure synapse data flow,1693402502.0,77012728.0,,
"['azure', 'deployment', 'azure-synapse', 'azure-rbac']","{'account_id': 29328674, 'reputation': 11, 'user_id': 22470605, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/195bafba37193510bb9ca521e78a09c9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'zineb98', 'link': 'https://stackoverflow.com/users/22470605/zineb98'}",True,93,1,1,1693461929,1693391394,77007172,CC BY-SA 4.0,https://stackoverflow.com/questions/77007172/authorization-issue-during-azure-deployment-microsoft-authorization-roleassign,Authorization Issue during Azure Deployment: &#39;Microsoft.Authorization/roleAssignments/write&#39; Permission Error,1693392581.0,,,
"['sql', 'recursion', 'pyspark', 'common-table-expression', 'azure-synapse']","{'account_id': 27255612, 'reputation': 27, 'user_id': 20779259, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/89249bbe7da6ba3158343811dc0df05d?s=256&d=identicon&r=PG', 'display_name': 'mohamadmaarouf_', 'link': 'https://stackoverflow.com/users/20779259/mohamadmaarouf'}",True,97,3,-1,1693596253,1693085490,76984911,CC BY-SA 4.0,https://stackoverflow.com/questions/76984911/recursive-sql-cte-in-azure-synapse,Recursive SQL CTE in Azure Synapse,1693469492.0,,,
"['pipeline', 'azure-synapse', 'azure-synapse-analytics', 'azure-synapse-pipeline']","{'account_id': 29231965, 'reputation': 11, 'user_id': 22395461, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ef04d9f26fe097e80916e385a8bbf2ec?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'CFCJB', 'link': 'https://stackoverflow.com/users/22395461/cfcjb'}",False,115,1,1,1693031059,1692989796,76979894,CC BY-SA 4.0,https://stackoverflow.com/questions/76979894/azure-synapse-pipeline-get-metadata-last-modified-date-on-file-instead-of-on-fol,Azure Synapse Pipeline Get Metadata Last Modified Date on file instead of on folder,1693017191.0,,,
"['azure', 'azure-synapse', 'delta-lake']","{'account_id': 29285862, 'reputation': 23, 'user_id': 22437459, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/78eba4ec59f1ca35c710cffbaaecfe8b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Pingyao', 'link': 'https://stackoverflow.com/users/22437459/pingyao'}",True,49,1,2,1693050388,1692984410,76979394,CC BY-SA 4.0,https://stackoverflow.com/questions/76979394/how-to-clone-a-sql-database-in-azure-synapse-no-menu-option-despite-being-syn,"How to clone a SQL database in Azure Synapse - no menu option, despite being Synapse Administrator",1692984632.0,76982812.0,,
"['serverless', 'azure-synapse', 'external-tables', 'incremental']","{'account_id': 29298565, 'reputation': 3, 'user_id': 22447367, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/98f5e1adc954a6d7ffc404cce93516d6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Jean-Christophe', 'link': 'https://stackoverflow.com/users/22447367/jean-christophe'}",True,123,1,0,1693033508,1692977044,76978535,CC BY-SA 4.0,https://stackoverflow.com/questions/76978535/azure-synapse-serverless-sql-upsert-parquet-files-is-possible,Azure Synapse &gt; Serverless SQL &gt; UPSERT parquet files is possible?,1693020706.0,76981888.0,,
"['python-3.x', 'azure', 'azure-synapse', 'microsoft-fabric']","{'account_id': 9919294, 'reputation': 413, 'user_id': 7343044, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/fcdcfebc2d34ef5863da90e447d7e321?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Andy', 'link': 'https://stackoverflow.com/users/7343044/andy'}",False,92,1,1,1693217765,1692898147,76971677,CC BY-SA 4.0,https://stackoverflow.com/questions/76971677/python-import-error-in-microsoft-fabric-notebook,python import error in Microsoft fabric notebook,1693194369.0,,,
"['azure', 'pyspark', 'pytest', 'azure-synapse']","{'account_id': 23735636, 'reputation': 19, 'user_id': 17754350, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf68a600b7b98a8fda71257a91eb4e7a?s=256&d=identicon&r=PG', 'display_name': 'LightningStack575', 'link': 'https://stackoverflow.com/users/17754350/lightningstack575'}",False,50,0,0,1692858297,1692857449,76966617,CC BY-SA 4.0,https://stackoverflow.com/questions/76966617/mock-mssparkutils-locally-for-pytest,Mock Mssparkutils locally for Pytest?,1692858297.0,,,
