tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,protected_date
"['azure', 'azure-blob-storage', 'azure-data-lake-gen2', 'azure-storage-account']","{'account_id': 69036, 'reputation': 807, 'user_id': 201103, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/Aeps7.jpg?s=256&g=1', 'display_name': 'Greg Hinch', 'link': 'https://stackoverflow.com/users/201103/greg-hinch'}",True,55,2,1,1689845569,1689609268,76706200,CC BY-SA 4.0,https://stackoverflow.com/questions/76706200/azure-storage-account-stuck-on-0-for-data-lake-gen2-validation,Azure Storage Account stuck on 0% for Data Lake Gen2 validation,,76728523.0,,,
"['microsoft-dynamics', 'azure-data-lake', 'azure-data-lake-gen2', 'azure-synapse-analytics']","{'account_id': 18007993, 'reputation': 15, 'user_id': 13088323, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4b7459376b6fced928070d544ecb8c57?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'MauMau', 'link': 'https://stackoverflow.com/users/13088323/maumau'}",True,111,1,0,1689244783,1689109340,76665747,CC BY-SA 4.0,https://stackoverflow.com/questions/76665747/how-to-update-data-lake-table-schema-to-match-data-source-using-synapse-analytic,how to update data lake table schema to match data source using synapse analytics,,76678437.0,,,
"['mongodb', 'azure', 'azure-data-factory', 'azure-data-lake-gen2', 'azure-synapse-analytics']","{'account_id': 26140917, 'reputation': 15, 'user_id': 19830314, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmkjTVx6TTTOup_xoogTwPc08aN46-NI8GizdNh4=k-s256', 'display_name': 'Suresh', 'link': 'https://stackoverflow.com/users/19830314/suresh'}",True,75,1,1,1689166402,1689000024,76654844,CC BY-SA 4.0,https://stackoverflow.com/questions/76654844/load-mongodb-data-incrementally-through-azure-data-factory,Load MongoDB data incrementally through Azure data factory,1689008467.0,,,,
"['azure-machine-learning-service', 'azure-data-lake-gen2', 'ml-studio']","{'account_id': 10621369, 'reputation': 165, 'user_id': 7822387, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/1e22b85a6bbfad094bfe6f3f6c9ee9a6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'J. Doe', 'link': 'https://stackoverflow.com/users/7822387/j-doe'}",False,82,1,0,1689110898,1688958381,76650456,CC BY-SA 4.0,https://stackoverflow.com/questions/76650456/azure-ml-studio-read-from-adls2-datastore,Azure ML Studio read from ADLS2 datastore,1689110898.0,,,,
"['azure', 'azure-databricks', 'azure-keyvault', 'azure-data-lake-gen2']","{'account_id': 28975105, 'reputation': 23, 'user_id': 22194395, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtfaaO8cE5yfMn4AGq_7enTEqp-wpqmwbCQ3MpLyHvkz=k-s256', 'display_name': 'Sanjeev', 'link': 'https://stackoverflow.com/users/22194395/sanjeev'}",True,1978,3,2,1694595233,1688806932,76642169,CC BY-SA 4.0,https://stackoverflow.com/questions/76642169/permission-denied-invalid-permissions-on-the-specified-keyvault,PERMISSION_DENIED: Invalid permissions on the specified KeyVault,1689328628.0,76653062.0,,,
"['python', 'azure', 'azure-data-lake-gen2', 'azure-python-sdk', 'azure-purview']","{'account_id': 17779420, 'reputation': 49, 'user_id': 12910922, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/af4459d7d88173b6b21ee09154c3a233?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'hello123', 'link': 'https://stackoverflow.com/users/12910922/hello123'}",False,134,1,0,1689152061,1688404891,76606961,CC BY-SA 4.0,https://stackoverflow.com/questions/76606961/create-purview-scan-with-python-sdk-with-a-specified-scope-folderpath-for-an-adl,Create Purview scan with Python SDK with a specified scope/folderpath for an AdlsGen2 resource,,,,,
"['azure', 'azure-blob-storage', 'azure-data-lake-gen2', 'retention']","{'account_id': 15373805, 'reputation': 428, 'user_id': 11091148, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/9JR0R.jpg?s=256&g=1', 'display_name': 'Bennimi', 'link': 'https://stackoverflow.com/users/11091148/bennimi'}",False,46,1,0,1688071340,1688070616,76584427,CC BY-SA 4.0,https://stackoverflow.com/questions/76584427/set-lifecycle-rules-based-on-last-accessed-in-azure-storage,Set lifecycle rules based on last accessed in Azure storage,,,,,
"['c#', 'azure', 'azure-data-lake-gen2', 'azure-sdk']","{'account_id': 2548946, 'reputation': 606, 'user_id': 2213141, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/2f0b5e1aa97e88b5b897d21c1630068e?s=256&d=identicon&r=PG', 'display_name': 'sargeMonkey', 'link': 'https://stackoverflow.com/users/2213141/sargemonkey'}",True,148,1,0,1687933186,1687903395,76568921,CC BY-SA 4.0,https://stackoverflow.com/questions/76568921/using-c-azure-storage-files-datalake-to-download-datalake-blobs-ideally-in-par,Using C# Azure.Storage.Files.DataLake to download datalake blobs (ideally in parallel),,76570523.0,,,
"['azure', 'azure-data-factory', 'azure-data-lake-gen2', 'azure-synapse-analytics']","{'account_id': 26916215, 'reputation': 121, 'user_id': 20490950, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu2FzqEc8f0Cxr0TQeTcatLlR71ZN6WDdXRfpBCslQ=k-s256', 'display_name': 'AzSurya Teja', 'link': 'https://stackoverflow.com/users/20490950/azsurya-teja'}",True,59,1,0,1687244453,1687195417,76508845,CC BY-SA 4.0,https://stackoverflow.com/questions/76508845/a-weird-error-in-azure-data-flow-when-i-tried-to-run-a-innerjoin,A Weird error in Azure data flow when I tried to run a innerjoin,,76512106.0,,,
"['azure', 'parquet', 'azure-data-explorer', 'azure-data-lake-gen2']","{'account_id': 10931229, 'reputation': 131, 'user_id': 8067813, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/eNw97.jpg?s=256&g=1', 'display_name': 'Alejandro Alvarez', 'link': 'https://stackoverflow.com/users/8067813/alejandro-alvarez'}",True,89,1,0,1686624177,1686589463,76458849,CC BY-SA 4.0,https://stackoverflow.com/questions/76458849/authorization-error-with-lightingest-in-azure-data-explorer,Authorization Error with LightIngest in Azure Data Explorer,,76458915.0,,,
"['azure', 'azure-synapse', 'azure-data-lake-gen2', 'external-tables']","{'account_id': 10211894, 'reputation': 13, 'user_id': 7538731, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10212469730488154/picture?type=large', 'display_name': 'Imran Saeed', 'link': 'https://stackoverflow.com/users/7538731/imran-saeed'}",False,148,1,1,1685728566,1685699791,76389109,CC BY-SA 4.0,https://stackoverflow.com/questions/76389109/how-can-i-troubleshoot-my-azure-synapse-serverless-sql-pool-external-table-query,How can I troubleshoot my Azure Synapse Serverless SQL Pool external table query throwing a &#39;location does not exist&#39; error?,1685709014.0,,,,
"['azure', 'azure-data-lake-gen2', 'azure-synapse-analytics']","{'account_id': 15015594, 'reputation': 141, 'user_id': 10838709, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-7p9p_O3nN1g/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcaeoYErTwvV9qup0x_rKHL-LPIP6g/mo/photo.jpg?sz=256', 'display_name': 'Badr Erraji', 'link': 'https://stackoverflow.com/users/10838709/badr-erraji'}",False,246,1,0,1686136297,1685609981,76380251,CC BY-SA 4.0,https://stackoverflow.com/questions/76380251/azure-copy-behaviors-best-cases-for-each,Azure copy behaviors : best cases for each,,,,,
"['hadoop', 'azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 20854201, 'reputation': 21, 'user_id': 15317971, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-m4TQfNVgB7w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclkIOCWSWShT1ksvtgNUxG--cOprw/s96-c/photo.jpg?sz=256', 'display_name': 'Rakesh Mishra', 'link': 'https://stackoverflow.com/users/15317971/rakesh-mishra'}",False,53,1,0,1685605527,1685557220,76376319,CC BY-SA 4.0,https://stackoverflow.com/questions/76376319/copy-hdfs-files-from-multiple-source-folders-to-adls-gen2-storage,Copy HDFS files from multiple source folders to ADLS Gen2 Storage,,,,,
"['azure', 'snowflake-cloud-data-platform', 'azure-data-factory', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 9551692, 'reputation': 689, 'user_id': 7095639, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/336180516774156/picture?type=large', 'display_name': 'Bilal Shafqat', 'link': 'https://stackoverflow.com/users/7095639/bilal-shafqat'}",False,154,1,0,1685438130,1685385016,76359623,CC BY-SA 4.0,https://stackoverflow.com/questions/76359623/azure-data-factory-v2-copy-activity-is-not-cleaning-deleting-staged-files-contai,Azure Data Factory V2 Copy Activity is not cleaning/deleting staged files/containers after copying data to the destination (Like: Snowflake),1685385596.0,,,,
"['c#', '.net', 'azure-data-lake-gen2']","{'account_id': 18063971, 'reputation': 1, 'user_id': 19233378, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/204513ee68c92d824c95c781dc57b3c8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/19233378/james'}",False,42,0,0,1685266298,1685266298,76350816,CC BY-SA 4.0,https://stackoverflow.com/questions/76350816/why-does-my-c-code-stop-downloading-files-from-azure-data-lake-after-50-files-w,Why does my C# code stop downloading files from Azure Data Lake after 50 files with no exception thrown?,,,,,
"['azure', 'azure-data-factory', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 28484616, 'reputation': 5, 'user_id': 21798081, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/24a54419e0444b8bcc0c55bdd9d80632?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'SandeepB', 'link': 'https://stackoverflow.com/users/21798081/sandeepb'}",True,159,2,0,1684478928,1684443127,76284402,CC BY-SA 4.0,https://stackoverflow.com/questions/76284402/adf-delete-activity-not-deleting-folders,ADF Delete Activity not deleting Folders,,76286641.0,,,
"['python', 'pyspark', 'databricks', 'azure-data-lake-gen2']","{'account_id': 24740978, 'reputation': 103, 'user_id': 18627728, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/617464453983280f4500d7e7a29106d8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Pysparker', 'link': 'https://stackoverflow.com/users/18627728/pysparker'}",True,113,1,0,1684293684,1684284505,76267913,CC BY-SA 4.0,https://stackoverflow.com/questions/76267913/create-container-on-azure-datalake-gen2,Create container on Azure datalake Gen2,1684291606.0,76268359.0,,,
"['azure', 'logging', 'azure-data-factory', 'pipeline', 'azure-data-lake-gen2']","{'account_id': 28610674, 'reputation': 11, 'user_id': 21905702, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c245337487319484a939b7c5336d8484?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Aditya Raj', 'link': 'https://stackoverflow.com/users/21905702/aditya-raj'}",False,154,1,0,1684305477,1684224212,76260643,CC BY-SA 4.0,https://stackoverflow.com/questions/76260643/saving-log-of-each-activity-in-adf-pipeline-to-adls,Saving log of each Activity in ADF pipeline to ADLS,1684305477.0,,,,
"['python', 'azure-blob-storage', 'azure-data-lake-gen2']","{'account_id': 7591958, 'reputation': 385, 'user_id': 5759359, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/eY2Nn.jpg?s=256&g=1', 'display_name': 'Kashyap', 'link': 'https://stackoverflow.com/users/5759359/kashyap'}",False,498,1,0,1683884583,1683729823,76219783,CC BY-SA 4.0,https://stackoverflow.com/questions/76219783/download-all-files-from-all-sub-directories-from-azure-data-lake-gen2-path-using,Download all files from all sub-directories from Azure data lake Gen2 path using python,,,,,
