tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,migrated_to,closed_date,locked_date,closed_reason,accepted_answer_id,migrated_from,protected_date
"['dataframe', 'etl', 'python-polars', 'rust-polars']","{'account_id': 29368530, 'reputation': 21, 'user_id': 22501619, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/41654eeb6fdd49bd958696925fd8cbc7?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'elias', 'link': 'https://stackoverflow.com/users/22501619/elias'}",False,31,1,2,1694554314,1694544819,1694554314.0,77091944,CC BY-SA 4.0,https://stackoverflow.com/questions/77091944/polars-flatten-rows-into-columns-aggregating-by-column-values,"Polars - Flatten rows into columns, aggregating by column values",,,,,,,
"['postgresql', 'amazon-rds', 'etl', 'pg-dump']","{'account_id': 433498, 'reputation': 811, 'user_id': 818858, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/5d2170fae3948760e280616fe17af491?s=256&d=identicon&r=PG', 'display_name': 'deGee', 'link': 'https://stackoverflow.com/users/818858/degee'}",False,31,0,2,1694546921,1694536897,1694546921.0,77091137,CC BY-SA 4.0,https://stackoverflow.com/questions/77091137/enable-syncing-db-dump-between-tenants-in-a-multi-tenant-postgres-database,Enable syncing DB dump between tenants in a multi-tenant Postgres database,,,,,,,
"['tsql', 'etl', 'dynamic-sql']","{'account_id': 1530889, 'reputation': 1355, 'user_id': 1428108, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/0Gnsi.png?s=256&g=1', 'display_name': 'High Plains Grifter', 'link': 'https://stackoverflow.com/users/1428108/high-plains-grifter'}",False,19,0,-1,1694510975,1694510975,,77087814,CC BY-SA 4.0,https://stackoverflow.com/questions/77087814/suggested-options-for-query-calling-query-design,Suggested Options for Query calling Query Design,,,,,,,
"['apache-spark', 'airflow', 'etl', 'directed-acyclic-graphs']","{'account_id': 29410882, 'reputation': 1, 'user_id': 22534757, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocL5yuusvCf28EkWnrcVV9ZJkqyFXLnA6-ZePnwsk5N2=k-s256', 'display_name': 'Eric Wong', 'link': 'https://stackoverflow.com/users/22534757/eric-wong'}",False,27,0,0,1694586911,1694398146,1694586911.0,77078563,CC BY-SA 4.0,https://stackoverflow.com/questions/77078563/airflow-v2-6-3-running-spark-jobs-on-a-dag-successful-jobs-are-retrying-2nd-it,"Airflow v2.6.3 running spark jobs on a DAG, successful jobs are retrying, 2nd iteration will fail with &quot;Received SIGTERM&quot; error",,,,,,,
"['oracle', 'etl', 'data-warehouse', 'scd']","{'account_id': 29395676, 'reputation': 1, 'user_id': 22523076, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtclG3fgNlzL829x12Habw2je3gH6Tg03GPW-rW5WU84=k-s256', 'display_name': 'Umang Chauhan', 'link': 'https://stackoverflow.com/users/22523076/umang-chauhan'}",False,31,1,-1,1694183200,1694180393,,77067417,CC BY-SA 4.0,https://stackoverflow.com/questions/77067417/how-to-implement-scd-to-update-and-maintain-salary-and-dept-of-employee,How to implement SCD to update and maintain salary and dept of employee,,,,,,,
"['database', 'etl', 'pentaho', 'talend', 'informatica']","{'account_id': 28002980, 'reputation': 1, 'user_id': 21386844, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxb4_-1dOiPuqHZJaqJ_bioupLlt_nG2Epx_Pmp2API=k-s256', 'display_name': 'Krishna Murthy', 'link': 'https://stackoverflow.com/users/21386844/krishna-murthy'}",False,24,0,-1,1694418531,1694175015,1694418531.0,77066773,CC BY-SA 4.0,https://stackoverflow.com/questions/77066773/monthly-data-getting-double-for-particular-material-numbers-in-etl,Monthly data getting double for particular material numbers in ETL,,,,,,,
"['apache-spark', 'amazon-s3', 'etl', 'aws-glue', 'identity-management']","{'account_id': 8073250, 'reputation': 188, 'user_id': 6085246, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7927f17734ef406efce9b54aa2b24b88?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'saurabh.kg001', 'link': 'https://stackoverflow.com/users/6085246/saurabh-kg001'}",False,32,1,0,1694349553,1693988349,,77050159,CC BY-SA 4.0,https://stackoverflow.com/questions/77050159/aws-glue-how-to-write-to-s3-cross-account,AWS Glue: How to write to S3 cross account,,,,,,,
"['amazon-web-services', 'amazon-s3', 'etl', 'aws-glue', 'glue-crawler']","{'account_id': 29376936, 'reputation': 1, 'user_id': 22508273, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtekCORukzFVfgZWWmDTyXXU3Nvcv4q-zTzSmxbWptueQEc=k-s256', 'display_name': 'Nikhil Dixit', 'link': 'https://stackoverflow.com/users/22508273/nikhil-dixit'}",False,13,0,0,1693983542,1693983542,,77049632,CC BY-SA 4.0,https://stackoverflow.com/questions/77049632/unable-to-create-s3-crawler-in-awsglue-access-denied,Unable to create S3 Crawler in AWSGLUE. Access Denied,,,,,,,
"['database', 'db2', 'etl']","{'account_id': 28002980, 'reputation': 1, 'user_id': 21386844, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxb4_-1dOiPuqHZJaqJ_bioupLlt_nG2Epx_Pmp2API=k-s256', 'display_name': 'Krishna Murthy', 'link': 'https://stackoverflow.com/users/21386844/krishna-murthy'}",True,39,1,0,1693832073,1693825371,1693827336.0,77037184,CC BY-SA 4.0,https://stackoverflow.com/questions/77037184/table-marked-as-inavailable-after-rollbacking-the-uow-by-db2,Table marked as inavailable after rollbacking the UOW by db2,,,,,,,
"['python', 'mongodb', 'apache-spark', 'bigdata', 'etl']","{'account_id': 28787681, 'reputation': 1, 'user_id': 22047813, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/be5ee253f80f19189c2556c1f058dd34?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Decoder', 'link': 'https://stackoverflow.com/users/22047813/decoder'}",False,38,0,0,1693665821,1693665821,,77028722,CC BY-SA 4.0,https://stackoverflow.com/questions/77028722/updating-or-fetching-big-data-from-mongodb,Updating or Fetching Big Data from Mongodb,,,,,,,
"['python', 'google-cloud-platform', 'automation', 'snowflake-cloud-data-platform', 'etl']","{'account_id': 29351762, 'reputation': 1, 'user_id': 22488704, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/515e1f9c976d760516e52f5a3fbd3078?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'akash manjunatha', 'link': 'https://stackoverflow.com/users/22488704/akash-manjunatha'}",False,12,0,0,1693661270,1693661270,,77028473,CC BY-SA 4.0,https://stackoverflow.com/questions/77028473/wants-to-trace-the-data-after-etl-through-the-pipeline-in-snowflake-so-how-to-a,"wants to trace the data after ETL through the pipeline in snowflake so, how to automate it using python",,,,,,,
"['amazon-web-services', 'amazon-s3', 'etl', 'aws-glue', 'jobs']","{'account_id': 19710151, 'reputation': 209, 'user_id': 14430938, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e5abd60958cac184dd25d59c716779f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Zokulko', 'link': 'https://stackoverflow.com/users/14430938/zokulko'}",False,71,0,0,1693762326,1693577853,1693762326.0,77023856,CC BY-SA 4.0,https://stackoverflow.com/questions/77023856/adding-user-in-a-group-via-glue-etl-job-status-failed,Adding user in a group via Glue ETL job status failed,,,,,,,
"['mongodb', 'automation', 'etl', 'data-migration', 'data-integration']","{'account_id': 25643423, 'reputation': 11, 'user_id': 19411886, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgECCJXTVf9y5TMF84P3eFlyK4MoDU3nVIVAi7n0g=k-s256', 'display_name': 'nguyenmanhcuong.', 'link': 'https://stackoverflow.com/users/19411886/nguyenmanhcuong'}",False,14,1,0,1693465435,1693465054,,77013463,CC BY-SA 4.0,https://stackoverflow.com/questions/77013463/suggestions-for-a-tools-or-any-other-method-that-allows-extracting-data-from-mon,Suggestions for a tools or any other method that allows extracting data from mongoDB and then move it to another environment of same product?,,,,,,,
"['db2', 'airflow', 'etl']","{'account_id': 15047666, 'reputation': 23, 'user_id': 10860270, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-3Y9iyoWOL4E/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcZ5fooLkQZPPgznMW8SKV3FykwDqw/mo/photo.jpg?sz=256', 'display_name': 'wulalala', 'link': 'https://stackoverflow.com/users/10860270/wulalala'}",False,24,0,0,1693426704,1693426704,,77011289,CC BY-SA 4.0,https://stackoverflow.com/questions/77011289/incremental-load-from-db2-to-snowflake,Incremental load from DB2 to Snowflake,,,,,,,
"['sql-server', 'etl', 'sap-data-services']","{'account_id': 11431366, 'reputation': 1, 'user_id': 8379957, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Wljp6.jpg?s=256&g=1', 'display_name': 'Chinmay Karanjkar', 'link': 'https://stackoverflow.com/users/8379957/chinmay-karanjkar'}",False,54,0,-2,1692957997,1692952460,1692957997.0,76975564,CC BY-SA 4.0,https://stackoverflow.com/questions/76975564/microsoft-odbc-sql-server-driver-error-after-submitting-etl-job-on-sap-bods-4-3,Microsoft-ODBC SQL Server Driver-Error after submitting ETL job on SAP BODS 4.3,,,,,,,
"['pandas', 'apache-spark', 'databricks', 'etl', 'delta-lake']","{'account_id': 13287424, 'reputation': 1362, 'user_id': 9593060, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1892710857405653/picture?type=large', 'display_name': 'Mattia Surricchio', 'link': 'https://stackoverflow.com/users/9593060/mattia-surricchio'}",True,52,1,1,1694178699,1692865447,,76967452,CC BY-SA 4.0,https://stackoverflow.com/questions/76967452/unreasonable-memory-consumption-for-delta-lake-on-pandas,Unreasonable memory consumption for delta lake on pandas,,,,,77066797.0,,
"['oracle', 'scala', 'apache-spark', 'etl']","{'account_id': 10732595, 'reputation': 31, 'user_id': 11093015, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5c84907ba781294cb45e95b4fab4f170?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'spnc', 'link': 'https://stackoverflow.com/users/11093015/spnc'}",False,43,0,0,1692846643,1692838706,,76965672,CC BY-SA 4.0,https://stackoverflow.com/questions/76965672/optimize-oracle-to-parquet-spark-write,Optimize Oracle to Parquet Spark Write,,,,,,,
"['javascript', 'etl', 'pentaho', 'kettle', 'pentaho-data-integration']","{'account_id': 29284509, 'reputation': 1, 'user_id': 22436420, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtdm4jT_Dn4av8BIl9p1OacnR15pxXj7EvGMzkQce68=k-s256', 'display_name': 'Shreya Mishra', 'link': 'https://stackoverflow.com/users/22436420/shreya-mishra'}",True,31,1,0,1694373012,1692805815,1694371726.0,76963017,CC BY-SA 4.0,https://stackoverflow.com/questions/76963017/get-a-file-with-sftp-using-pentaho-kettle,Get a File With SFTP using Pentaho Kettle,,,,,,,
"['etl', 'pentaho', 'pdi', 'incremental-load']","{'account_id': 29283596, 'reputation': 1, 'user_id': 22435669, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3d837f7037328eb1ddcac0f75207ab32?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'ahmed', 'link': 'https://stackoverflow.com/users/22435669/ahmed'}",False,30,1,0,1694003948,1692798604,1692804563.0,76962011,CC BY-SA 4.0,https://stackoverflow.com/questions/76962011/how-to-implement-increment-load-in-pentaho-spoon,How to implement increment load in pentaho (spoon),,,,,,,
"['apache-spark', 'testing', 'databricks', 'integration-testing', 'etl']","{'account_id': 14295287, 'reputation': 21, 'user_id': 10326146, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-5vc50fKL-tU/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaN80TPYwpIHfyJl6SnnqzYKMfTInQ/mo/photo.jpg?sz=256', 'display_name': 'klimt', 'link': 'https://stackoverflow.com/users/10326146/klimt'}",False,23,0,0,1692772707,1692772707,,76958858,CC BY-SA 4.0,https://stackoverflow.com/questions/76958858/how-to-test-etl-pipelines,How to test ETL pipelines,,,,,,,
"['etl', 'pentaho-spoon', 'pdi']","{'account_id': 9711946, 'reputation': 1, 'user_id': 7203498, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/NLhrJ.jpg?s=256&g=1', 'display_name': 'Blinkclaw', 'link': 'https://stackoverflow.com/users/7203498/blinkclaw'}",False,28,0,0,1692701048,1692701048,,76952498,CC BY-SA 4.0,https://stackoverflow.com/questions/76952498/pentaho-spoon-how-to-call-variables-previous-step-and-transformation-propert,Pentaho spoon - how to call variables ( previous step and transformation properties parameters and pass as API URL params in REST client step,,,,,,,
"['neo4j', 'etl', 'graph-databases']","{'account_id': 29097244, 'reputation': 13, 'user_id': 22289882, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtc7h3s466RAoCFVX-EwI4wjMxCWbi3VrlkuJxUUSN64xcg=k-s256', 'display_name': 'Sharon ', 'link': 'https://stackoverflow.com/users/22289882/sharon'}",False,22,0,0,1692683962,1692683962,,76950441,CC BY-SA 4.0,https://stackoverflow.com/questions/76950441/configuring-the-neo4j-etl-tool,Configuring the NEo4j ETL Tool,,,,,,,
"['python', 'sql', 'dataframe', 'etl', 'dbt']","{'account_id': 19862524, 'reputation': 51, 'user_id': 14550599, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/760585b1ad4e91e5ba517e8de2e1ceeb?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'bjg90', 'link': 'https://stackoverflow.com/users/14550599/bjg90'}",False,29,0,1,1692721612,1692663720,1692721612.0,76949396,CC BY-SA 4.0,https://stackoverflow.com/questions/76949396/transforming-a-flat-jsonb-database-record-into-multiple-table-records-during-etl,Transforming a flat jsonb database record into multiple table records during ETL,,,,,,,
"['amazon-web-services', 'etl', 'aws-glue']","{'account_id': 26721149, 'reputation': 1, 'user_id': 22424273, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu2drEQVsHWx25PHTA7irmejLvVMsDXKjDBKqk8h=k-s256', 'display_name': 'Deb', 'link': 'https://stackoverflow.com/users/22424273/deb'}",False,30,0,0,1692633660,1692633012,1692633660.0,76946901,CC BY-SA 4.0,https://stackoverflow.com/questions/76946901/aws-glue-etl-load-job-to-rds-postgres-timeout,AWS Glue ETL load job to RDS Postgres timeout,,,,,,,
"['etl', 'informatica-powercenter']","{'account_id': 13882194, 'reputation': 11, 'user_id': 11042515, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/aba8fd18b4dcce736a221afd0975dc12?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ciao', 'link': 'https://stackoverflow.com/users/11042515/ciao'}",False,46,1,0,1692618645,1692615345,,76944617,CC BY-SA 4.0,https://stackoverflow.com/questions/76944617/informatica-power-center-memory-usage,informatica power center memory usage,,,,,,,
"['csv', 'etl', 'apache-nifi']","{'account_id': 16711976, 'reputation': 41, 'user_id': 12079009, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCvjE0fW8MzefNsXCoXscxZTYGjKcRDIWAu4sZU3Q=k-s256', 'display_name': 'BHADRAKA HERATH', 'link': 'https://stackoverflow.com/users/12079009/bhadraka-herath'}",True,62,1,0,1692670481,1692604075,1692607469.0,76943321,CC BY-SA 4.0,https://stackoverflow.com/questions/76943321/how-to-skip-first-9-rows-of-a-csv-and-read-the-file-in-apache-nifi,How to skip first 9 rows of a csv and read the file in Apache Nifi,,,,,,,
"['python', 'mysql', 'sqlalchemy', 'airflow', 'etl']","{'account_id': 27848501, 'reputation': 1, 'user_id': 21263463, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxa1hh8l6OlHY6hmC9adMkeCtQ3IjjZ97Crz3Aa-Fw=k-s256', 'display_name': 'nagu nagendra', 'link': 'https://stackoverflow.com/users/21263463/nagu-nagendra'}",False,47,0,-2,1692421513,1692421513,,76933656,CC BY-SA 4.0,https://stackoverflow.com/questions/76933656/airflow-scheduler-fails-with-error-sqlalchemy-exc-operationalerrorpymysql-err,Airflow Scheduler fails with error `sqlalchemy.exc.OperationalError:(pymysql.err.OperationalError),,,,,,,
"['sql-server', 'ssis', 'etl', 'msbi']","{'account_id': 14135793, 'reputation': 47, 'user_id': 10212296, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d9cebd8befa5aa05d89671e4cf3ce404?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Joe', 'link': 'https://stackoverflow.com/users/10212296/joe'}",False,17,0,0,1692393038,1692391174,1692393038.0,76932449,,https://stackoverflow.com/questions/76932449/ssis-retrieve-variable-value-from-controle-flow-no-using-script-task-to-data,SSIS - Retrieve variable value from controle flow (no using script task) to data flow,,1692391852.0,,Duplicate,,,
"['sql', 'snowflake-cloud-data-platform', 'etl']","{'account_id': 29251969, 'reputation': 1, 'user_id': 22411151, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtflCf6J41hglhK6ru238UrFAcq_A2IwgFsJNiV8wYPJ=k-s256', 'display_name': 'David Schultheiss', 'link': 'https://stackoverflow.com/users/22411151/david-schultheiss'}",False,49,2,0,1692437700,1692371050,,76930526,CC BY-SA 4.0,https://stackoverflow.com/questions/76930526/sql-how-to-optimize-a-join-between-two-dates,SQL - How to optimize a join between two dates?,,,,,,,
"['out-of-memory', 'etl', 'parquet', 'data-engineering', 'oom']","{'account_id': 29003774, 'reputation': 1, 'user_id': 22216819, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7556bc04355fa211286dd92d7d78616b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'mdein', 'link': 'https://stackoverflow.com/users/22216819/mdein'}",False,14,0,0,1692300769,1692300270,1692300769.0,76924546,CC BY-SA 4.0,https://stackoverflow.com/questions/76924546/oom-error-while-reading-parquet-file-how-do-i-solve-this,OOM error while reading .parquet file. How do I solve this?,,,,,,,
"['sql', 'sql-server', 'etl', 'data-cleaning', 'dynamic-sql']","{'account_id': 24519796, 'reputation': 27, 'user_id': 18433016, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/88c348041dbdf5fc51f1717b970b7da9?s=256&d=identicon&r=PG', 'display_name': 'manavjn', 'link': 'https://stackoverflow.com/users/18433016/manavjn'}",True,42,1,0,1692304388,1692293824,,76923914,CC BY-SA 4.0,https://stackoverflow.com/questions/76923914/how-to-execute-sql-scripts-stored-in-cells-of-a-temp-table,How to execute SQL scripts stored in cells of a temp table?,,,,,,,
"['django', 'web-applications', 'etl', 'data-warehouse']","{'account_id': 25458577, 'reputation': 13, 'user_id': 19258813, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f2a17b4482c36c81f0d76b7658c86e40?s=256&d=identicon&r=PG', 'display_name': 'donutspie', 'link': 'https://stackoverflow.com/users/19258813/donutspie'}",False,29,0,0,1692292268,1692291004,1692292268.0,76923590,CC BY-SA 4.0,https://stackoverflow.com/questions/76923590/i-have-a-django-web-app-that-relies-heavily-on-third-party-data-how-to-make-the,I have a Django web app that relies heavily on third-party data. How to make the two sides independent but still usable?,,,,,,,
"['azure', 'etl', 'azure-synapse']","{'account_id': 29244182, 'reputation': 1, 'user_id': 22404979, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtdc4VuRkAEQK4cWWBqisiIG_p5JOLcl1mpII5EnHlW27A=k-s256', 'display_name': 'tamiboy777', 'link': 'https://stackoverflow.com/users/22404979/tamiboy777'}",False,56,1,0,1692278670,1692274956,,76921490,CC BY-SA 4.0,https://stackoverflow.com/questions/76921490/azure-pipelines-dataflow-fails-when-ingesting-an-empty-json-from-api,Azure Pipelines/Dataflow fails when ingesting an empty JSON from API,,,,,,,
