tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,accepted_answer_id,posted_by_collectives,closed_date,closed_reason
"['join', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 2821352, 'reputation': 1890, 'user_id': 2425044, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/b3b361ae8bba363d631bcccd9293e0c9?s=256&d=identicon&r=PG', 'display_name': 'Gr&#233;goire Borel', 'link': 'https://stackoverflow.com/users/2425044/gr%c3%a9goire-borel'}",False,19,0,0,1693946254,1693946254,,77047603,CC BY-SA 4.0,https://stackoverflow.com/questions/77047603/join-bounded-data-with-unbounded-data-using-cogroupbykey,Join bounded data with unbounded data using CoGroupByKey,,,,,,
"['python', 'google-cloud-platform', 'google-cloud-firestore', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 18024590, 'reputation': 2019, 'user_id': 13100938, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/so0ss.jpg?s=256&g=1', 'display_name': 'Joe Moore', 'link': 'https://stackoverflow.com/users/13100938/joe-moore'}",False,35,0,0,1693930996,1693930996,,77046187,CC BY-SA 4.0,https://stackoverflow.com/questions/77046187/apache-beam-only-timely-pardo-function-with-no-state,Apache Beam only timely ParDo function with no state,,,,,,
"['google-cloud-dataflow', 'apache-beam']","{'account_id': 26344525, 'reputation': 1, 'user_id': 20003115, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1494d65b5dfc2607541522e848d25558?s=256&d=identicon&r=PG', 'display_name': 'msenkovi', 'link': 'https://stackoverflow.com/users/20003115/msenkovi'}",False,17,0,0,1693918099,1693917846,1693918099.0,77044606,CC BY-SA 4.0,https://stackoverflow.com/questions/77044606/google-dataflow-flex-template-run-results-in-invalid-argument-error,Google Dataflow flex-template run results in INVALID_ARGUMENT error,,,,,,
"['google-cloud-dataflow', 'apache-beam-internals']","{'account_id': 11148611, 'reputation': 77, 'user_id': 8182573, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3a39908a489678489c22160726b08b85?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Adhish', 'link': 'https://stackoverflow.com/users/8182573/adhish'}",True,61,1,0,1694155637,1693909384,,77043675,CC BY-SA 4.0,https://stackoverflow.com/questions/77043675/unable-to-run-apache-dataframe-program-error,Unable to run apache dataframe program error,,,77064671.0,,,
"['google-cloud-dataflow', 'apache-beam']","{'account_id': 17737623, 'reputation': 27, 'user_id': 12878705, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b7d210ba652d15ed0a4603c3f35d80a4?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'digitalearth', 'link': 'https://stackoverflow.com/users/12878705/digitalearth'}",True,57,1,0,1694074308,1693894463,1693968843.0,77042085,CC BY-SA 4.0,https://stackoverflow.com/questions/77042085/beam-job-run-successfully-on-local-machine-but-failed-on-dataflow-runner,Beam job run successfully on local machine but failed on dataflow runner,,,77057754.0,,,
"['python', 'google-cloud-platform', 'google-cloud-firestore', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 18024590, 'reputation': 2019, 'user_id': 13100938, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/so0ss.jpg?s=256&g=1', 'display_name': 'Joe Moore', 'link': 'https://stackoverflow.com/users/13100938/joe-moore'}",False,38,0,1,1693846664,1693823557,1693846664.0,77036990,CC BY-SA 4.0,https://stackoverflow.com/questions/77036990/how-do-you-trigger-a-dofn-synchronously-in-apache-beam,How do you trigger a DoFn synchronously in Apache Beam?,,,,,,
"['google-bigquery', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 2821352, 'reputation': 1890, 'user_id': 2425044, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/b3b361ae8bba363d631bcccd9293e0c9?s=256&d=identicon&r=PG', 'display_name': 'Gr&#233;goire Borel', 'link': 'https://stackoverflow.com/users/2425044/gr%c3%a9goire-borel'}",False,119,0,0,1694092291,1693783928,1694092291.0,77034478,CC BY-SA 4.0,https://stackoverflow.com/questions/77034478/apache-beam-not-writing-data-to-bigquery-using-2-millions-lines-file-as-side-inp,Apache Beam not writing data to BigQuery using 2 millions lines file as side input,,,,,,
"['python', 'google-cloud-platform', 'google-cloud-firestore', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 18024590, 'reputation': 2019, 'user_id': 13100938, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/so0ss.jpg?s=256&g=1', 'display_name': 'Joe Moore', 'link': 'https://stackoverflow.com/users/13100938/joe-moore'}",False,119,0,1,1694689624,1693568798,1694094145.0,77022836,CC BY-SA 4.0,https://stackoverflow.com/questions/77022836/apache-beam-wait-n-seconds-after-window-closes-to-execute-dofn,Apache Beam: Wait N seconds after window closes to execute DoFn,,,,,,
"['google-bigquery', 'google-cloud-dataflow', 'google-bigquery-storage-api']","{'account_id': 6356573, 'reputation': 1179, 'user_id': 4933628, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://lh4.googleusercontent.com/-7iMWUfNdmUs/AAAAAAAAAAI/AAAAAAAA1hk/tX6vYlQ39Fk/photo.jpg?sz=256', 'display_name': 'user912830823', 'link': 'https://stackoverflow.com/users/4933628/user912830823'}",False,37,1,0,1693610339,1693486051,,77015964,CC BY-SA 4.0,https://stackoverflow.com/questions/77015964/dataflow-writetobigquery-with-storage-write-api-doesnt-accept-fields-starting-wi,Dataflow WriteToBigQuery with STORAGE_WRITE_API doesnt accept fields starting with undescores,,,,,,
"['google-bigquery', 'google-cloud-dataflow']","{'account_id': 29337249, 'reputation': 1, 'user_id': 22477378, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTteSfVo8ov9-AxDHUp6OWhQ_1r7sWrLpO2HnYkHDSXXD=k-s256', 'display_name': 'Gokulavasan S', 'link': 'https://stackoverflow.com/users/22477378/gokulavasan-s'}",False,9,0,-1,1693483266,1693483266,,77015649,CC BY-SA 4.0,https://stackoverflow.com/questions/77015649/problem-in-datastream-to-bigquery-dataflow-template,problem in datastream to bigquery dataflow template,,,,,,
"['google-cloud-dataflow', 'apache-beam']","{'account_id': 17737623, 'reputation': 27, 'user_id': 12878705, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b7d210ba652d15ed0a4603c3f35d80a4?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'digitalearth', 'link': 'https://stackoverflow.com/users/12878705/digitalearth'}",False,66,1,0,1693899534,1693476514,1693476905.0,77014859,CC BY-SA 4.0,https://stackoverflow.com/questions/77014859/join-multiple-pcollection-in-global-window,Join multiple pCollection in global window,,,,,,
"['postgresql', 'jdbc', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 5008842, 'reputation': 392, 'user_id': 4025661, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-bwCKMUDXmdo/AAAAAAAAAAI/AAAAAAAAACQ/ES2cdL8wDVM/photo.jpg?sz=256', 'display_name': 'Rakesh kumar', 'link': 'https://stackoverflow.com/users/4025661/rakesh-kumar'}",True,30,1,0,1693475375,1693472757,,77014376,CC BY-SA 4.0,https://stackoverflow.com/questions/77014376/google-dataflow-write-data-to-cloudsql-postgres-java-sql-sqlexception-cannot,Google dataflow write data to CloudSQL postgres | java.sql.SQLException: Cannot create PoolableConnectionFactory (The connection attempt failed.),,,,,,
"['docker', 'scala', 'google-cloud-dataflow', 'apache-beam', 'spotify-scio']","{'account_id': 29330510, 'reputation': 1, 'user_id': 22472069, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtcbs8KofrSqhxfNr0cEqrKafqF_iM2q_528P1nnHpOV=k-s256', 'display_name': 'Aur&#233;lien V', 'link': 'https://stackoverflow.com/users/22472069/aur%c3%a9lien-v'}",False,29,0,0,1693408218,1693408218,,77009296,CC BY-SA 4.0,https://stackoverflow.com/questions/77009296/deploy-scio-jobs-with-custom-containers,Deploy Scio jobs with custom containers,,,,,,
"['java', 'google-cloud-platform', 'google-cloud-dataflow', 'apache-beam', 'apache-beam-io']","{'account_id': 4306523, 'reputation': 7721, 'user_id': 3518757, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/0ff3a0e01948a152e81034047a4b18f6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'oikonomiyaki', 'link': 'https://stackoverflow.com/users/3518757/oikonomiyaki'}",False,37,0,0,1693391792,1693391066,1693391792.0,77007134,CC BY-SA 4.0,https://stackoverflow.com/questions/77007134/disable-dataflow-beam-logging-on-fileio-matchall,Disable Dataflow/Beam logging on FileIO.matchAll(),,,,,,
"['ssis', 'google-cloud-dataflow']","{'account_id': 16151469, 'reputation': 31, 'user_id': 11659780, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3bde328a25b7c2fa1d0dce09b6e60bf8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/11659780/james'}",False,54,1,0,1693363217,1693357099,,77004376,CC BY-SA 4.0,https://stackoverflow.com/questions/77004376/ssis-data-flow-architecture,SSIS Data Flow Architecture,,,,,,
"['google-cloud-platform', 'google-cloud-dataflow', 'google-cloud-pubsub']","{'account_id': 16984069, 'reputation': 39, 'user_id': 12289754, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6fd69f15cdcf406ac5e7bcd8c0f9948f?s=256&d=identicon&r=PG', 'display_name': 'user546298', 'link': 'https://stackoverflow.com/users/12289754/user546298'}",False,34,0,-1,1693310109,1693310109,,76999977,CC BY-SA 4.0,https://stackoverflow.com/questions/76999977/gcp-data-engineering-certification-question,GCP Data Engineering certification Question,,,,,,
"['azure', 'azure-data-factory', 'google-cloud-dataflow', 'partition']","{'account_id': 5235706, 'reputation': 1, 'user_id': 22186996, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtcqGK20jEkBqRoiCMjaN1L_pNsKBgPe9_OMXUPRHn8eCDuq=k-s256', 'display_name': 'eaRamone', 'link': 'https://stackoverflow.com/users/22186996/earamone'}",False,49,1,0,1693401550,1693250459,,76995523,CC BY-SA 4.0,https://stackoverflow.com/questions/76995523/azure-data-factory-data-flow-sink-how-to-configure-partition-file-size,Azure Data Factory - Data Flow - SINK - How to configure partition file size,,,,,,
"['python', 'apache-kafka', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 29315408, 'reputation': 11, 'user_id': 22460287, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTteeP1w47vB2gLjgoG0jsvAlpXi60qYJ0xzp4cKzFaOWlkQ=k-s256', 'display_name': 'Prasanth Narayanan', 'link': 'https://stackoverflow.com/users/22460287/prasanth-narayanan'}",False,24,0,1,1693234795,1693234038,1693234795.0,76993857,CC BY-SA 4.0,https://stackoverflow.com/questions/76993857/readfromkafka-stuck-and-messages-are-not-passed-to-writetobigquery,ReadfromKafka stuck and messages are not passed to WriteToBigQuery,,,,,,
"['google-cloud-platform', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 6356573, 'reputation': 1179, 'user_id': 4933628, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://lh4.googleusercontent.com/-7iMWUfNdmUs/AAAAAAAAAAI/AAAAAAAA1hk/tX6vYlQ39Fk/photo.jpg?sz=256', 'display_name': 'user912830823', 'link': 'https://stackoverflow.com/users/4933628/user912830823'}",False,31,0,0,1693223018,1693221931,1693223018.0,76992378,CC BY-SA 4.0,https://stackoverflow.com/questions/76992378/messed-up-data-in-dataflow-python-sdk-pipeline,Messed up data in Dataflow python SDK pipeline,,,,,,
"['python', 'google-bigquery', 'casting', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 18024590, 'reputation': 2019, 'user_id': 13100938, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/so0ss.jpg?s=256&g=1', 'display_name': 'Joe Moore', 'link': 'https://stackoverflow.com/users/13100938/joe-moore'}",True,25,1,0,1693471946,1692972385,,76977959,CC BY-SA 4.0,https://stackoverflow.com/questions/76977959/bigquery-table-schema-types-not-being-translated-correctly-in-apache-beam,BigQuery table schema types not being translated correctly in apache beam,,,77014270.0,,,
"['google-cloud-platform', 'google-cloud-dataflow']","{'account_id': 29040371, 'reputation': 1, 'user_id': 22245342, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtfOjKPUVLShpAcpJcy9PYLciwqwIlnsv6-L-F10Bgk9vw=k-s256', 'display_name': 'M_rais', 'link': 'https://stackoverflow.com/users/22245342/m-rais'}",True,23,1,0,1692880742,1692878452,,76969069,CC BY-SA 4.0,https://stackoverflow.com/questions/76969069/gcp-dataflow-workflow-failed,GCP dataflow Workflow failed,,,,,,
"['java', 'variables', 'google-cloud-dataflow', 'coder']","{'account_id': 5888596, 'reputation': 2143, 'user_id': 4635851, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/a05b6e097202b29fbc1d1593754790e3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Shahid Thaika', 'link': 'https://stackoverflow.com/users/4635851/shahid-thaika'}",False,33,0,-1,1692866593,1692866593,,76967596,CC BY-SA 4.0,https://stackoverflow.com/questions/76967596/setting-coder-for-object-output-in-google-dataflow,Setting Coder for Object output in Google Dataflow,,,,,,
"['python-3.x', 'google-cloud-platform', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 19597925, 'reputation': 1421, 'user_id': 14343465, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/BHbfh.png?s=256&g=1', 'display_name': 'willwrighteng', 'link': 'https://stackoverflow.com/users/14343465/willwrighteng'}",False,47,0,0,1692826233,1692821109,1692826233.0,76964575,CC BY-SA 4.0,https://stackoverflow.com/questions/76964575/apache-beam-gcp-dataflow-python-sdk-harness-failed-typeerror-can-only-con,Apache Beam / GCP Dataflow -- Python sdk harness failed: TypeError: can only concatenate str (not &quot;NoneType&quot;) to str,,,,,,
"['java', 'google-cloud-firestore', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 8854411, 'reputation': 105, 'user_id': 6612592, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/af703054c8eacfdf8e2acf361f81df8c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Virx', 'link': 'https://stackoverflow.com/users/6612592/virx'}",False,39,0,0,1692716254,1692716254,,76954567,CC BY-SA 4.0,https://stackoverflow.com/questions/76954567/dataflow-fixedwindow-triggered-more-than-once-during-allowed-period,Dataflow FixedWindow triggered more than once during allowed period,,,,,,
"['tensorflow', 'google-cloud-dataflow', 'apache-beam', 'tensorflow-hub', 'tensorflow-transform']","{'account_id': 28354232, 'reputation': 1, 'user_id': 21685231, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxas_iEAAaBQzyLuEf5CrZtlSnPkl3OJ0Kf5G58A=k-s256', 'display_name': 'Akarsh Jain', 'link': 'https://stackoverflow.com/users/21685231/akarsh-jain'}",False,19,0,0,1692896005,1692704358,1692896005.0,76952928,CC BY-SA 4.0,https://stackoverflow.com/questions/76952928/universal-sentence-encoder-batch-pipeline-failing,universal sentence encoder batch pipeline failing,,,,,,
"['google-cloud-dataflow', 'apache-beam', 'google-cloud-pubsub', 'beam']","{'account_id': 24045762, 'reputation': 3, 'user_id': 18024777, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxKBGlbx2CpmT5CAZ5e7QkeS4NPIvzFluwi2abANQ=k-s256', 'display_name': 'Anesh P', 'link': 'https://stackoverflow.com/users/18024777/anesh-p'}",False,44,0,0,1692700838,1692700720,1692700838.0,76952460,CC BY-SA 4.0,https://stackoverflow.com/questions/76952460/dataflow-process-single-input-to-multiple-outputs-using-a-ptransform,Dataflow - process single input to multiple outputs using a ptransform,,,,,,
"['java', 'junit', 'sonarqube', 'google-cloud-dataflow', 'google-cloud-memorystore']","{'account_id': 10553380, 'reputation': 2156, 'user_id': 10324087, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/wJKs5.png?s=256&g=1', 'display_name': 'viveknaskar', 'link': 'https://stackoverflow.com/users/10324087/viveknaskar'}",True,74,1,3,1692948787,1692684384,1692868890.0,76950481,CC BY-SA 4.0,https://stackoverflow.com/questions/76950481/google-cloud-dataflows-code-coverage-on-the-new-code-is-not-passing-the-thresho,Google Cloud Dataflow&#39;s Code Coverage on the new code is not passing the threshold in SonarQube after Java 17 upgrade,,,76975160.0,,,
"['python', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 6534679, 'reputation': 259, 'user_id': 5054702, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-M7SiQ0FN5h8/AAAAAAAAAAI/AAAAAAAAAFk/its-HcSurzs/photo.jpg?sz=256', 'display_name': 'leech', 'link': 'https://stackoverflow.com/users/5054702/leech'}",True,120,1,0,1693442493,1692677815,,76950068,CC BY-SA 4.0,https://stackoverflow.com/questions/76950068/memory-leak-in-apache-beam-python-readfrompubsub-io,Memory leak in Apache Beam Python ReadFromPubsub IO,,,77012260.0,,,
"['java', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 11565609, 'reputation': 653, 'user_id': 8473984, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f5668cd36f53dc2b3f01b259b9220ec3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'ZZZ', 'link': 'https://stackoverflow.com/users/8473984/zzz'}",False,17,0,0,1692633545,1692633545,,76946956,CC BY-SA 4.0,https://stackoverflow.com/questions/76946956/how-to-create-dataflow-using-bean-that-processes-three-rest-calls-concurrently,How to create Dataflow using Bean that processes three rest calls concurrently,,,,,,
"['google-cloud-platform', 'google-cloud-dataflow', 'apache-beam']","{'account_id': 13653921, 'reputation': 1, 'user_id': 9851003, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bbcd9293e5be8990182d56c47a0c51cc?s=256&d=identicon&r=PG', 'display_name': 'user9851003', 'link': 'https://stackoverflow.com/users/9851003/user9851003'}",False,71,0,0,1692555105,1692546096,1692555105.0,76940189,CC BY-SA 4.0,https://stackoverflow.com/questions/76940189/dataflow-flex-template-while-running-throwing-error-for-all-default-parameters,Dataflow Flex template while running throwing error for all default parameters,,,,,,
"['java', 'google-bigquery', 'encoding', 'google-cloud-dataflow']","{'account_id': 4777123, 'reputation': 41, 'user_id': 3859924, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/100001736357315/picture?type=large', 'display_name': 'MI Haque', 'link': 'https://stackoverflow.com/users/3859924/mi-haque'}",False,48,1,-1,1692630214,1692524557,1692630214.0,76938820,CC BY-SA 4.0,https://stackoverflow.com/questions/76938820/dataflow-issue-with-special-characters-like-%c3%a4-while-ingestion-into-bq-issue-wit,Dataflow issue with special characters like &#228; while ingestion into BQ (Issue with different accents),,,,,,
"['google-cloud-dataflow', 'apache-beam']","{'account_id': 1247301, 'reputation': 11, 'user_id': 1208477, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6f423c4ef9614ce03e7217bbd19a8c5b?s=256&d=identicon&r=PG', 'display_name': 'PramodK', 'link': 'https://stackoverflow.com/users/1208477/pramodk'}",False,38,1,0,1692542333,1692366927,1692367633.0,76930010,CC BY-SA 4.0,https://stackoverflow.com/questions/76930010/gcp-dataflow-batch-processing,GCP Dataflow batch processing,,,,,,
"['google-cloud-dataflow', 'apache-beam']","{'account_id': 2745106, 'reputation': 85, 'user_id': 2365691, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a4890c4e9695d17956f354f0998e266?s=256&d=identicon&r=PG', 'display_name': 'Danny', 'link': 'https://stackoverflow.com/users/2365691/danny'}",False,50,0,0,1692364042,1692351223,1692364042.0,76928113,CC BY-SA 4.0,https://stackoverflow.com/questions/76928113/dataflow-autoscaling-workers-not-being-created,DataFlow autoscaling workers not being created,,,,,,
"['python', 'google-cloud-dataflow', 'apache-beam', 'beam']","{'account_id': 14510694, 'reputation': 11, 'user_id': 10481185, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10212466618726021/picture?type=large', 'display_name': 'Dawid ', 'link': 'https://stackoverflow.com/users/10481185/dawid'}",False,58,0,0,1692300851,1692293040,1692300851.0,76923836,CC BY-SA 4.0,https://stackoverflow.com/questions/76923836/apache-beam-dataflow-combine-per-key,Apache Beam dataflow combine per key,,,,,,
