tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason
"['azure', 'azure-data-factory', 'azure-table-storage']","{'account_id': 19886017, 'reputation': 21, 'user_id': 14568983, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjVfKkIbr4drlc9MQXOmtO0t4mYM078Z1rCxx4SYw=k-s256', 'display_name': 'Gellert Kovacs', 'link': 'https://stackoverflow.com/users/14568983/gellert-kovacs'}",True,20,1,1,1695053689,1694785701,77112917,CC BY-SA 4.0,https://stackoverflow.com/questions/77112917/adf-copy-activity-skips-table-storage-rows-which-have-different-values-than-the,ADF Copy activity skips Table Storage rows which have different values than the inferred schema,,,,,
"['azure', 'azure-devops', 'azure-pipelines', 'azure-data-factory', 'cicd']","{'account_id': 29451911, 'reputation': 1, 'user_id': 22568348, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocJ8zQ2qk_lUBlT78WZBDXmDLMhEhyY5ygJoYhFuPGlg=k-s256', 'display_name': 'Prawn09', 'link': 'https://stackoverflow.com/users/22568348/prawn09'}",False,36,1,0,1694810792,1694781519,77112443,CC BY-SA 4.0,https://stackoverflow.com/questions/77112443/how-do-i-exclude-certain-components-from-the-devops-pipeline-to-push-adf-to-prod,How do I exclude certain components from the DevOps pipeline to push ADF to production?,,,,,
"['azure-data-factory', 'import-from-excel']","{'account_id': 21431536, 'reputation': 67, 'user_id': 15787852, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/c53sT.jpg?s=256&g=1', 'display_name': 'Olgaraa', 'link': 'https://stackoverflow.com/users/15787852/olgaraa'}",True,37,1,0,1694779495,1694772969,77111527,CC BY-SA 4.0,https://stackoverflow.com/questions/77111527/azure-data-factory-automatically-adding-date-to-a-time-column-while-importing-an,Azure Data Factory automatically adding Date to a Time column while importing an Excel file,,77112224.0,,,
"['azure', 'azure-data-factory', 'terraform-provider-azure']","{'account_id': 28844526, 'reputation': 5, 'user_id': 22091908, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68ef9a9feb611403448c4c69aa2b5690?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Nature', 'link': 'https://stackoverflow.com/users/22091908/nature'}",False,52,1,0,1694784765,1694772586,77111492,CC BY-SA 4.0,https://stackoverflow.com/questions/77111492/error-provisioning-azurerm-data-factory-linked-service-azure-databricks-with-te,&quot;Error provisioning azurerm_data_factory_linked_service_azure_databricks with Terraform on Azure&quot;,1694778475.0,,,,
"['pyspark', 'azure-data-factory', 'azure-databricks']","{'account_id': 3434968, 'reputation': 273, 'user_id': 2878290, 'user_type': 'registered', 'accept_rate': 11, 'profile_image': 'https://www.gravatar.com/avatar/ccc8b44c9f0b68d5ed43981f31cfaae6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Developer KE', 'link': 'https://stackoverflow.com/users/2878290/developer-ke'}",False,49,1,0,1694762951,1694749080,77109462,CC BY-SA 4.0,https://stackoverflow.com/questions/77109462/azure-databricks-json-array-data-store-into-storage-and-iterate-and-insert-into,Azure DataBricks Json Array data store into storage and iterate and insert into azure SQL using Azure Data Factory,1694761205.0,,,,
"['c#', 'azure', 'azure-data-factory', 'azure-sdk-.net']","{'account_id': 29272241, 'reputation': 1, 'user_id': 22426743, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/313d1841c7054236233bbb90d51cc4cb?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'JasonFan', 'link': 'https://stackoverflow.com/users/22426743/jasonfan'}",False,26,0,0,1694717883,1694717688,77107698,CC BY-SA 4.0,https://stackoverflow.com/questions/77107698/if-i-try-to-delete-a-linked-service-will-it-throw-a-cloudexception-if-a-depende,"If I try to delete a linked service, will it throw a CloudException if a dependent linked service is not deleted first?",1694717883.0,,,,
"['azure', 'azure-data-factory', 'azure-synapse']","{'account_id': 19077395, 'reputation': 1614, 'user_id': 13930389, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6e6246aa665e8dab2b9d4fef084ce3e8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'eduardokapp', 'link': 'https://stackoverflow.com/users/13930389/eduardokapp'}",True,44,1,0,1694775567,1694708495,77106775,CC BY-SA 4.0,https://stackoverflow.com/questions/77106775/how-to-specify-table-distribution-for-auto-create-table-in-azure-datafactory-cop,How to specify table distribution for auto create table in Azure DataFactory copy activity?,,77111790.0,,,
"['azure-data-factory', 'azure-synapse', 'azure-mapping-data-flow']","{'account_id': 21724712, 'reputation': 97, 'user_id': 16034298, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJypzH7HKJPa6C_FVxXCmWIfm4jdRMRCHKgXgn50pg=k-s256', 'display_name': 'Shanmukh S', 'link': 'https://stackoverflow.com/users/16034298/shanmukh-s'}",False,31,0,0,1694684072,1694684072,77103582,CC BY-SA 4.0,https://stackoverflow.com/questions/77103582/i-am-trying-to-write-data-to-synpase-table-using-mapping-data-flow-in-azure-data,I am trying to write data to synpase table using Mapping Data flow in Azure Data Factory. Can anyone help me on this issue,,,,,
"['csv', 'http', 'copy', 'azure-data-factory']","{'account_id': 27666733, 'reputation': 1, 'user_id': 21118406, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AEdFTp4CyLFSPtm3opTeFl65rQjqKM9u5deB7gVuUUTW=k-s256', 'display_name': 'Bramovitz', 'link': 'https://stackoverflow.com/users/21118406/bramovitz'}",False,25,0,0,1694682281,1694681983,77103309,CC BY-SA 4.0,https://stackoverflow.com/questions/77103309/how-to-copy-http-dirty-data-in-azure-data-factory,How to copy Http dirty data in Azure Data Factory,1694682281.0,,,,
"['pyspark', 'azure-data-factory', 'pyspark-schema']","{'account_id': 8817191, 'reputation': 185, 'user_id': 6588220, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/04b36e8cf2db04f387f1bb1c04417349?s=256&d=identicon&r=PG', 'display_name': 'LordRofticus', 'link': 'https://stackoverflow.com/users/6588220/lordrofticus'}",True,38,1,0,1694862890,1694680271,77103079,CC BY-SA 4.0,https://stackoverflow.com/questions/77103079/pyspark-get-number-of-columns-from-dataschema,PySpark: Get Number of Columns from DataSchema,,77103153.0,,,
"['azure', 'azure-data-factory', 'partitioning', 'hana']","{'account_id': 15562670, 'reputation': 94, 'user_id': 11227395, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/--uxw9R_3uzs/AAAAAAAAAAI/AAAAAAAAA_I/F--HXy0xOGM/photo.jpg?sz=256', 'display_name': 'Lav Mehta', 'link': 'https://stackoverflow.com/users/11227395/lav-mehta'}",True,38,1,0,1694688463,1694679182,77102943,CC BY-SA 4.0,https://stackoverflow.com/questions/77102943/partition-0calday-yyyymmdd-column-to-year-month-and-day-in-a-copy-activity-of,"Partition 0CALDAY (yyyymmdd) column to year, month and day in a copy activity of Azure Data Factory",,77104164.0,,,
"['azure', 'azure-data-factory', 'data-engineering']","{'account_id': 29427495, 'reputation': 13, 'user_id': 22547835, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocLCD19kEELc8T2PXfbW0GDxEsgFaxu3lqlCn4uF7W4l=k-s256', 'display_name': 'Manas R', 'link': 'https://stackoverflow.com/users/22547835/manas-r'}",False,33,1,0,1694666611,1694664071,77101709,CC BY-SA 4.0,https://stackoverflow.com/questions/77101709/how-to-implement-for-each-and-lookup-activity-in-a-pipeline-scheduled-to-run-eve,How to implement for each and lookup activity in a pipeline scheduled to run every 5 mins where for each picks next subsets of data recursively,,,,,
"['azure', 'azure-data-factory', 'azure-resource-group']","{'account_id': 11261909, 'reputation': 1, 'user_id': 8259973, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/087618717e62e90242a32e3730ecf278?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ossy', 'link': 'https://stackoverflow.com/users/8259973/ossy'}",False,48,2,0,1694711449,1694648199,77101034,CC BY-SA 4.0,https://stackoverflow.com/questions/77101034/cant-create-a-new-azure-data-factory-adf-with-contributor-role,Can&#39;t create a new Azure Data Factory ADF with Contributor role,1694660631.0,,,,
"['excel', 'azure-data-factory', 'azure-synapse', 'azure-synapse-pipeline']","{'account_id': 2528674, 'reputation': 1065, 'user_id': 2197446, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/957aee5df82459e40c5a81949a3558bf?s=256&d=identicon&r=PG', 'display_name': 'user2197446', 'link': 'https://stackoverflow.com/users/2197446/user2197446'}",False,38,0,0,1694639972,1694639972,77100567,CC BY-SA 4.0,https://stackoverflow.com/questions/77100567/using-azure-synapse-to-load-data-from-an-excel-spreadsheet,Using Azure Synapse to Load data from an Excel Spreadsheet,,,,,
"['azure-sql-database', 'azure-data-factory', 'azure-data-sync']","{'account_id': 4778237, 'reputation': 237, 'user_id': 3860773, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/c68dbbd213279cfe92771d9fcc595b6a?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Akhilesh Jaiswal', 'link': 'https://stackoverflow.com/users/3860773/akhilesh-jaiswal'}",True,25,1,0,1694633867,1694631477,77099817,CC BY-SA 4.0,https://stackoverflow.com/questions/77099817/azure-data-sync-for-temporal-table,azure data sync for temporal table,,77099984.0,,,
"['json', 'azure-data-factory']","{'account_id': 6748944, 'reputation': 61, 'user_id': 5199632, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2d9223c29cecbbd46c184622ba6e5c64?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ben Haanstra', 'link': 'https://stackoverflow.com/users/5199632/ben-haanstra'}",False,29,1,0,1695192868,1694621294,77098769,CC BY-SA 4.0,https://stackoverflow.com/questions/77098769/azure-data-factory-data-flow-json-keys-with-curly-braces-in-them,"Azure Data Factory: Data Flow, JSON Keys with Curly Braces in them",,,,,
"['azure', 'cloud', 'azure-data-factory']","{'account_id': 29344655, 'reputation': 1, 'user_id': 22483323, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/20069ea8922b7d3306aa8d82731ac5c2?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Harshlata', 'link': 'https://stackoverflow.com/users/22483323/harshlata'}",False,44,1,-2,1694684289,1694618108,77098382,CC BY-SA 4.0,https://stackoverflow.com/questions/77098382/how-can-powershell-scripts-automate-tasks-and-send-email-in-azure-data-factory,How can PowerShell scripts automate tasks and send email in Azure Data Factory?,1694618203.0,,1694689907.0,,
"['sql-server', 'foreach', 'azure-data-factory', 'schema', 'pipeline']","{'account_id': 29429439, 'reputation': 1, 'user_id': 22549408, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocLzuVOLLqkmlkr3E-5_qM8-bgw73ipZUIT0a42kbbZ0hE0=k-s256', 'display_name': 'Shiraz Hussain', 'link': 'https://stackoverflow.com/users/22549408/shiraz-hussain'}",False,60,1,0,1694671265,1694615890,77098107,CC BY-SA 4.0,https://stackoverflow.com/questions/77098107/azure-datafactory-foreach-copy-upsert-how-to-create-and-use-key-column,"Azure DataFactory Foreach Copy Upsert, how to create and use key column",1694617017.0,,,,
"['azure', 'apache-spark', 'pyspark', 'azure-data-factory', 'azure-databricks']","{'account_id': 21266862, 'reputation': 29, 'user_id': 15646969, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3239a79a2be02b0105bae9a77091ad0b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Darkmaster', 'link': 'https://stackoverflow.com/users/15646969/darkmaster'}",False,38,1,0,1694620130,1694606908,77096951,CC BY-SA 4.0,https://stackoverflow.com/questions/77096951/concat-list-of-columns-passed-as-parameter-in-databricks,Concat List of columns passed as Parameter in Databricks,1694620130.0,,,,
"['azure', 'azure-data-factory', 'data-engineering']","{'account_id': 13128217, 'reputation': 11, 'user_id': 9483422, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8509635365983068a074a798b4ac3736?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Tarun Thakur', 'link': 'https://stackoverflow.com/users/9483422/tarun-thakur'}",False,41,1,0,1694580871,1694579972,77094095,CC BY-SA 4.0,https://stackoverflow.com/questions/77094095/adf-pipeline-is-getting-triggered-without-waiting-for-file-to-upload-to-adls,ADF pipeline is getting triggered without waiting for file to upload to ADLS,,,,,
"['azure', 'azure-data-factory', 'data-engineering']","{'account_id': 29427495, 'reputation': 13, 'user_id': 22547835, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocLCD19kEELc8T2PXfbW0GDxEsgFaxu3lqlCn4uF7W4l=k-s256', 'display_name': 'Manas R', 'link': 'https://stackoverflow.com/users/22547835/manas-r'}",True,52,2,1,1694577109,1694572412,77093697,CC BY-SA 4.0,https://stackoverflow.com/questions/77093697/how-do-i-implement-a-pipeline-where-the-activity-inside-for-each-runs-for-a-spec,How do i implement a pipeline where the activity inside for each runs for a specific subset of the look up value output array?,1694572938.0,77093942.0,,,
"['azure', 'copy', 'azure-data-factory']","{'account_id': 5053913, 'reputation': 365, 'user_id': 4057692, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/91646385d27cfaccbe85a9c7e1b5a2bf?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'sparc', 'link': 'https://stackoverflow.com/users/4057692/sparc'}",False,50,2,0,1694590431,1694538011,77091254,CC BY-SA 4.0,https://stackoverflow.com/questions/77091254/get-number-of-rows-copied-in-adf-cant-see-rowscopied,"Get number of rows copied in ADF, can&#39;t see rowsCopied",,,,,
"['azure', 'azure-data-factory', 'microsoft-dynamics']","{'account_id': 6567541, 'reputation': 53, 'user_id': 5076607, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b8cc9557001065019a36d9e24fa92f9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Arvind Singh', 'link': 'https://stackoverflow.com/users/5076607/arvind-singh'}",False,40,0,0,1695190322,1694507314,77087318,CC BY-SA 4.0,https://stackoverflow.com/questions/77087318/azure-data-factory-pipeline-is-missing-some-preparties-from-api-response,Azure data factory pipeline is missing some preparties from api response,1695190322.0,,,,
"['azure', 'azure-data-factory']","{'account_id': 11376470, 'reputation': 367, 'user_id': 8340633, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-1t_jAViHqD4/AAAAAAAAAAI/AAAAAAAAABw/EH29G5zJzUE/photo.jpg?sz=256', 'display_name': 'Dmitriy Ryabin', 'link': 'https://stackoverflow.com/users/8340633/dmitriy-ryabin'}",True,60,1,0,1694494018,1694467428,77084852,CC BY-SA 4.0,https://stackoverflow.com/questions/77084852/adf-convert-string-into-json-object,ADF Convert String into Json object,,77086179.0,,,
"['azure', 'azure-blob-storage', 'azure-data-factory', 'azure-data-studio']","{'account_id': 28680212, 'reputation': 1, 'user_id': 21961547, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/uhWG0.jpg?s=256&g=1', 'display_name': 'uday13', 'link': 'https://stackoverflow.com/users/21961547/uday13'}",False,60,1,0,1694623939,1694448452,77083191,CC BY-SA 4.0,https://stackoverflow.com/questions/77083191/what-is-the-best-way-to-access-metadata-from-my-azure-storage-account-files-in-a,What is the best way to access metadata from my Azure storage account files in Azure Data Factory?,1694623939.0,,,,
"['azure', 'azure-data-factory']","{'account_id': 20707582, 'reputation': 129, 'user_id': 15205045, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/178302da2ff0df4f726750d17c4ddcc9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'lifeofthenoobie', 'link': 'https://stackoverflow.com/users/15205045/lifeofthenoobie'}",True,53,1,0,1694504057,1694447037,77083043,CC BY-SA 4.0,https://stackoverflow.com/questions/77083043/unknown-function-name-in-expression-builder,Unknown function name in expression builder,,77086928.0,,,
"['azure', 'azure-data-factory']","{'account_id': 20707582, 'reputation': 129, 'user_id': 15205045, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/178302da2ff0df4f726750d17c4ddcc9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'lifeofthenoobie', 'link': 'https://stackoverflow.com/users/15205045/lifeofthenoobie'}",True,50,1,0,1694490703,1694444047,77082703,CC BY-SA 4.0,https://stackoverflow.com/questions/77082703/dynamic-filepath-in-data-flow,Dynamic filepath in data flow,,,,,
"['azure', 'azure-data-factory', 'saprfc', 'sap-data-dictionary']","{'account_id': 29313009, 'reputation': 1, 'user_id': 22458350, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtczRWcJ49ksNj6o1NvyQUcgVq7GdAZASCGtnrGlWCoeVaA=k-s256', 'display_name': 'Tom Claessens', 'link': 'https://stackoverflow.com/users/22458350/tom-claessens'}",False,23,0,0,1694456247,1694415122,77079445,,https://stackoverflow.com/questions/77079445/cannot-use-and-or-in-rfc-options-in-adf-copy-activity-sap-tables,Cannot use AND/OR in RFC options in ADF copy activity SAP tables?,1694456247.0,,,1694539332.0,Not suitable for this site
"['azure-data-factory', 'azure-data-lake-gen2']","{'account_id': 29274324, 'reputation': 1, 'user_id': 22428402, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/df77280d717d123ffce90ae327fbdb80?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'user22428402', 'link': 'https://stackoverflow.com/users/22428402/user22428402'}",False,56,1,0,1694413207,1694354177,77076415,CC BY-SA 4.0,https://stackoverflow.com/questions/77076415/joining-multiple-sub-folders-inside-an-azure-datalake-using-adf-join,Joining multiple sub folders inside an azure datalake using adf join,1694355242.0,,,,
"['azure-data-factory', 'azure-cosmosdb']","{'account_id': 6334951, 'reputation': 98, 'user_id': 4918655, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/6dbf8df3c570e81f2336342b615e6a4c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'dside', 'link': 'https://stackoverflow.com/users/4918655/dside'}",False,90,0,0,1694257732,1694187182,77068187,CC BY-SA 4.0,https://stackoverflow.com/questions/77068187/upsert-to-azure-cosmos-db-twice-the-same-file-updates-all-the-items-on-ts-and,Upsert to Azure Cosmos DB twice the same file updates all the items on _ts and _etag. It is upsert or overwrite? How can I minize RUs?,1694257732.0,,,,
"['azure-blob-storage', 'azure-data-factory', 'azure-table-storage']","{'account_id': 2299038, 'reputation': 816, 'user_id': 2019783, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5f3704bd074b054fb07548d07bb77772?s=256&d=identicon&r=PG', 'display_name': 'humbleice', 'link': 'https://stackoverflow.com/users/2019783/humbleice'}",False,47,1,0,1694512460,1694185945,77068037,CC BY-SA 4.0,https://stackoverflow.com/questions/77068037/blob-storage-sink-timeout-during-azure-data-factory-copy-activity,Blob Storage Sink Timeout During Azure Data Factory Copy Activity,1694449436.0,,,,
"['azure', 'azure-data-factory']","{'account_id': 1193283, 'reputation': 175, 'user_id': 1165583, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/66f709cf76e757e8fc13cd1150290b06?s=256&d=identicon&r=PG', 'display_name': 'dave111', 'link': 'https://stackoverflow.com/users/1165583/dave111'}",True,42,1,0,1694166815,1694160859,77065218,CC BY-SA 4.0,https://stackoverflow.com/questions/77065218/adf-http-api-pipelines-query-sorting-orderby-syntax,"ADF - HTTP API - Pipelines query, sorting/orderby syntax?",,77065880.0,,,
['azure-data-factory'],"{'account_id': 29191853, 'reputation': 11, 'user_id': 22363831, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtem31k0ECL28F8VDkYScAB8eIH6rT22Z-N0y7e7bey0=k-s256', 'display_name': 'MUHAMMAD UMER', 'link': 'https://stackoverflow.com/users/22363831/muhammad-umer'}",False,27,1,1,1694163331,1694159931,77065126,CC BY-SA 4.0,https://stackoverflow.com/questions/77065126/what-is-the-difference-between-the-start-date-read-start-time-and-schedule-exe,What is the difference between the Start date (read Start time) and Schedule execution times for Scheduled trigger in ADF?,1694160424.0,,,,
"['azure', 'azure-active-directory', 'azure-data-factory', 'azure-postgresql', 'password-less']","{'account_id': 7862617, 'reputation': 1, 'user_id': 5942484, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b694ca7a43d0b9f04301db326bf2437d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'rwolf', 'link': 'https://stackoverflow.com/users/5942484/rwolf'}",False,36,0,0,1694112416,1694112416,77062140,CC BY-SA 4.0,https://stackoverflow.com/questions/77062140/azure-data-factory-connect-to-azure-postresql-flexible-server-without-password,"Azure Data Factory connect to Azure PostreSQL (Flexible Server) without password, with User Assigned Managed Entity",,,,,
