tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date
"['informatica', 'informatica-cloud', 'iics', 'informatica-data-integration-hub', 'iics-di']","{'account_id': 12348984, 'reputation': 71, 'user_id': 9008574, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/efc03d9a17723ddcbbf5293add0c4ae0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'La. Li', 'link': 'https://stackoverflow.com/users/9008574/la-li'}",False,77,1,1,1683265811,1683226635,76176544,CC BY-SA 4.0,https://stackoverflow.com/questions/76176544/iics-error-concatenation-disallowed-on-transformation-joiner,IICS Error: &quot;Concatenation disallowed on transformation Joiner. &quot;,,1683226691.0
"['informatica', 'informatica-cloud', 'iics', 'informatica-data-integration-hub', 'iics-di']","{'account_id': 12348984, 'reputation': 71, 'user_id': 9008574, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/efc03d9a17723ddcbbf5293add0c4ae0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'La. Li', 'link': 'https://stackoverflow.com/users/9008574/la-li'}",False,341,1,0,1682374699,1682347928,76093213,CC BY-SA 4.0,https://stackoverflow.com/questions/76093213/iics-extracting-json-data-from-rest-api-and-then-loading-to-relational-database,IICS Extracting JSON Data from REST API and then Loading to Relational Database/Datawarehouse (Snowflake),,1682348513.0
"['informatica', 'informatica-powercenter', 'informatica-data-integration-hub']","{'account_id': 27581313, 'reputation': 53, 'user_id': 21050465, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/84fc726a25d007a643649043cd9bbd19?s=256&d=identicon&r=PG', 'display_name': 'Sak', 'link': 'https://stackoverflow.com/users/21050465/sak'}",True,112,1,0,1680270498,1680199457,75891553,CC BY-SA 4.0,https://stackoverflow.com/questions/75891553/how-to-write-regex-or-any-replace-function-to-replace-with-null-where-patte,"How to write regex or any replace function to replace with null where [,-] pattern exist",75899291.0,
"['databricks', 'informatica-cloud', 'aws-databricks', 'informatica-data-integration-hub']","{'account_id': 3788190, 'reputation': 115, 'user_id': 3145450, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/hsCml.jpg?s=256&g=1', 'display_name': 'Prashant', 'link': 'https://stackoverflow.com/users/3145450/prashant'}",True,109,1,0,1678842267,1678813715,75736300,CC BY-SA 4.0,https://stackoverflow.com/questions/75736300/can-we-execute-a-databricks-notebook-from-informatica,Can we execute a Databricks Notebook from Informatica,75739675.0,1678815414.0
"['oracle', 'informatica', 'informatica-powercenter', 'database-metadata', 'informatica-data-integration-hub']","{'account_id': 12703501, 'reputation': 13, 'user_id': 9229529, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9f7ee386cc5eb27bc53794743536fe24?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Pranal', 'link': 'https://stackoverflow.com/users/9229529/pranal'}",True,215,1,0,1678472548,1678472395,75699724,CC BY-SA 4.0,https://stackoverflow.com/questions/75699724/find-the-folder-name-and-mapping-name-details-impacted-by-particular-target-tabl,Find the folder name and mapping name details impacted by particular target table in informatica,75699746.0,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 27581313, 'reputation': 53, 'user_id': 21050465, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/84fc726a25d007a643649043cd9bbd19?s=256&d=identicon&r=PG', 'display_name': 'Sak', 'link': 'https://stackoverflow.com/users/21050465/sak'}",False,100,1,1,1678016093,1677867092,75630532,CC BY-SA 4.0,https://stackoverflow.com/questions/75630532/how-to-write-reg-extract-in-informatica-expression-to-fetch-multiple-email-id-fr,How to write reg_extract in informatica expression to fetch multiple email id from text,,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 27581313, 'reputation': 53, 'user_id': 21050465, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/84fc726a25d007a643649043cd9bbd19?s=256&d=identicon&r=PG', 'display_name': 'Sak', 'link': 'https://stackoverflow.com/users/21050465/sak'}",False,19,0,0,1677861303,1677861303,75629661,CC BY-SA 4.0,https://stackoverflow.com/questions/75629661/how-to-write-regular-extract-expression-in-informatica,How to write regular extract expression in informatica,,
"['informatica', 'informatica-cloud', 'informatica-data-integration-hub', 'iics', 'iics-di']","{'account_id': 7652712, 'reputation': 3, 'user_id': 5800808, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7e2c556633a2bc111dc2d7e5203970b2?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Rakesh', 'link': 'https://stackoverflow.com/users/5800808/rakesh'}",False,143,0,0,1676990662,1676990662,75522058,CC BY-SA 4.0,https://stackoverflow.com/questions/75522058/how-to-drop-and-create-new-table-everytime-using-mapping-iics,How to Drop and create new table everytime using Mapping IICS,,
"['informatica', 'informatica-cloud', 'informatica-data-integration-hub', 'iics', 'iics-di']","{'account_id': 23409373, 'reputation': 3, 'user_id': 17471315, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjaHALmp2HUuUazvkpsGbOXIt-vXWwmlpd7OqfL=k-s256', 'display_name': 'Kashish Ahuja', 'link': 'https://stackoverflow.com/users/17471315/kashish-ahuja'}",True,265,1,0,1673359132,1673281488,75060177,CC BY-SA 4.0,https://stackoverflow.com/questions/75060177/how-can-we-use-advanced-date-filtersysdate-in-source-while-reading-the-data-in,How can we use advanced date filter(SYSDATE) in Source while reading the data in informatica iics?,75071046.0,1673359021.0
"['informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 6144631, 'reputation': 625, 'user_id': 4790933, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/28d098773cc99cffc78da4feb5dc0b43?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'LifeOfPi', 'link': 'https://stackoverflow.com/users/4790933/lifeofpi'}",False,44,0,0,1668347769,1668347769,74421649,CC BY-SA 4.0,https://stackoverflow.com/questions/74421649/informatica-data-pipeline-for-common-entity-from-multiple-sources,Informatica - Data Pipeline for common entity from multiple sources,,
"['informatica', 'informatica-powercenter', 'informatica-data-integration-hub']","{'account_id': 15326508, 'reputation': 1, 'user_id': 11057500, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-RSqeBh1rTfM/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQMdZ6LtfMlsb9Z5hX6pK18vOE-XuQ/mo/photo.jpg?sz=256', 'display_name': 'zameeq mohideen', 'link': 'https://stackoverflow.com/users/11057500/zameeq-mohideen'}",False,38,1,0,1665307591,1665117999,73982472,CC BY-SA 4.0,https://stackoverflow.com/questions/73982472/how-to-read-orc-file-in-informatica,How to Read ORC File in informatica,,
"['informatica-powercenter', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 23510920, 'reputation': 1, 'user_id': 17559490, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzzaqzdxZOi3Kjvdy7KDjP0c7vXUsZP4Ym-vdUP=k-s256', 'display_name': 'manish reddy', 'link': 'https://stackoverflow.com/users/17559490/manish-reddy'}",False,151,1,0,1659956306,1659694684,73248196,CC BY-SA 4.0,https://stackoverflow.com/questions/73248196/how-to-handle-improper-data-coming-from-csv-in-informatica,How to handle improper Data Coming from CSV in Informatica,,1659764658.0
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 25832280, 'reputation': 11, 'user_id': 19569238, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9f41dc831b9a64f71d04000fb19b9a0b?s=256&d=identicon&r=PG', 'display_name': 'BiraKishore', 'link': 'https://stackoverflow.com/users/19569238/birakishore'}",False,294,0,1,1658124566,1658121832,73017642,CC BY-SA 4.0,https://stackoverflow.com/questions/73017642/informatica-powercenter-persistenceapi-0307-dbpersister-2002-the-repository,Informatica PowerCenter [PERSISTENCEAPI_0307] [DBPERSISTER_2002] The Repository Service failed to create the repository content,,1658124566.0
"['etl', 'informatica', 'informatica-powercenter', 'informatica-data-integration-hub']","{'account_id': 25627760, 'reputation': 1, 'user_id': 19398615, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/408c338bd49710d01db8ed5c5d8e1498?s=256&d=identicon&r=PG', 'display_name': 'HelloWorld', 'link': 'https://stackoverflow.com/users/19398615/helloworld'}",False,244,0,0,1656681952,1656083025,72746014,CC BY-SA 4.0,https://stackoverflow.com/questions/72746014/special-character-conversion-informatica,Special character conversion Informatica,,1656681952.0
"['informatica', 'informatica-powercenter', 'informatica-data-integration-hub']","{'account_id': 25627760, 'reputation': 1, 'user_id': 19398615, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/408c338bd49710d01db8ed5c5d8e1498?s=256&d=identicon&r=PG', 'display_name': 'HelloWorld', 'link': 'https://stackoverflow.com/users/19398615/helloworld'}",False,447,1,0,1655995426,1655979593,72728562,CC BY-SA 4.0,https://stackoverflow.com/questions/72728562/workflow-migration-from-repo-to-repo,Workflow migration from repo to repo,,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 7565096, 'reputation': 97, 'user_id': 5741019, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/573468a0a8544578938edd6835af435c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Thierry K.', 'link': 'https://stackoverflow.com/users/5741019/thierry-k'}",False,155,1,0,1654895815,1654882580,72578017,CC BY-SA 4.0,https://stackoverflow.com/questions/72578017/oracle-replace-and-translate-command-in-iics,Oracle replace and translate command in IICS,,
"['etl', 'informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 24567842, 'reputation': 23, 'user_id': 18474752, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxRd4ZUfDWGr_k2ilPEj4sKL8hQQRFhR74ab0iA=k-s256', 'display_name': 'Ashok ', 'link': 'https://stackoverflow.com/users/18474752/ashok'}",True,369,1,0,1654281627,1654247269,72487266,CC BY-SA 4.0,https://stackoverflow.com/questions/72487266/informatica-i-have-workflow-with-5-sessions-how-to-limit-no-of-rows-for-each-s,Informatica. I have workflow with 5 sessions. How to limit no of rows for each session and in second run how to pick the different records?,,
"['json', 'informatica', 'informatica-cloud', 'informatica-data-integration-hub', 'iics-di']","{'account_id': 4932274, 'reputation': 230, 'user_id': 3971643, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/5d19d89e4d0ef55636354e3eee156896?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'biggboss2019', 'link': 'https://stackoverflow.com/users/3971643/biggboss2019'}",False,590,1,0,1654464737,1654219805,72483860,CC BY-SA 4.0,https://stackoverflow.com/questions/72483860/how-to-use-parser-transformation-for-json-data-in-iics,How to use Parser Transformation for JSON data in IICS?,,1654464737.0
"['decode', 'informatica', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 4932274, 'reputation': 230, 'user_id': 3971643, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/5d19d89e4d0ef55636354e3eee156896?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'biggboss2019', 'link': 'https://stackoverflow.com/users/3971643/biggboss2019'}",True,384,1,1,1653884225,1653836133,72424704,CC BY-SA 4.0,https://stackoverflow.com/questions/72424704/how-to-use-decode-in-iics-when-field-data-contain-single-quote,How to use decode in IICS when field data contain single quote?,72429098.0,
"['data-warehouse', 'informatica', 'informatica-powercenter', 'informatica-data-integration-hub']","{'account_id': 17257026, 'reputation': 11, 'user_id': 12495898, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e60932604bf06fe3d637191436255824?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Abhilash', 'link': 'https://stackoverflow.com/users/12495898/abhilash'}",False,158,0,0,1653030844,1653030844,72314943,CC BY-SA 4.0,https://stackoverflow.com/questions/72314943/getting-error-as-failed-to-find-user-name-workgroup-system-during-informatic,getting error as &quot;Failed to find user name [WORKGROUP\SYSTEM]&quot; during informatica installation,,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 22946593, 'reputation': 15, 'user_id': 17078502, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw82T6T7cr_LHcDBfECA-RdFJCXOF79YM7DODs1=k-s256', 'display_name': 'Shilpa Done', 'link': 'https://stackoverflow.com/users/17078502/shilpa-done'}",False,211,1,-1,1651207539,1651131550,72039768,CC BY-SA 4.0,https://stackoverflow.com/questions/72039768/how-to-i-execute-part-of-a-daily-workflow-only-on-sundays,How to I execute part of a daily workflow only on Sundays,,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 15445550, 'reputation': 61, 'user_id': 11142609, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-iXrwiANsW68/AAAAAAAAAAI/AAAAAAAAH2s/VlqEFk-Lwes/photo.jpg?sz=256', 'display_name': 'sami phani', 'link': 'https://stackoverflow.com/users/11142609/sami-phani'}",False,176,1,-1,1650390296,1650107706,71893405,CC BY-SA 4.0,https://stackoverflow.com/questions/71893405/what-will-happen-if-one-column-mentioned-as-primary-key-in-db-and-other-column-a,What will happen if one column mentioned as primary key in DB and other column as primary key in mapping structure in infomratica,,
"['data-analysis', 'informatica', 'informatica-powercenter', 'informatica-data-integration-hub']","{'account_id': 24642812, 'reputation': 29, 'user_id': 18540814, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiUTUERABBXJaCsv0js5ydcn69UlmBVRyF0yLuZ=k-s256', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/18540814/john'}",True,375,1,2,1650875582,1647943799,71570201,CC BY-SA 4.0,https://stackoverflow.com/questions/71570201/informatica-how-to-make-a-condition-for-two-tables-joining-execution,Informatica: How to make a condition for two tables joining execution,71572340.0,1650875582.0
"['etl', 'informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 22012450, 'reputation': 27, 'user_id': 16282510, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiKEcEjsiFeD0D4CI95TuV--_pErkbibQuGf1LSdA=k-s256', 'display_name': 'kumar', 'link': 'https://stackoverflow.com/users/16282510/kumar'}",True,1406,1,1,1646889412,1646199985,71317968,CC BY-SA 4.0,https://stackoverflow.com/questions/71317968/query-to-retrieve-workflow-details-from-repository-tables-in-informatica,query to retrieve workflow details from repository tables in informatica?,,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 22946593, 'reputation': 15, 'user_id': 17078502, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw82T6T7cr_LHcDBfECA-RdFJCXOF79YM7DODs1=k-s256', 'display_name': 'Shilpa Done', 'link': 'https://stackoverflow.com/users/17078502/shilpa-done'}",False,67,1,0,1645734334,1645619890,71237078,CC BY-SA 4.0,https://stackoverflow.com/questions/71237078/what-is-the-logic-to-wait-for-workflow-end-time,what is the logic to wait for workflow END_time?,,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 22946593, 'reputation': 15, 'user_id': 17078502, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw82T6T7cr_LHcDBfECA-RdFJCXOF79YM7DODs1=k-s256', 'display_name': 'Shilpa Done', 'link': 'https://stackoverflow.com/users/17078502/shilpa-done'}",True,417,1,0,1643643314,1643615669,70922690,CC BY-SA 4.0,https://stackoverflow.com/questions/70922690/what-will-be-the-query-for-check-completion-of-workflow,what will be the query for check completion of workflow?,,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 22946593, 'reputation': 15, 'user_id': 17078502, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw82T6T7cr_LHcDBfECA-RdFJCXOF79YM7DODs1=k-s256', 'display_name': 'Shilpa Done', 'link': 'https://stackoverflow.com/users/17078502/shilpa-done'}",False,471,1,0,1643215011,1643124886,70851437,CC BY-SA 4.0,https://stackoverflow.com/questions/70851437/how-to-send-mail-automatically-everyday-when-workflow-completed-successfully-and,how to send mail automatically everyday when workflow completed successfully and also send an email when it run long,,1643151254.0
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 22946593, 'reputation': 15, 'user_id': 17078502, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw82T6T7cr_LHcDBfECA-RdFJCXOF79YM7DODs1=k-s256', 'display_name': 'Shilpa Done', 'link': 'https://stackoverflow.com/users/17078502/shilpa-done'}",True,174,1,0,1643035764,1643029555,70834354,CC BY-SA 4.0,https://stackoverflow.com/questions/70834354/how-to-send-a-mail-when-workflow-not-triggered-at-given-time-in-informatica,how to send a mail when workflow not triggered at given time in informatica,,
"['informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-powerexchange', 'informatica-data-integration-hub']","{'account_id': 22946593, 'reputation': 15, 'user_id': 17078502, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw82T6T7cr_LHcDBfECA-RdFJCXOF79YM7DODs1=k-s256', 'display_name': 'Shilpa Done', 'link': 'https://stackoverflow.com/users/17078502/shilpa-done'}",True,1192,1,0,1640254069,1640246562,70459253,CC BY-SA 4.0,https://stackoverflow.com/questions/70459253/created-one-session-bt-it-took-too-time-in-no-more-lookup-cache-to-build-by-addi,Created one session bt it took too time in no more lookup cache to build by additional concurrent pipeline in the current concurrent source set,,
"['informatica', 'informatica-powercenter', 'informatica-data-integration-hub']","{'account_id': 23172306, 'reputation': 11, 'user_id': 17271366, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwACKoPjnVaif4UEZLAT_NznIifU6nG714ggdxr=k-s256', 'display_name': 'Partha', 'link': 'https://stackoverflow.com/users/17271366/partha'}",True,543,1,1,1638865304,1637847769,70112155,CC BY-SA 4.0,https://stackoverflow.com/questions/70112155/date-format-in-informatica-expression,Date format in Informatica expression,,1638865304.0
"['informatica', 'informatica-powercenter', 'informatica-data-integration-hub']","{'account_id': 22370580, 'reputation': 21, 'user_id': 16585712, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiF5_KR-pizLJ6Uyfok99q6EURoID-SMEtS6Sob=k-s256', 'display_name': 'Jan Kevin Osbert Castillo', 'link': 'https://stackoverflow.com/users/16585712/jan-kevin-osbert-castillo'}",True,1460,1,2,1628005138,1627997949,68637123,CC BY-SA 4.0,https://stackoverflow.com/questions/68637123/is-there-a-not-like-function-in-infornatica,Is there a NOT LIKE Function in infornatica?,,
['informatica-data-integration-hub'],"{'account_id': 22362244, 'reputation': 1, 'user_id': 16578628, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhQYLo2Ywl488xtRKyxLSsDoe4K1lE1aSQwBRCU1r8=k-s256', 'display_name': 'Swathi Reddy', 'link': 'https://stackoverflow.com/users/16578628/swathi-reddy'}",False,55,1,-1,1627914670,1627913853,68623177,CC BY-SA 4.0,https://stackoverflow.com/questions/68623177/informatica-extract-value-between-the,Informatica extract value between the,,
"['etl', 'informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 17050338, 'reputation': 51, 'user_id': 12336123, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDo90uMp5S_DrtdSJ2mIFkwigJe_-GsoyOFYAkv=k-s256', 'display_name': 'gunjan gupta', 'link': 'https://stackoverflow.com/users/12336123/gunjan-gupta'}",True,500,1,0,1626325520,1624957263,68175602,CC BY-SA 4.0,https://stackoverflow.com/questions/68175602/how-to-compare-column-names-and-order-of-columns-in-two-files-in-informatica-clo,how to compare column names and order of columns in two files in informatica cloud,68180149.0,
"['java', 'informatica', 'informatica-powercenter', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 10726968, 'reputation': 3, 'user_id': 7894199, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3568dd6fe9fe06e65bdd81599798ae73?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Milan chaudhary', 'link': 'https://stackoverflow.com/users/7894199/milan-chaudhary'}",False,419,1,0,1619187144,1619178339,67229393,CC BY-SA 4.0,https://stackoverflow.com/questions/67229393/i-want-to-convert-json-format-data-in-java-object-in-java-transformation,I want to convert json format data in java object in Java transformation,,
"['date-format', 'informatica', 'informatica-cloud', 'informatica-data-integration-hub']","{'account_id': 2638897, 'reputation': 7790, 'user_id': 2282988, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/esVo4.jpg?s=256&g=1', 'display_name': 'Sandeep Singh', 'link': 'https://stackoverflow.com/users/2282988/sandeep-singh'}",False,1587,1,0,1617475701,1617435177,66928750,CC BY-SA 4.0,https://stackoverflow.com/questions/66928750/different-date-format-for-same-column-in-informatica-iics,Different date format for same column in Informatica IICS,,
