tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date
"['azure', 'azure-blob-storage', 'azure-storage', 'azure-data-lake']","{'account_id': 15227005, 'reputation': 1108, 'user_id': 10987285, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-sPO89Al1JWM/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQMVlx5bm5a7-cw7tAu_u5gb8-ea6w/mo/photo.jpg?sz=256', 'display_name': 'QPeiran', 'link': 'https://stackoverflow.com/users/10987285/qpeiran'}",True,65,1,0,1692698688,1692683152,76950380,CC BY-SA 4.0,https://stackoverflow.com/questions/76950380/adls2-blob-storage-last-modified-date-generation-timestamp,ADLS2 Blob Storage &quot;Last Modified Date&quot; generation timestamp,76952195.0,1692683576.0,,,
"['azure', 'devops', 'storage', 'azure-data-lake']","{'account_id': 29252185, 'reputation': 1, 'user_id': 22411321, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/DX5eT.jpg?s=256&g=1', 'display_name': 'Jerrica', 'link': 'https://stackoverflow.com/users/22411321/jerrica'}",False,78,1,0,1692596509,1692370815,76930486,CC BY-SA 4.0,https://stackoverflow.com/questions/76930486/data-lake-gen2-upgrade,Data Lake Gen2 Upgrade,,,,,
"['pyspark', 'databricks', 'azure-databricks', 'azure-data-lake', 'delta-lake']","{'account_id': 19453989, 'reputation': 11, 'user_id': 14229758, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-s7jXMGfqiT0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMRacLfy4sSWRei7dqMrEH4q_CSA/photo.jpg?sz=256', 'display_name': 'Alireza Khaleghi', 'link': 'https://stackoverflow.com/users/14229758/alireza-khaleghi'}",False,59,1,1,1692178280,1692110457,76906836,CC BY-SA 4.0,https://stackoverflow.com/questions/76906836/delta-lake-conversion-on-databricks-with-azure-data-lake-storage-throws-filealre,Delta Lake Conversion on Databricks with Azure Data Lake Storage Throws FileAlreadyExistsException,,,,,
"['python', 'azure', 'pyspark', 'databricks', 'azure-data-lake']","{'account_id': 25778297, 'reputation': 59, 'user_id': 19524265, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c053571a657b7c955c600217e324537f?s=256&d=identicon&r=PG', 'display_name': 'aws_sangram', 'link': 'https://stackoverflow.com/users/19524265/aws-sangram'}",False,50,1,0,1691757519,1691749941,76882740,CC BY-SA 4.0,https://stackoverflow.com/questions/76882740/unable-to-mount-azure-data-lake-in-databricks-using-secret-scope,Unable to mount azure data lake in databricks using secret-scope,,,,,
"['python-3.x', 'directory', 'azure-data-lake']","{'account_id': 11474815, 'reputation': 1, 'user_id': 8410598, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/577eb0bc1bb7739d5d3aa6c1a386e1b8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'rania', 'link': 'https://stackoverflow.com/users/8410598/rania'}",False,85,1,0,1690901354,1690826673,76806116,CC BY-SA 4.0,https://stackoverflow.com/questions/76806116/move-files-from-one-directory-to-another-in-azure-gen2-using-python,Move files from one directory to another in Azure gen2 using Python,,,,,
"['azure-blob-storage', 'azure-data-lake', 'azure-data-explorer', 'kql', 'azure-metrics-advisor']","{'account_id': 21665541, 'reputation': 3, 'user_id': 21485498, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10158345901451302/picture?type=large', 'display_name': 'AlexVargaz', 'link': 'https://stackoverflow.com/users/21485498/alexvargaz'}",False,55,0,0,1690333055,1690333055,76767354,CC BY-SA 4.0,https://stackoverflow.com/questions/76767354/how-can-i-know-who-changes-adls-permissions-in-acls,How can i know who changes ADLS permissions in ACLs,,,,,
"['microsoft-dynamics', 'azure-data-lake', 'azure-data-lake-gen2', 'azure-synapse-analytics']","{'account_id': 18007993, 'reputation': 15, 'user_id': 13088323, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4b7459376b6fced928070d544ecb8c57?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'MauMau', 'link': 'https://stackoverflow.com/users/13088323/maumau'}",True,111,1,0,1689244783,1689109340,76665747,CC BY-SA 4.0,https://stackoverflow.com/questions/76665747/how-to-update-data-lake-table-schema-to-match-data-source-using-synapse-analytic,how to update data lake table schema to match data source using synapse analytics,76678437.0,,,,
"['sql', 'azure', 'azure-data-factory', 'azure-data-lake']","{'account_id': 28997356, 'reputation': 1, 'user_id': 22211711, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b142ddbad82642e0725579dee7efb2f9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'isabel', 'link': 'https://stackoverflow.com/users/22211711/isabel'}",False,73,1,0,1689139003,1689109094,76665725,CC BY-SA 4.0,https://stackoverflow.com/questions/76665725/how-to-dynamically-load-different-excel-files-containing-different-sheet-names-t,How to dynamically load different Excel files containing different sheet names to SQL,,1689109546.0,,,
"['pyspark', 'apache-spark-sql', 'azure-synapse', 'azure-data-lake', 'delta-lake']","{'account_id': 28940783, 'reputation': 36, 'user_id': 22167373, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c8dbd1cc220303195159dc6378fa6ca4?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'PeekACode', 'link': 'https://stackoverflow.com/users/22167373/peekacode'}",True,132,2,1,1688477501,1688383377,76604261,CC BY-SA 4.0,https://stackoverflow.com/questions/76604261/azure-synapse-data-duplication-issue-in-pyspark-when-reading-and-writing-to-del,"Azure Synapse, Data Duplication Issue in PySpark When Reading and Writing to Delta Lake",76613173.0,1688413484.0,,,
"['python', 'apache-spark', 'pyspark', 'azure-data-lake']","{'account_id': 191602, 'reputation': 6812, 'user_id': 455814, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/Y9DRG.jpg?s=256&g=1', 'display_name': 'Waqas', 'link': 'https://stackoverflow.com/users/455814/waqas'}",True,103,1,0,1688520816,1688023910,76578907,CC BY-SA 4.0,https://stackoverflow.com/questions/76578907/no-filesystem-for-scheme-abfss-running-pyspark-standalone,No FileSystem for scheme: abfss - running pyspark standalone,,1688048721.0,,,
"['azure-data-factory', 'azure-data-lake']","{'account_id': 28914229, 'reputation': 3, 'user_id': 22146578, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtfhdWHOioI5L_NgYuUDRSUsILyIVzLRacL5kNBM9HfH=k-s256', 'display_name': 'Azzu', 'link': 'https://stackoverflow.com/users/22146578/azzu'}",True,99,1,0,1688105992,1687976909,76575811,CC BY-SA 4.0,https://stackoverflow.com/questions/76575811/how-to-compare-two-files-with-different-filename-in-adf,How to compare two files with different filename in ADF,76586505.0,1687977154.0,,,
"['databricks', 'azure-data-lake', 'mount-point']","{'account_id': 23513088, 'reputation': 521, 'user_id': 17561414, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/457a721d6d8bd0aa09becf9fdeba208a?s=256&d=identicon&r=PG', 'display_name': 'Greencolor', 'link': 'https://stackoverflow.com/users/17561414/greencolor'}",True,228,1,1,1687330785,1687265433,76514904,CC BY-SA 4.0,https://stackoverflow.com/questions/76514904/read-the-file-from-datalake-in-databricks-no-such-file-directory-error,Read the file from datalake in databricks -No such file directory error,76520719.0,1687265849.0,,,
"['python', 'pandas', 'azure', 'azure-data-lake', 'azure-machine-learning-service']","{'account_id': 16415824, 'reputation': 181, 'user_id': 11858026, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/48Pqq.jpg?s=256&g=1', 'display_name': 'Egorsky', 'link': 'https://stackoverflow.com/users/11858026/egorsky'}",True,128,1,2,1687273733,1686638336,76462238,CC BY-SA 4.0,https://stackoverflow.com/questions/76462238/how-to-register-pandas-dataframe-as-parquet-or-csv-dataset-in-the-container-and,How to register pandas dataframe as parquet or csv dataset in the container and in the Data at the same time?,76464634.0,,,,
"['azure', 'azure-data-factory', 'azure-databricks', 'azure-data-lake', 'sas-token']","{'account_id': 25052372, 'reputation': 1, 'user_id': 18908138, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc0fe911b990eae418bd6c8b24233661?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Swagat Mohanty', 'link': 'https://stackoverflow.com/users/18908138/swagat-mohanty'}",False,126,1,0,1686643208,1686578889,76457488,CC BY-SA 4.0,https://stackoverflow.com/questions/76457488/why-im-getting-make-sure-authorization-header-is-formed-correctly-including-th,Why I&#39;m getting &quot;Make sure Authorization header is formed correctly including the signature&quot; issue while connecting to ADLS using SAS URI?,,,,,
"['python', 'azure-data-lake']","{'account_id': 13847293, 'reputation': 91, 'user_id': 9996145, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bd537dc2a5c42e7bb1c329b661878050?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Qdadedalus', 'link': 'https://stackoverflow.com/users/9996145/qdadedalus'}",True,113,1,1,1686312977,1686215036,76430246,CC BY-SA 4.0,https://stackoverflow.com/questions/76430246/generating-sas-url-for-azure-data-lake-storage,Generating SAS URL for Azure Data Lake Storage,76440152.0,1686226194.0,,,
"['c#', 'azure-functions', 'azure-data-lake', 'xmlconvert']","{'account_id': 6600337, 'reputation': 421, 'user_id': 5554429, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/37455211f8ed730ed6e138240200f063?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Sandeep T', 'link': 'https://stackoverflow.com/users/5554429/sandeep-t'}",True,60,2,0,1685618447,1685614703,76380888,,https://stackoverflow.com/questions/76380888/convert-xml-file-with-nested-hierarchy-placed-in-azure-data-lake-to-csv-using-c,Convert XML File with nested hierarchy placed in Azure Data lake to CSV using C# Azure Function,76381205.0,,1685686522.0,Needs more focus,
"['azure', 'snowflake-cloud-data-platform', 'azure-data-factory', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 9551692, 'reputation': 689, 'user_id': 7095639, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/336180516774156/picture?type=large', 'display_name': 'Bilal Shafqat', 'link': 'https://stackoverflow.com/users/7095639/bilal-shafqat'}",False,154,1,0,1685438130,1685385016,76359623,CC BY-SA 4.0,https://stackoverflow.com/questions/76359623/azure-data-factory-v2-copy-activity-is-not-cleaning-deleting-staged-files-contai,Azure Data Factory V2 Copy Activity is not cleaning/deleting staged files/containers after copying data to the destination (Like: Snowflake),,1685385596.0,,,
"['azure', 'azure-sql-database', 'azure-data-lake', 'azure-purview', 'azure-synapse-analytics']","{'account_id': 8145472, 'reputation': 393, 'user_id': 6134259, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/csy4i.jpg?s=256&g=1', 'display_name': 'Prayag15', 'link': 'https://stackoverflow.com/users/6134259/prayag15'}",True,105,1,0,1685447348,1685212125,76348420,CC BY-SA 4.0,https://stackoverflow.com/questions/76348420/microsoft-purview-is-not-able-to-scan-serverless-tables-fields,Microsoft Purview is not able to scan serverless table&#39;s fields,,,,,
"['python', 'amazon-web-services', 'cloud', 'amazon-sns', 'azure-data-lake']","{'account_id': 28041596, 'reputation': 19, 'user_id': 21419073, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxakFwr6Nak7noW4ZQKbjWHAHXbMrogJ6MCBnR5R=k-s256', 'display_name': 'ELMOURABIT OJ', 'link': 'https://stackoverflow.com/users/21419073/elmourabit-oj'}",False,50,0,0,1685209053,1685056060,76336736,CC BY-SA 4.0,https://stackoverflow.com/questions/76336736/sending-an-adaptive-card-to-openrainbow-message-chat,Sending an adaptive card to openrainbow message chat,,1685208522.0,,,
"['python', 'pyspark', 'databricks', 'azure-data-lake']","{'account_id': 21502263, 'reputation': 13, 'user_id': 15846270, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJx75rd1dDQmq6VWw4__0w5YXM6GuHguXzvAGvpk=k-s256', 'display_name': 'Aleksei Zhukov', 'link': 'https://stackoverflow.com/users/15846270/aleksei-zhukov'}",True,159,2,1,1684752702,1684519699,76291530,CC BY-SA 4.0,https://stackoverflow.com/questions/76291530/how-can-i-load-only-files-modified-after-a-certain-time-from-azure-adls-into-pys,How can I load only files modified after a certain time from Azure ADLS into PySpark dataframe?,,,,,
"['azure', 'azure-data-factory', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 28484616, 'reputation': 5, 'user_id': 21798081, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/24a54419e0444b8bcc0c55bdd9d80632?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'SandeepB', 'link': 'https://stackoverflow.com/users/21798081/sandeepb'}",True,159,2,0,1684478928,1684443127,76284402,CC BY-SA 4.0,https://stackoverflow.com/questions/76284402/adf-delete-activity-not-deleting-folders,ADF Delete Activity not deleting Folders,76286641.0,,,,
"['azure-synapse', 'azure-data-lake', 'mssparkutils']","{'account_id': 28590579, 'reputation': 1, 'user_id': 21889918, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3534e0f8014d99cd8e3695edfc920821?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'ddurkee', 'link': 'https://stackoverflow.com/users/21889918/ddurkee'}",False,131,0,0,1684333573,1684333573,76273194,CC BY-SA 4.0,https://stackoverflow.com/questions/76273194/copying-db-file-from-temp-directory-to-azure-data-lake-with-mssparkutils-fs-cp-c,copying db file from temp directory to Azure data lake with mssparkutils.fs.cp causes checksum error in Azure Synapse,,,,,
"['azure', 'azure-data-lake']","{'account_id': 8212027, 'reputation': 310, 'user_id': 6179785, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c78a217cb38014f7ca24623e61be53fc?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ash3060', 'link': 'https://stackoverflow.com/users/6179785/ash3060'}",True,67,1,0,1683901056,1683815602,76228802,CC BY-SA 4.0,https://stackoverflow.com/questions/76228802/azure-datalake-gen1-permission-denied-while-iterating-over-folders,Azure Datalake Gen1 Permission Denied while iterating over folders,76237212.0,1683873496.0,,,
"['azure-synapse', 'azure-data-lake', 'azure-synapse-analytics']","{'account_id': 13840328, 'reputation': 75, 'user_id': 9990853, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10156451754591948/picture?type=large', 'display_name': 'Hammad Hassan Khan', 'link': 'https://stackoverflow.com/users/9990853/hammad-hassan-khan'}",True,80,1,0,1683692686,1683656875,76212420,CC BY-SA 4.0,https://stackoverflow.com/questions/76212420/running-into-errors-creating-a-linked-service-in-azure-synapse,Running into errors creating a linked service in Azure Synapse,,,,,
"['azure', 'bigdata', 'azure-data-lake', 'delta-lake']","{'account_id': 15788158, 'reputation': 121, 'user_id': 11392241, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/31eb1ef3d846cacc51b9741ba9f5a412?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Amar Srivastava', 'link': 'https://stackoverflow.com/users/11392241/amar-srivastava'}",False,96,1,0,1683715128,1683580893,76204436,CC BY-SA 4.0,https://stackoverflow.com/questions/76204436/in-data-lake-architecture-is-there-a-way-to-store-or-flag-bad-or-unclean-data,"In Data Lake architecture, is there a way to store or flag bad or unclean data?",,,,,
"['azure', 'azure-data-factory', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 28484616, 'reputation': 5, 'user_id': 21798081, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/24a54419e0444b8bcc0c55bdd9d80632?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'SandeepB', 'link': 'https://stackoverflow.com/users/21798081/sandeepb'}",True,239,2,0,1683193802,1683045083,76156988,CC BY-SA 4.0,https://stackoverflow.com/questions/76156988/how-do-i-delete-old-folders-from-multiple-subfolders-in-adls-through-adf-pipelin,How do I delete old folders from multiple subfolders in ADLS through ADF pipeline using delete activity?,76171823.0,,,,
"['azure', 'azure-synapse', 'azure-data-lake', 'azure-data-lake-gen2', 'azure-synapse-pipeline']","{'account_id': 49433, 'reputation': 26910, 'user_id': 147175, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/PyWe3.jpg?s=256&g=1', 'display_name': 'Scott Stensland', 'link': 'https://stackoverflow.com/users/147175/scott-stensland'}",False,228,1,1,1682799223,1682778258,76136732,CC BY-SA 4.0,https://stackoverflow.com/questions/76136732/azure-synapse-pipeline-how-to-execute-each-file-as-sql-script,Azure Synapse Pipeline How to execute each file as sql script?,,1682792136.0,,,
"['azure-data-lake', 'azure-data-lake-gen2', 'great-expectations']","{'account_id': 13631339, 'reputation': 377, 'user_id': 9833349, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Toivo Mattila', 'link': 'https://stackoverflow.com/users/9833349/toivo-mattila'}",True,184,1,0,1683011780,1682602161,76120999,CC BY-SA 4.0,https://stackoverflow.com/questions/76120999/error-when-using-great-expectations-to-read-csv-from-azure-data-lake-typeerror,Error when using Great Expectations to read CSV from Azure Data Lake: TypeError: read_csv() got an unexpected keyword argument &#39;connect_options&#39;,76152540.0,,,,
"['azure', 'azure-data-lake', 'azure-data-lake-gen2']","{'account_id': 28411577, 'reputation': 3, 'user_id': 21734907, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxYlT4EkEqR2Oz7e0LzA2g20bkt40HtFkqswXgoY=k-s256', 'display_name': 'Wojtek Jurewicz', 'link': 'https://stackoverflow.com/users/21734907/wojtek-jurewicz'}",True,58,1,0,1682432337,1682428437,76101568,CC BY-SA 4.0,https://stackoverflow.com/questions/76101568/what-would-be-an-easy-and-secure-way-to-push-data-into-azure-data-lake-gen2,What would be an easy and secure way to push data into Azure Data Lake Gen2?,76102220.0,,,,
"['azure', 'odbc', 'azure-data-factory', 'etl', 'azure-data-lake']","{'account_id': 19421601, 'reputation': 3, 'user_id': 14204019, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/SoxvO.jpg?s=256&g=1', 'display_name': 'Vishal', 'link': 'https://stackoverflow.com/users/14204019/vishal'}",True,240,2,0,1682416255,1681980749,76062233,CC BY-SA 4.0,https://stackoverflow.com/questions/76062233/auto-create-table-in-adf-copy-activity-for-odbc-sink-dataset-not-working,Auto create table in ADF copy activity for ODBC Sink Dataset (Not Working),76070667.0,1682001750.0,,,
"['python', 'databricks', 'azure-databricks', 'azure-data-lake']","{'account_id': 19895970, 'reputation': 15, 'user_id': 14577060, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GigPfTfUPDbVFDfnU1YLDHd7S8eYWs1fsDDVpNw=k-s256', 'display_name': 'Debtanu Gupta', 'link': 'https://stackoverflow.com/users/14577060/debtanu-gupta'}",False,545,2,0,1683924975,1681219442,75986415,CC BY-SA 4.0,https://stackoverflow.com/questions/75986415/how-to-write-a-binary-file-directly-from-databricks-pyspark-to-azure-datalake,How to write a binary file directly from Databricks (PySpark) to Azure DataLake?,,1683924975.0,,,
"['azure', 'databricks', 'azure-data-lake', 'delta-lake']","{'account_id': 14692604, 'reputation': 1, 'user_id': 10610831, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-FJ4mRyYYwME/AAAAAAAAAAI/AAAAAAAAAAA/ABtNlbC3xQTqnlxTIEazlji3b5sO7uQZJw/mo/photo.jpg?sz=256', 'display_name': 'Haze', 'link': 'https://stackoverflow.com/users/10610831/haze'}",False,178,1,0,1680944502,1680913227,75962724,CC BY-SA 4.0,https://stackoverflow.com/questions/75962724/delta-lake-change-log,Delta Lake change log?,,,,,
"['dataframe', 'apache-spark', 'pyspark', 'databricks', 'azure-data-lake']","{'account_id': 21431536, 'reputation': 67, 'user_id': 15787852, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/c53sT.jpg?s=256&g=1', 'display_name': 'Olgaraa', 'link': 'https://stackoverflow.com/users/15787852/olgaraa'}",False,1461,1,0,1693864364,1680879128,75959513,CC BY-SA 4.0,https://stackoverflow.com/questions/75959513/error-while-writing-spark-df-to-parquet-parquet-column-cannot-be-converted-col,"Error while writing Spark DF to parquet (Parquet column cannot be converted. Column: [word_c], Expected: StringType, Found: INT64",,,,,
"['python', 'azure-data-lake', 'azure-synapse', 'azure-sdk-python']","{'account_id': 6944941, 'reputation': 1, 'user_id': 5329780, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f1f8da8572d9515cc2366e91be34032d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Marilyn', 'link': 'https://stackoverflow.com/users/5329780/marilyn'}",False,129,1,0,1680238886,1680206261,75892469,CC BY-SA 4.0,https://stackoverflow.com/questions/75892469/azure-datalake-gen2-rename-file-issue,Azure Datalake Gen2 Rename File Issue,,,,,
