tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,last_edit_date,closed_reason,accepted_answer_id,protected_date
"['sharepoint', 'azure-active-directory', 'talend']","{'account_id': 17719187, 'reputation': 1, 'user_id': 12864707, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/703f5247d4370ac8fcd10fd603471be8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Rjj123', 'link': 'https://stackoverflow.com/users/12864707/rjj123'}",False,57,1,0,1694080788,1692951033,76975427,CC BY-SA 4.0,https://stackoverflow.com/questions/76975427/using-thttpclient-component-on-talend-to-access-sharepoint-files,Using tHTTPClient component on talend to access sharepoint files,,1692954660.0,,,
"['github', 'talend']","{'account_id': 3005632, 'reputation': 165, 'user_id': 2550228, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b72518253ad4a167fcf9663c8551a6bf?s=256&d=identicon&r=PG', 'display_name': 'user2550228', 'link': 'https://stackoverflow.com/users/2550228/user2550228'}",True,19,1,0,1693388248,1692779837,76959686,CC BY-SA 4.0,https://stackoverflow.com/questions/76959686/talend-installation-of-custom-components-from-github,Talend Installation of Custom Components from Github,,,,,
"['excel', 'talend']","{'account_id': 6931130, 'reputation': 704, 'user_id': 5320591, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/x6QbH.jpg?s=256&g=1', 'display_name': 'RobyB', 'link': 'https://stackoverflow.com/users/5320591/robyb'}",False,22,0,0,1692441165,1692441165,76934662,CC BY-SA 4.0,https://stackoverflow.com/questions/76934662/talend-online-data-preparation-invalid-version-format-from-engine-info-service,"Talend Online Data Preparation: Invalid version format from engine-info service, expecting yyyy-MM format, value provided was unknown",,,,,
['talend'],"{'account_id': 29221318, 'reputation': 13, 'user_id': 22387009, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTteYom00paA9PJIo9jV6M9IXJ99vsBdUyty-nRPMa-Dg=k-s256', 'display_name': 'user22387009', 'link': 'https://stackoverflow.com/users/22387009/user22387009'}",True,23,1,1,1692365971,1692365364,76929813,CC BY-SA 4.0,https://stackoverflow.com/questions/76929813/getting-file-name-and-column-names-from-json-or-csv-files-in-talend-tool,Getting File Name and Column names from JSON or CSV Files in Talend Tool,,,,76929893.0,
['talend'],"{'account_id': 3913302, 'reputation': 1663, 'user_id': 3237946, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/4aff5232c2d668a9d3ed6cfbd18c8455?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'anatoli', 'link': 'https://stackoverflow.com/users/3237946/anatoli'}",False,8,0,0,1692357711,1692357711,76928863,CC BY-SA 4.0,https://stackoverflow.com/questions/76928863/talend-component-kit-define-own-schema,Talend component kit. Define own schema,,,,,
['talend'],"{'account_id': 17719187, 'reputation': 1, 'user_id': 12864707, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/703f5247d4370ac8fcd10fd603471be8?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Rjj123', 'link': 'https://stackoverflow.com/users/12864707/rjj123'}",False,22,0,0,1692282184,1692282184,76922435,CC BY-SA 4.0,https://stackoverflow.com/questions/76922435/talend-components-to-obtain-files-from-any-https-server-one-drive-g-drive-and,"Talend components to obtain files from any https server (one drive, g drive and sharepoint)",,,,,
"['java', 'talend']","{'account_id': 22244635, 'reputation': 117, 'user_id': 16478523, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJy5SroJdo5lWbX2Tml9u1dPJxg6TxFG5cqDVPqJ=k-s256', 'display_name': 'Jayven Javier', 'link': 'https://stackoverflow.com/users/16478523/jayven-javier'}",True,31,1,0,1692176045,1692088200,76904432,CC BY-SA 4.0,https://stackoverflow.com/questions/76904432/java-code-to-get-object-data-type-in-talend-using-tjava-or-tjavarow,Java Code to get Object Data Type in Talend using tJava or tJavaRow,,,,76911994.0,
"['powershell', 'talend']","{'account_id': 20060396, 'reputation': 307, 'user_id': 14707253, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/OFE8O.jpg?s=256&g=1', 'display_name': 'Emile Dadou', 'link': 'https://stackoverflow.com/users/14707253/emile-dadou'}",False,25,0,0,1691746712,1691746712,76882344,CC BY-SA 4.0,https://stackoverflow.com/questions/76882344/talend-tsystem-error-after-deployment-on-the-tmc,Talend - tSystem error after deployment on the TMC,,,,,
"['etl', 'talend', 'business-intelligence', 'talend-mdm']","{'account_id': 20363503, 'reputation': 5, 'user_id': 17308033, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxDu3LpLN7CFNuS4sYOHC4dLu2tMznBHq_PngOM=k-s256', 'display_name': 'msangel', 'link': 'https://stackoverflow.com/users/17308033/msangel'}",True,20,1,0,1692175845,1691664720,76875039,CC BY-SA 4.0,https://stackoverflow.com/questions/76875039/sorting-on-similar-values-using-talend,Sorting on similar values using talend,,1691676982.0,,,
"['java', 'http', 'talend']","{'account_id': 26735239, 'reputation': 1, 'user_id': 20336912, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa65ce302b1c5ea8be1c903736f2603b?s=256&d=identicon&r=PG', 'display_name': 'balakrishna', 'link': 'https://stackoverflow.com/users/20336912/balakrishna'}",False,26,1,0,1691085786,1691055444,76826762,CC BY-SA 4.0,https://stackoverflow.com/questions/76826762/unable-to-pass-array-value-which-is-stored-in-context-variable-in-http-body-in,"Unable to pass array value, which is stored in context variable in http body in talend job",,1691085786.0,,,
['talend'],"{'account_id': 6962799, 'reputation': 1, 'user_id': 5341764, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2a82c499604d7b8a3bd12ab6381efeca?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'ily', 'link': 'https://stackoverflow.com/users/5341764/ily'}",False,10,0,0,1691062661,1691054926,76826691,CC BY-SA 4.0,https://stackoverflow.com/questions/76826691/couldnt-migrate-connection-items-from-talend-5-2-open-source-to-talend-entrep,Couldn&#39;t migrate connection items from Talend 5.2 (Open source) to Talend Entreprise (8.0),,1691062661.0,,,
['talend'],"{'account_id': 22070832, 'reputation': 11, 'user_id': 16331836, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJz3E0G9M5kYzWuMMUKxScWBLHldkLu_scoQGs-fMPo=k-s256', 'display_name': 'Inder Sijwali', 'link': 'https://stackoverflow.com/users/16331836/inder-sijwali'}",False,23,1,1,1690819202,1690815547,76804859,CC BY-SA 4.0,https://stackoverflow.com/questions/76804859/how-to-pass-the-path-of-any-sql-file-from-excel-to-execute-it-on-talend,How to pass the path of any SQL file from excel to execute it on talend,,,,,
"['etl', 'talend', 'data-integration']","{'account_id': 22290935, 'reputation': 1, 'user_id': 16517832, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyI7fdD1qc3IH3O6HCRGBjxbgIqhu6Ma_-IgF8w=k-s256', 'display_name': 'coder14', 'link': 'https://stackoverflow.com/users/16517832/coder14'}",False,25,0,0,1690563915,1690544883,76787524,CC BY-SA 4.0,https://stackoverflow.com/questions/76787524/talend-api-how-to-extract-the-engine-logs-from-talend-cloud,Talend Api : How to extract the Engine Logs from talend cloud,,1690563915.0,,,
"['encoding', 'utf-8', 'talend']","{'account_id': 25860471, 'reputation': 720, 'user_id': 19593035, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c0298f65389ea182699b595c15c6bba7?s=256&d=identicon&r=PG', 'display_name': 'rochard4u', 'link': 'https://stackoverflow.com/users/19593035/rochard4u'}",False,34,0,0,1690470988,1690470988,76781194,CC BY-SA 4.0,https://stackoverflow.com/questions/76781194/change-the-file-encoding-to-utf-8-without-knowing-input-encoding,Change the file encoding to UTF-8 without knowing input encoding,,,,,
"['java', 'ubuntu', 'memory-management', 'etl', 'talend']","{'account_id': 18932969, 'reputation': 121, 'user_id': 13814708, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JPFOx.jpg?s=256&g=1', 'display_name': 'Rohail Iqbal', 'link': 'https://stackoverflow.com/users/13814708/rohail-iqbal'}",False,40,0,0,1690296336,1690296336,76763868,CC BY-SA 4.0,https://stackoverflow.com/questions/76763868/my-talend-open-studio-keeps-on-crashing-after-sometime,My Talend Open Studio keeps on crashing after sometime,,,,,
"['python', 'java', 'xml', 'parsing', 'talend']","{'account_id': 10539791, 'reputation': 3, 'user_id': 7766314, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/GaGEU.jpg?s=256&g=1', 'display_name': 'aboude', 'link': 'https://stackoverflow.com/users/7766314/aboude'}",False,26,0,0,1690203725,1690203725,76754777,CC BY-SA 4.0,https://stackoverflow.com/questions/76754777/how-can-i-find-the-data-lineage-from-a-item-file-in-talend-studio,How can I find the data lineage from a &quot;.item&quot; file in Talend Studio?,,,,,
"['java', 'talend']","{'account_id': 29050096, 'reputation': 5, 'user_id': 22253117, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d66896e6fb6ecf3f3adc71152c9261b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ha Anh Nguyen', 'link': 'https://stackoverflow.com/users/22253117/ha-anh-nguyen'}",True,46,1,0,1689838387,1689778363,76722613,CC BY-SA 4.0,https://stackoverflow.com/questions/76722613/how-to-process-files-only-for-a-day-before-using-talend,How to process files only for a day before using Talend?,,1689838387.0,,76723119.0,
"['rest', 'talend', 'xwiki']","{'account_id': 29049510, 'reputation': 1, 'user_id': 22252648, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/KFO0y.jpg?s=256&g=1', 'display_name': 'Lucas', 'link': 'https://stackoverflow.com/users/22252648/lucas'}",False,35,1,0,1691369226,1689776793,76722386,CC BY-SA 4.0,https://stackoverflow.com/questions/76722386/how-to-create-a-child-page-to-a-parent-page-with-xwiki-rest-api,How to create a child page to a parent page with XWiki REST API?,,1689797391.0,,,
['talend'],"{'account_id': 2898137, 'reputation': 1803, 'user_id': 2485458, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/52ae91676d3cffc68de43e26dcc61096?s=256&d=identicon&r=PG', 'display_name': 'Panadol Chong', 'link': 'https://stackoverflow.com/users/2485458/panadol-chong'}",False,46,0,0,1689646923,1689592440,76703893,CC BY-SA 4.0,https://stackoverflow.com/questions/76703893/how-to-compare-2-field-in-tds-using-tql-query,How to compare 2 field in TDS using TQL query,,1689646923.0,,,
"['snowflake-cloud-data-platform', 'talend']","{'account_id': 2734872, 'reputation': 1600, 'user_id': 2357766, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/grV0R.jpg?s=256&g=1', 'display_name': 'Rajesh', 'link': 'https://stackoverflow.com/users/2357766/rajesh'}",False,25,0,0,1689332579,1689332579,76687068,CC BY-SA 4.0,https://stackoverflow.com/questions/76687068/temporary-tables-in-snowflake,Temporary tables in SnowFlake,,,,,
"['java', 'if-statement', 'conditional-statements', 'talend']","{'account_id': 25273694, 'reputation': 35, 'user_id': 19102680, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HqCLZ.png?s=256&g=1', 'display_name': 'Onyx', 'link': 'https://stackoverflow.com/users/19102680/onyx'}",True,29,1,0,1689250336,1689248077,76678922,CC BY-SA 4.0,https://stackoverflow.com/questions/76678922/talend-if-statement-with-subconditions,"Talend, If Statement with subconditions",,,,76679242.0,
"['java', 'conditional-statements', 'talend']","{'account_id': 25273694, 'reputation': 35, 'user_id': 19102680, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HqCLZ.png?s=256&g=1', 'display_name': 'Onyx', 'link': 'https://stackoverflow.com/users/19102680/onyx'}",True,71,1,0,1689238942,1689238844,76677632,CC BY-SA 4.0,https://stackoverflow.com/questions/76677632/talend-if-else-in-tjavarow-module,"Talend (if, else) in tJavaRow module",,,,76677650.0,
"['lookup', 'talend', 'tmap', 'data-integration']","{'account_id': 25128953, 'reputation': 3, 'user_id': 18976429, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c9aa0abeacde4a0246163b94340feff9?s=256&d=identicon&r=PG', 'display_name': 'simran kukreja', 'link': 'https://stackoverflow.com/users/18976429/simran-kukreja'}",False,32,0,0,1689073348,1689069737,76660796,CC BY-SA 4.0,https://stackoverflow.com/questions/76660796/how-to-ignore-records-that-are-matched-already-in-lookup-table-and-able-to-fetch,How to ignore records that are matched already in lookup table and able to fetch the next matched records in Talend,,1689073348.0,,,
"['snowflake-cloud-data-platform', 'talend']","{'account_id': 2734872, 'reputation': 1600, 'user_id': 2357766, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/grV0R.jpg?s=256&g=1', 'display_name': 'Rajesh', 'link': 'https://stackoverflow.com/users/2357766/rajesh'}",False,58,1,0,1689060120,1689002485,76655172,CC BY-SA 4.0,https://stackoverflow.com/questions/76655172/cannot-query-the-snowflake-database,Cannot Query the SnowFlake Database,,1689031632.0,,,
"['html', 'talend']","{'account_id': 25273694, 'reputation': 35, 'user_id': 19102680, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HqCLZ.png?s=256&g=1', 'display_name': 'Onyx', 'link': 'https://stackoverflow.com/users/19102680/onyx'}",False,33,0,0,1688989623,1688989623,76653420,CC BY-SA 4.0,https://stackoverflow.com/questions/76653420/talend-open-studio-tsendmail-html-script-doesnt-working,Talend Open Studio - tSendMail - HTML script doesn&#39;t working,,,,,
"['mongodb', 'talend']","{'account_id': 2898137, 'reputation': 1803, 'user_id': 2485458, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/52ae91676d3cffc68de43e26dcc61096?s=256&d=identicon&r=PG', 'display_name': 'Panadol Chong', 'link': 'https://stackoverflow.com/users/2485458/panadol-chong'}",False,13,0,0,1688718407,1688718407,76635210,CC BY-SA 4.0,https://stackoverflow.com/questions/76635210/mongodb-talend-service-keep-down-when-trying-to-access-tds-campaign,Mongodb talend service keep down when trying to Access TDS campaign,,,,,
"['web-services', 'post', 'odata', 'talend']","{'account_id': 22423722, 'reputation': 1, 'user_id': 16630649, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/60c217e506fc78be00c68e3e58cefb60?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'TheoB', 'link': 'https://stackoverflow.com/users/16630649/theob'}",False,27,0,0,1688636540,1688634022,76627154,CC BY-SA 4.0,https://stackoverflow.com/questions/76627154/talend-open-studio-trestclient-post-webservice-call,Talend Open studio - tRestClient - POST webservice call,,1688636540.0,,,
"['talend', 'logfile']","{'account_id': 27176170, 'reputation': 1, 'user_id': 20712118, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dcf48a87587bbd95d50be5876c450669?s=256&d=identicon&r=PG', 'display_name': 'Ajay', 'link': 'https://stackoverflow.com/users/20712118/ajay'}",False,35,1,0,1688024393,1687786692,76557234,CC BY-SA 4.0,https://stackoverflow.com/questions/76557234/how-to-read-log-file-and-load-to-snowflake-table-in-talend,How to read log file and load to snowflake table in talend,,,,,
"['sql', 'sql-server-2012', 'etl', 'talend', 'talend-mdm']","{'account_id': 28872519, 'reputation': 1, 'user_id': 22113752, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a7385efa1149d4bfc6aa5311285c54b3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Himamshu', 'link': 'https://stackoverflow.com/users/22113752/himamshu'}",False,29,0,0,1687434142,1687434142,76531528,CC BY-SA 4.0,https://stackoverflow.com/questions/76531528/how-we-can-get-nvarchar-column-value-from-sql-server-in-talend,How we can get nvarchar column value from SQL Server in talend,,,,,
"['database', 'database-design', 'data-warehouse', 'talend', 'fact']","{'account_id': 28595120, 'reputation': 197, 'user_id': 21893467, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbcE5_0OmfgoEete-KG7XEnmC0c9Hzv8eO9J7fZ=k-s256', 'display_name': 'userrr', 'link': 'https://stackoverflow.com/users/21893467/userrr'}",True,109,1,-1,1687438849,1687378375,76526823,CC BY-SA 4.0,https://stackoverflow.com/questions/76526823/difference-between-stagining-area-and-ods-in-datawarehouse-modeling,Difference between Stagining Area and ODS in Datawarehouse Modeling,,,,76531011.0,
"['java', 'talend', 'talend-mdm']","{'account_id': 28813234, 'reputation': 1, 'user_id': 22067474, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtfubgibbIlColxE4Zo2kQb9qaG0c0FQCpvPXL4QMA=k-s256', 'display_name': 'Rajan Bhat - guitarsandmuscles', 'link': 'https://stackoverflow.com/users/22067474/rajan-bhat-guitarsandmuscles'}",False,81,0,0,1687320686,1686667084,76466074,CC BY-SA 4.0,https://stackoverflow.com/questions/76466074/talend-how-to-remove-a-specific-xml-tag-from-output-when-the-source-file-is-a,Talend: How to remove a specific XML tag from output when the source file is a .txt file instead of xml,,1687320686.0,,,
"['csv', 'talend']","{'account_id': 16434306, 'reputation': 1, 'user_id': 11872275, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/020ee3b4825473791608a8b1ce74c974?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'jlolol', 'link': 'https://stackoverflow.com/users/11872275/jlolol'}",False,36,1,0,1686577065,1686575470,76457013,CC BY-SA 4.0,https://stackoverflow.com/questions/76457013/talend-parsing-csv-file-that-contains-quotes-around-my-entire-row,Talend - Parsing CSV file that contains quotes around my entire row,,1686575492.0,,,
"['mapping', 'talend', 'logical-operators', 'formal-languages', 'data-integration']","{'account_id': 25827905, 'reputation': 63, 'user_id': 19565643, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmkoLprOK-nLBacccncExDmKRVTn6ne2Eix3SH6g=k-s256', 'display_name': 'Francesca Restante', 'link': 'https://stackoverflow.com/users/19565643/francesca-restante'}",False,27,0,1,1686301249,1686301249,76438755,CC BY-SA 4.0,https://stackoverflow.com/questions/76438755/talend-application-scenarios-is-it-correct-to-have-logical-operators-in-the-fir,Talend application scenarios: is it correct to have logical operators in the first term of GAV mapping?,,,,,
"['java', 'sql', 'snowflake-cloud-data-platform', 'talend']","{'account_id': 20060396, 'reputation': 307, 'user_id': 14707253, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/OFE8O.jpg?s=256&g=1', 'display_name': 'Emile Dadou', 'link': 'https://stackoverflow.com/users/14707253/emile-dadou'}",False,44,0,0,1687891955,1686144341,76423795,CC BY-SA 4.0,https://stackoverflow.com/questions/76423795/talend-snowflake-issue-with-merge-into-request,Talend / Snowflake - issue with merge into request,,,,,
['talend'],"{'account_id': 19962082, 'reputation': 1, 'user_id': 14629423, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d1ba814b61e882d17a2d3f448c7eb24?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'ahmed', 'link': 'https://stackoverflow.com/users/14629423/ahmed'}",False,25,0,0,1686003791,1686003791,76410347,CC BY-SA 4.0,https://stackoverflow.com/questions/76410347/build-a-talend-job-to-generate-email-alerts,Build a Talend job to generate email alerts,,,,,
['talend'],"{'account_id': 2734872, 'reputation': 1600, 'user_id': 2357766, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/grV0R.jpg?s=256&g=1', 'display_name': 'Rajesh', 'link': 'https://stackoverflow.com/users/2357766/rajesh'}",False,37,0,0,1685989269,1685989269,76409054,CC BY-SA 4.0,https://stackoverflow.com/questions/76409054/connect-to-salesforce-marketing-cloud-in-talend,Connect to SalesForce Marketing Cloud in Talend,,,,,
"['google-bigquery', 'amazon-rds', 'etl', 'talend', 'stitch']","{'account_id': 16168453, 'reputation': 39, 'user_id': 11672838, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/reEob.jpg?s=256&g=1', 'display_name': 'Khawaja Abdul Ahad', 'link': 'https://stackoverflow.com/users/11672838/khawaja-abdul-ahad'}",False,28,0,0,1685959742,1685959742,76405361,CC BY-SA 4.0,https://stackoverflow.com/questions/76405361/connection-timeout-issue-in-stitch-integration,Connection Timeout Issue in Stitch Integration,,,,,
"['java', 'arrays', 'json', 'csv', 'talend']","{'account_id': 27900110, 'reputation': 35, 'user_id': 21304583, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbEhevfdSiVf3cEEMK6kUaypqkGaMf1cHfHzDDD=k-s256', 'display_name': 'Fabio Mignardi', 'link': 'https://stackoverflow.com/users/21304583/fabio-mignardi'}",False,233,0,1,1686082826,1685610296,76380293,CC BY-SA 4.0,https://stackoverflow.com/questions/76380293/parse-a-nested-json-array-with-talend-open-studio-and-make-it-a-table,Parse a nested JSON array with Talend Open Studio and make it a table,,,,,
"['authentication', 'talend', 'atom-feed']","{'account_id': 1774405, 'reputation': 17, 'user_id': 1618471, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ZTxJn.jpg?s=256&g=1', 'display_name': 'Careau', 'link': 'https://stackoverflow.com/users/1618471/careau'}",True,35,1,0,1686253246,1685393886,76360293,CC BY-SA 4.0,https://stackoverflow.com/questions/76360293/talend-component-trssinput-with-authentification-to-query-an-atomfeed,talend component tRssInput with authentification to query an atomfeed,,,,76435211.0,
