tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date,community_owned_date
"['database', 'data-warehouse', 'dimensional-modeling']","{'account_id': 26169394, 'reputation': 391, 'user_id': 19854658, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1ab8cf9b5b07204ff9ba0d4fa13cb16?s=256&d=identicon&r=PG', 'display_name': 'Jean-Paul Azzopardi', 'link': 'https://stackoverflow.com/users/19854658/jean-paul-azzopardi'}",False,25,0,0,1689551803,1689551803,76700842,CC BY-SA 4.0,https://stackoverflow.com/questions/76700842/building-a-snapshot-fact-table,Building a Snapshot Fact Table,,,,,,,
"['database', 'data-warehouse', 'dimensional-modeling', 'star-schema']","{'account_id': 26169394, 'reputation': 391, 'user_id': 19854658, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1ab8cf9b5b07204ff9ba0d4fa13cb16?s=256&d=identicon&r=PG', 'display_name': 'Jean-Paul Azzopardi', 'link': 'https://stackoverflow.com/users/19854658/jean-paul-azzopardi'}",False,24,0,0,1689543245,1689543245,76700507,CC BY-SA 4.0,https://stackoverflow.com/questions/76700507/implementing-date-dimensions-in-dw,Implementing date dimensions in DW?,,,,,,,
"['pyspark', 'etl', 'data-warehouse', 'informatica']","{'user_type': 'does_not_exist', 'display_name': 'user21993692'}",False,45,0,1,1689668002,1689526700,76699462,CC BY-SA 4.0,https://stackoverflow.com/questions/76699462/is-it-possible-to-do-complex-row-by-row-operation-efficiently-by-spark-like-etl,Is it possible to do complex row by row operation efficiently by Spark like ETL tools?,1689574342.0,,,,,,
"['sql-server', 'ssas', 'data-warehouse', 'linked-server']","{'account_id': 21050619, 'reputation': 55, 'user_id': 16714065, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gjhc-MnKHoUfZULH2ULsa1QQxAyBUMLe9cZj8DZ=k-s256', 'display_name': 'hermann joel', 'link': 'https://stackoverflow.com/users/16714065/hermann-joel'}",False,28,0,0,1688228409,1688224488,76595306,CC BY-SA 4.0,https://stackoverflow.com/questions/76595306/can-i-set-ssas-multidimensional-model-data-source-a-database-in-a-sql-server-lin,Can i set SSAS multidimensional model data source a database in a SQL Server linked server?,1688228409.0,,,,,,
"['analytics', 'data-warehouse', 'dbt']","{'account_id': 901151, 'reputation': 9098, 'user_id': 937271, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/05cb1759e7799b7272464b6bfc06d6d1?s=256&d=identicon&r=PG', 'display_name': 'Gerard', 'link': 'https://stackoverflow.com/users/937271/gerard'}",True,153,1,1,1688595106,1688155448,76591945,CC BY-SA 4.0,https://stackoverflow.com/questions/76591945/dbt-backfill-of-arbitrary-dates,dbt backfill of arbitrary dates,,,,,,,
"['sql-server', 'google-bigquery', 'data-warehouse']","{'account_id': 28904107, 'reputation': 1, 'user_id': 22138418, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtdK9sB5bCAOsNmPH8A_GzKs7ViKV4xbz7epirmJq2_z=k-s256', 'display_name': 'Briana Vieira', 'link': 'https://stackoverflow.com/users/22138418/briana-vieira'}",False,23,0,0,1687861918,1687861918,76563962,CC BY-SA 4.0,https://stackoverflow.com/questions/76563962/data-from-sql-server-to-bigquery,data from sql server to bigquery,,,,,,,
"['database', 'database-design', 'data-warehouse', 'talend', 'fact']","{'account_id': 28595120, 'reputation': 197, 'user_id': 21893467, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbcE5_0OmfgoEete-KG7XEnmC0c9Hzv8eO9J7fZ=k-s256', 'display_name': 'userrr', 'link': 'https://stackoverflow.com/users/21893467/userrr'}",True,109,1,-1,1687438849,1687378375,76526823,CC BY-SA 4.0,https://stackoverflow.com/questions/76526823/difference-between-stagining-area-and-ods-in-datawarehouse-modeling,Difference between Stagining Area and ODS in Datawarehouse Modeling,,76531011.0,,,,,
"['database', 'database-design', 'data-modeling', 'data-warehouse', 'fact-table']","{'account_id': 28595120, 'reputation': 197, 'user_id': 21893467, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbcE5_0OmfgoEete-KG7XEnmC0c9Hzv8eO9J7fZ=k-s256', 'display_name': 'userrr', 'link': 'https://stackoverflow.com/users/21893467/userrr'}",True,116,1,1,1687438063,1687366428,76525546,CC BY-SA 4.0,https://stackoverflow.com/questions/76525546/whats-the-difference-between-a-datamart-and-a-fact-table,What&#39;s the difference between a DataMart and a Fact Table?,,76531021.0,,,,,
"['database', 'database-design', 'data-modeling', 'data-warehouse']","{'account_id': 28595120, 'reputation': 197, 'user_id': 21893467, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbcE5_0OmfgoEete-KG7XEnmC0c9Hzv8eO9J7fZ=k-s256', 'display_name': 'userrr', 'link': 'https://stackoverflow.com/users/21893467/userrr'}",True,49,1,1,1687362007,1687358461,76524525,CC BY-SA 4.0,https://stackoverflow.com/questions/76524525/null-foreign-keys-in-fact-table,Null Foreign Keys in Fact Table,,76524947.0,,,,,
"['data-warehouse', 'kimball']","{'account_id': 28595120, 'reputation': 197, 'user_id': 21893467, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbcE5_0OmfgoEete-KG7XEnmC0c9Hzv8eO9J7fZ=k-s256', 'display_name': 'userrr', 'link': 'https://stackoverflow.com/users/21893467/userrr'}",True,65,1,1,1687357031,1687352742,76523619,CC BY-SA 4.0,https://stackoverflow.com/questions/76523619/calendar-dimension-in-datawarehouse-modeling,Calendar Dimension in Datawarehouse Modeling,1687357031.0,76524281.0,,,,,
"['google-bigquery', 'data-warehouse', 'mlops', 'feature-store']","{'account_id': 10465912, 'reputation': 69, 'user_id': 7715338, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/HuHK0.jpg?s=256&g=1', 'display_name': 'ThiagoSC', 'link': 'https://stackoverflow.com/users/7715338/thiagosc'}",True,92,1,-1,1687430339,1687276693,76516514,CC BY-SA 4.0,https://stackoverflow.com/questions/76516514/what-is-the-best-format-for-a-bigquery-table-that-is-constatly-receiving-new-col,What is the best format for a BigQuery table that is constatly receiving new columns (feature store best practices),1687430222.0,76531053.0,,,,,
"['database', 'powerbi', 'data-modeling', 'data-warehouse', 'fact-table']","{'account_id': 28595120, 'reputation': 197, 'user_id': 21893467, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbcE5_0OmfgoEete-KG7XEnmC0c9Hzv8eO9J7fZ=k-s256', 'display_name': 'userrr', 'link': 'https://stackoverflow.com/users/21893467/userrr'}",True,42,1,0,1687364483,1687271691,76515837,CC BY-SA 4.0,https://stackoverflow.com/questions/76515837/hirerachal-dimensions,Hirerachal dimensions,,76525347.0,,,,,
"['sql', 'powerbi', 'data-modeling', 'data-warehouse', 'dimensional-modeling']","{'account_id': 28177654, 'reputation': 1, 'user_id': 21535207, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxZI4vrPvEdjfS46KmRh8nQgxCaiN0WKbvbOFEsU=k-s256', 'display_name': 'cmya', 'link': 'https://stackoverflow.com/users/21535207/cmya'}",False,64,1,0,1687363748,1686865708,76485732,CC BY-SA 4.0,https://stackoverflow.com/questions/76485732/relating-two-fact-tables-with-many-to-many-relationship,Relating two fact tables with many-to-many relationship,,,,,,,
"['etl', 'data-warehouse', 'informatica', 'informatica-powercenter']","{'account_id': 28827385, 'reputation': 1, 'user_id': 22078498, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e2a1ddbb9e3941dd72bc5e8fd335c31c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ritwik Das', 'link': 'https://stackoverflow.com/users/22078498/ritwik-das'}",False,20,0,0,1686831249,1686831249,76482346,CC BY-SA 4.0,https://stackoverflow.com/questions/76482346/there-is-unexpected-duplicate-records-in-my-informatica-mapping-i-am-unable-to,There is unexpected duplicate records in my informatica mapping. I am unable to find from where they are coming?,,,,,,,
"['powerbi', 'data-modeling', 'data-warehouse']","{'account_id': 6426032, 'reputation': 63, 'user_id': 4981155, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d71175c518a0b1eaaa4c9e0c23ac4e69?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'owneyjs', 'link': 'https://stackoverflow.com/users/4981155/owneyjs'}",False,47,1,1,1688133319,1686539916,76453460,CC BY-SA 4.0,https://stackoverflow.com/questions/76453460/entire-dimension-table-is-rapidly-changing,Entire Dimension Table is Rapidly Changing,,,,,,,
"['sql', 'database', 'data-warehouse', 'data-vault', 'data-lakehouse']","{'account_id': 28771392, 'reputation': 11, 'user_id': 22035075, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3bf89ff627b1eb908570e36d3939f61d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Anonymous', 'link': 'https://stackoverflow.com/users/22035075/anonymous'}",False,113,1,1,1686312641,1686140040,76423201,CC BY-SA 4.0,https://stackoverflow.com/questions/76423201/data-vault-relationship-between-link-and-sat-on-historical-analysis-using-sql,Data Vault: Relationship between LINK and SAT on Historical analysis using SQL,1686309930.0,,,,,,
"['database', 'database-design', 'data-modeling', 'data-warehouse', 'fact-table']","{'account_id': 28595120, 'reputation': 197, 'user_id': 21893467, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbcE5_0OmfgoEete-KG7XEnmC0c9Hzv8eO9J7fZ=k-s256', 'display_name': 'userrr', 'link': 'https://stackoverflow.com/users/21893467/userrr'}",True,87,1,-1,1686153355,1685697198,76388741,CC BY-SA 4.0,https://stackoverflow.com/questions/76388741/can-i-include-string-values-in-fact-table,Can I include string values in Fact Table?,,76425136.0,,,,,
"['database', 'database-design', 'data-modeling', 'data-warehouse', 'fact-table']","{'account_id': 28595120, 'reputation': 197, 'user_id': 21893467, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxbcE5_0OmfgoEete-KG7XEnmC0c9Hzv8eO9J7fZ=k-s256', 'display_name': 'userrr', 'link': 'https://stackoverflow.com/users/21893467/userrr'}",True,69,1,-2,1686345656,1685615858,76381028,CC BY-SA 4.0,https://stackoverflow.com/questions/76381028/can-i-store-textual-fields-in-fact-table-of-datawarehouse,Can I store textual fields in fact table of Datawarehouse?,1685616288.0,76443702.0,,,,,
"['database', 'snowflake-cloud-data-platform', 'data-warehouse', 'incremental']","{'account_id': 9826177, 'reputation': 83, 'user_id': 7279245, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/77f26ecd2d2857cc875199cb70962b98?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Abhishek', 'link': 'https://stackoverflow.com/users/7279245/abhishek'}",False,58,0,0,1685458969,1685458969,76366183,CC BY-SA 4.0,https://stackoverflow.com/questions/76366183/problem-with-incremental-data-load-strategy,Problem with incremental data load strategy,,,,,,,
"['data-warehouse', 'minio']","{'account_id': 1533431, 'reputation': 99, 'user_id': 1430048, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/8d33b3996fc8278d3cde488fb7f10aa7?s=256&d=identicon&r=PG', 'display_name': 'KDS', 'link': 'https://stackoverflow.com/users/1430048/kds'}",False,20,0,0,1685489699,1685358397,76356799,CC BY-SA 4.0,https://stackoverflow.com/questions/76356799/taking-more-storage-in-minio-master-node,Taking more storage in minio master node,1685489699.0,,,,,,
"['snowflake-cloud-data-platform', 'etl', 'data-warehouse', 'datamart', 'primary-key-design']","{'account_id': 24605303, 'reputation': 1, 'user_id': 18507586, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhpqtpezWDGy0VWEVu_W1FebvJCOz5dU6--Tpam=k-s256', 'display_name': 'Umair Ahmed', 'link': 'https://stackoverflow.com/users/18507586/umair-ahmed'}",False,38,0,0,1684849788,1684511111,76290609,CC BY-SA 4.0,https://stackoverflow.com/questions/76290609/etl-process-where-primary-unique-key-changes-after-order-status-change,ETL process where Primary Unique key changes after order status change,1684849788.0,,,,,,
"['sql', 'azure-sql-database', 'data-warehouse']","{'account_id': 7830683, 'reputation': 3, 'user_id': 5920847, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/kC0q9.jpg?s=256&g=1', 'display_name': 'NerdyWithAByte', 'link': 'https://stackoverflow.com/users/5920847/nerdywithabyte'}",True,71,2,0,1684429058,1684369316,76276980,CC BY-SA 4.0,https://stackoverflow.com/questions/76276980/month-over-month-querying-in-multiple-dimension-tables,Month over Month querying in multiple dimension tables,1684429058.0,76277402.0,,,,,
"['apache-spark', 'optimization', 'spark-streaming', 'data-warehouse', 'delta-lake']","{'account_id': 28275815, 'reputation': 11, 'user_id': 21618308, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxZo7etrKWc82REE3PMWUAiIZ635BBz08Kf2MRSD=k-s256', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/21618308/john'}",False,58,0,0,1689768415,1684332401,76273009,CC BY-SA 4.0,https://stackoverflow.com/questions/76273009/best-sequence-of-using-vacuum-optimize-fsck-repair-and-refresh-commands-on-del,"Best sequence of using Vacuum, optimize, fsck repair and refresh commands on delta tables",1689768415.0,,,,,,
"['database', 'aggregation', 'data-warehouse']","{'account_id': 1660614, 'reputation': 85, 'user_id': 1528982, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/bafb36135f54065dc412e67d62a19967?s=256&d=identicon&r=PG', 'display_name': 'pengwin', 'link': 'https://stackoverflow.com/users/1528982/pengwin'}",False,28,1,-1,1686153619,1684237463,76262647,CC BY-SA 4.0,https://stackoverflow.com/questions/76262647/data-warehousing-aggregating,Data warehousing aggregating,,,,,,,
"['sql', 'google-bigquery', 'airflow', 'data-warehouse']","{'account_id': 12600044, 'reputation': 29, 'user_id': 9163109, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/154b501b4f65e048c6e32eed955a895a?s=256&d=identicon&r=PG', 'display_name': 'Novan Dwi Atmaja', 'link': 'https://stackoverflow.com/users/9163109/novan-dwi-atmaja'}",True,58,1,0,1684121820,1684031174,76245567,CC BY-SA 4.0,https://stackoverflow.com/questions/76245567/manage-big-query-table-from-google-sheet,Manage Big Query table from Google Sheet,,76245841.0,,,,,
"['data-warehouse', 'dimensional-modeling', 'fact-table']","{'account_id': 11491283, 'reputation': 227, 'user_id': 8422165, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/FW8Sn.png?s=256&g=1', 'display_name': 'Fisk', 'link': 'https://stackoverflow.com/users/8422165/fisk'}",True,83,2,0,1684257595,1684016692,76245109,CC BY-SA 4.0,https://stackoverflow.com/questions/76245109/fact-table-and-grain-repeating-measures,Fact Table and Grain - Repeating Measures?,1684057207.0,76248661.0,,,,,
"['amazon-web-services', 'webhooks', 'data-warehouse', 'aws-event-bridge', 'zendesk']","{'account_id': 439705, 'reputation': 3133, 'user_id': 828824, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://www.gravatar.com/avatar/451588508d9309f0df812f650b697d2d?s=256&d=identicon&r=PG', 'display_name': 'de1337ed', 'link': 'https://stackoverflow.com/users/828824/de1337ed'}",False,57,1,-1,1686312783,1683933220,76240429,CC BY-SA 4.0,https://stackoverflow.com/questions/76240429/datawarehousing-design-patterns-for-event-driven-semi-structured-data,DataWarehousing design patterns for event-driven semi-structured data,,,,,,,
