tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason
"['oracle11g', 'oracle-data-integrator']","{'account_id': 22188713, 'reputation': 3, 'user_id': 16431229, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhHocBrqYgdfnPl5MJX02LzjO4sufzDVrKDg-lx-Q=k-s256', 'display_name': 'Siva Kumar G', 'link': 'https://stackoverflow.com/users/16431229/siva-kumar-g'}",True,38,76156119.0,1,0,1683038989,1682944143,76146947,CC BY-SA 4.0,https://stackoverflow.com/questions/76146947/can-i-skip-or-inactive-any-odi-components-from-packages-while-executing-in-odi-1,Can I skip or inactive any ODI components from packages while executing in ODI 11g?,,,
"['jython', 'oracle-data-integrator']","{'account_id': 17843866, 'reputation': 13, 'user_id': 12961187, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-JLfmns5Y0CM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdx5paUy90gfT_0YLhrA0XsjqW2fg/photo.jpg?sz=256', 'display_name': 'Irena', 'link': 'https://stackoverflow.com/users/12961187/irena'}",False,34,,0,0,1678811726,1678811726,75735978,CC BY-SA 4.0,https://stackoverflow.com/questions/75735978/odi-jython-command-removes-write-protection-from-files,ODI Jython command removes write protection from files,,,
['oracle-data-integrator'],"{'account_id': 17843866, 'reputation': 13, 'user_id': 12961187, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-JLfmns5Y0CM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdx5paUy90gfT_0YLhrA0XsjqW2fg/photo.jpg?sz=256', 'display_name': 'Irena', 'link': 'https://stackoverflow.com/users/12961187/irena'}",False,257,,1,0,1678204669,1678202744,75663916,CC BY-SA 4.0,https://stackoverflow.com/questions/75663916/generate-header-with-odisqlunload-for-a-csv-file,Generate header with OdiSqlUnload for a csv file,,,
"['java', 'import', 'sdk', 'export', 'oracle-data-integrator']","{'account_id': 27925427, 'reputation': 1, 'user_id': 21324643, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3c391f4511a830e1ea58223de37e2650?s=256&d=identicon&r=PG', 'display_name': 'mansa', 'link': 'https://stackoverflow.com/users/21324643/mansa'}",False,149,,1,0,1677852172,1677849059,75627502,CC BY-SA 4.0,https://stackoverflow.com/questions/75627502/odi-12c-export-and-import-objects-using-java-sdk,ODI 12c export and import objects using Java SDK,,,
"['oracle', 'etl', 'oracle-data-integrator']","{'account_id': 12030357, 'reputation': 1, 'user_id': 8800799, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b8fb1fd2bcf0183ce663273b8928ab69?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'BlackJoker', 'link': 'https://stackoverflow.com/users/8800799/blackjoker'}",False,53,,0,0,1677833731,1677832961,75624882,CC BY-SA 4.0,https://stackoverflow.com/questions/75624882/oracle-odi-complex-file-custom-number-of-digits-to-the-right-of-the-decimal-poi,Oracle ODI Complex File: Custom number of digits to the right of the decimal point,1677833731.0,,
"['databricks', 'azure-databricks', 'oracle-data-integrator', 'databricks-sql', 'databricks-connect']","{'account_id': 8574138, 'reputation': 59, 'user_id': 6423917, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-yVnTulzY4yY/AAAAAAAAAAI/AAAAAAAAKdA/0lEEcoPYe4Y/photo.jpg?sz=256', 'display_name': 'Rajesh Kumar', 'link': 'https://stackoverflow.com/users/6423917/rajesh-kumar'}",False,147,,1,0,1683362011,1675682955,75360727,CC BY-SA 4.0,https://stackoverflow.com/questions/75360727/enc-key-len-error-while-running-the-queries-azure-databricks,ENC_KEY_LEN error while running the Queries Azure Databricks,,,
"['random', 'oracle-data-integrator']","{'account_id': 27462531, 'reputation': 1, 'user_id': 20952865, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/61b9c4d343a4009910a2c7e03ce2886a?s=256&d=identicon&r=PG', 'display_name': 'ns2easy', 'link': 'https://stackoverflow.com/users/20952865/ns2easy'}",False,55,,0,0,1673158900,1673109632,75042036,CC BY-SA 4.0,https://stackoverflow.com/questions/75042036/how-to-select-a-certain-number-of-random-values-with-odi-12-c,How to select a certain number of random values with odi 12 c?,1673158900.0,,
['oracle-data-integrator'],"{'account_id': 27267107, 'reputation': 1, 'user_id': 20788951, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AEdFTp4MENe_p71XpTH9Au-8SYFMS8zwLFKYc6bNCn4w=k-s256', 'display_name': 'ingelemi', 'link': 'https://stackoverflow.com/users/20788951/ingelemi'}",False,94,,0,0,1671149104,1671149104,74818891,CC BY-SA 4.0,https://stackoverflow.com/questions/74818891/unable-to-connect-oracle-odi-marketplace-to-mysql-embedded-repository,Unable to connect Oracle ODI Marketplace to mysql embedded repository,,,
"['oracle', 'oracle-data-integrator']","{'account_id': 27213121, 'reputation': 1, 'user_id': 20743605, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AEdFTp7WeHN9tfdVTQrlSrVxQmKFDj2mDIaZlG6_js6s=k-s256', 'display_name': 'Vishal SQL', 'link': 'https://stackoverflow.com/users/20743605/vishal-sql'}",False,189,,0,0,1670866108,1670866108,74775005,CC BY-SA 4.0,https://stackoverflow.com/questions/74775005/oracle-data-integrator-performance-improvement-in-odi-mappings,Oracle Data Integrator - Performance improvement in ODI Mappings,,,
"['oracle', 'agent', 'oracle-data-integrator']","{'account_id': 23318848, 'reputation': 1, 'user_id': 17397108, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f89f8c589a4bba96e9b1381cd7a74bf7?s=256&d=identicon&r=PG', 'display_name': 'ftmblgn', 'link': 'https://stackoverflow.com/users/17397108/ftmblgn'}",False,18,,0,0,1669921655,1669921655,74647019,CC BY-SA 4.0,https://stackoverflow.com/questions/74647019/print-file-to-server,print file to server,,,
"['python', 'oracle-data-integrator']","{'account_id': 16606659, 'reputation': 1, 'user_id': 15418508, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-0KRE30Bz0i4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcTV1Yk7SBbmc1Pk-HcxG-B_NbBjQ/photo.jpg?sz=256', 'display_name': 'se&#241;ora', 'link': 'https://stackoverflow.com/users/15418508/se%c3%b1ora'}",True,893,,1,0,1669297354,1669154055,74539405,CC BY-SA 4.0,https://stackoverflow.com/questions/74539405/run-python-script-oracle-data-integrator-odi,Run python script oracle data integrator (ODI),1669154330.0,,
"['oracle', 'oracle-data-integrator']","{'account_id': 26916178, 'reputation': 1, 'user_id': 20490914, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f48dabaad64e98d1fe48c3ea22d9aba0?s=256&d=identicon&r=PG', 'display_name': 'cosmobeast', 'link': 'https://stackoverflow.com/users/20490914/cosmobeast'}",True,511,,1,0,1668874348,1668324071,74419162,CC BY-SA 4.0,https://stackoverflow.com/questions/74419162/odi-12c-variables,ODI 12c Variables,1668874348.0,,
"['sql-server', 'oracle', 'database-migration', 'oracle-data-integrator']","{'account_id': 11773585, 'reputation': 89, 'user_id': 8615868, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/26626ee5362d1a251d1c70fa8445da86?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Santosh Kadam', 'link': 'https://stackoverflow.com/users/8615868/santosh-kadam'}",False,131,,0,0,1662484448,1662484448,73625655,CC BY-SA 4.0,https://stackoverflow.com/questions/73625655/generate-create-table-script-for-oracle-from-sql-server-tables,Generate create table script for Oracle from SQL Server tables,,,
"['mapping', 'etl', 'oracle12c', 'oracle-data-integrator']","{'account_id': 21584462, 'reputation': 23, 'user_id': 15915164, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgFKAnSsKnbKP5mh1zKSREDHHfNK9IvjX3vMOAJ=k-s256', 'display_name': 'Priya', 'link': 'https://stackoverflow.com/users/15915164/priya'}",False,275,,1,1,1667169193,1662100995,73578721,CC BY-SA 4.0,https://stackoverflow.com/questions/73578721/how-to-load-data-from-text-file-to-table-in-odi-12c-mapping,How to load data from text file to table in odi 12c mapping?,1662104303.0,,
"['python', 'excel', 'oracle-data-integrator']","{'account_id': 15307339, 'reputation': 23, 'user_id': 11043613, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/zTpst.jpg?s=256&g=1', 'display_name': 'Nia Doe', 'link': 'https://stackoverflow.com/users/11043613/nia-doe'}",True,137,,1,0,1661546893,1661326815,73469208,CC BY-SA 4.0,https://stackoverflow.com/questions/73469208/how-to-extract-excel-sheets-into-multiple-csvs-then-transform-into-txt-file-on,How to extract Excel sheets into multiple CSVs then transform into .txt file on Oracle Data Integrator (ODI)?,1661328189.0,,
"['oracle', 'oracle-sqldeveloper', 'oracle-data-integrator']","{'account_id': 23965183, 'reputation': 15, 'user_id': 18699269, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b1d93c60bcc53242e6422a229c3fbae6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'KKU', 'link': 'https://stackoverflow.com/users/18699269/kku'}",True,37,72449933.0,1,0,1654008440,1654007324,72449658,CC BY-SA 4.0,https://stackoverflow.com/questions/72449658/empty-value-is-giving-wrong-value-after-being-mapped,Empty value is giving wrong Value after being mapped,1654007897.0,,
"['sql', 'oracle', 'oracle-data-integrator']","{'account_id': 8622953, 'reputation': 213, 'user_id': 10795248, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eba142aeb75145fe95a751194f0ec5cd?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Panri93', 'link': 'https://stackoverflow.com/users/10795248/panri93'}",True,50,71951161.0,1,0,1650530657,1650528510,71950949,CC BY-SA 4.0,https://stackoverflow.com/questions/71950949/sql-query-generates-duplicates,SQL Query generates duplicates,1650529278.0,,
['oracle-data-integrator'],"{'account_id': 23225789, 'reputation': 1, 'user_id': 17317361, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4c74e9cf28095c2f1279234a904feea8?s=256&d=identicon&r=PG', 'display_name': 'juno2020', 'link': 'https://stackoverflow.com/users/17317361/juno2020'}",False,381,,1,0,1669282642,1649763689,71842024,CC BY-SA 4.0,https://stackoverflow.com/questions/71842024/odi-12c-custom-template-extract-option-not-working,ODI 12c CUSTOM_TEMPLATE extract option not working,,,
"['oracle', 'mapping', 'toad', 'oracle-data-integrator']","{'account_id': 17225974, 'reputation': 45, 'user_id': 12471600, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDl2KmRayRdYYB1k4BmwgRjPtBKgyj3XP3MU1LTLg=k-s256', 'display_name': 'pawan rakesh', 'link': 'https://stackoverflow.com/users/12471600/pawan-rakesh'}",False,847,,1,0,1646982560,1646844219,71412945,CC BY-SA 4.0,https://stackoverflow.com/questions/71412945/the-following-bind-parameters-5644-0-in-the-task-command-merge-query-are-no,The following bind parameters (56:44.0) in the task command &lt;MERGE QUERY&gt; are not bound to any value,1646845516.0,,
"['character-encoding', 'oracle-data-integrator']","{'account_id': 14591644, 'reputation': 1, 'user_id': 11386551, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cb31d040897b44e5e0e24b34c1bdc832?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'mstkris', 'link': 'https://stackoverflow.com/users/11386551/mstkris'}",False,120,,1,0,1647422902,1646792697,71403622,CC BY-SA 4.0,https://stackoverflow.com/questions/71403622/variable-be-assign-or-refresh-unicode-characters-garbled-odi,Variable be assign or refresh Unicode characters garbled (ODI),,,
"['xsd', 'oracle-data-integrator', 'oracle-fusion-middleware']","{'account_id': 1653587, 'reputation': 1, 'user_id': 1523674, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6f3c38bb60a9caee0ab7d0952664542c?s=256&d=identicon&r=PG', 'display_name': 'akhamees', 'link': 'https://stackoverflow.com/users/1523674/akhamees'}",False,118,,1,0,1646984916,1646665403,71383048,CC BY-SA 4.0,https://stackoverflow.com/questions/71383048/is-there-a-way-to-handle-fields-with-only-spaces-using-odi,Is there a way to handle fields with only spaces using ODI?,,,
"['oracle', 'mapping', 'etl', 'integration', 'oracle-data-integrator']","{'account_id': 17225974, 'reputation': 45, 'user_id': 12471600, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDl2KmRayRdYYB1k4BmwgRjPtBKgyj3XP3MU1LTLg=k-s256', 'display_name': 'pawan rakesh', 'link': 'https://stackoverflow.com/users/12471600/pawan-rakesh'}",True,475,,2,1,1646985298,1643669392,70933760,CC BY-SA 4.0,https://stackoverflow.com/questions/70933760/ora-30483-window-functions-are-not-allowed-here-in-odi-mapping,ORA-30483: window functions are not allowed here in ODI Mapping,1643711981.0,,
"['sql', 'database', 'oracle', 'sqlperformance', 'oracle-data-integrator']","{'account_id': 10807203, 'reputation': 1, 'user_id': 7949012, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/47bfcdd122146ebafc02adfab178554d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'siddharth', 'link': 'https://stackoverflow.com/users/7949012/siddharth'}",False,508,,0,0,1643590032,1643419005,70901622,CC BY-SA 4.0,https://stackoverflow.com/questions/70901622/oracle-odi-12c-performance-tuning-how-to-add-hint,Oracle ODI 12c performance tuning how to add hint,1643590032.0,,
"['oracle', 'split', 'illegalstateexception', 'oracle-data-integrator']","{'account_id': 6294549, 'reputation': 313, 'user_id': 4891157, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/34a5e49a9bc17dd83cc33a0ab27d1fa3?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Tarek EZZAT', 'link': 'https://stackoverflow.com/users/4891157/tarek-ezzat'}",False,35,,0,0,1642567559,1642567559,70765407,CC BY-SA 4.0,https://stackoverflow.com/questions/70765407/java-lang-illegalstateexception-unable-to-replace-columns-in-splitter-table,java.lang.IllegalStateException: Unable to replace columns in splitter table,,,
"['oracle', 'join', 'lookup', 'oracle-data-integrator']","{'user_type': 'does_not_exist', 'display_name': 'user17104035'}",False,1880,,1,0,1642517170,1642502032,70754089,CC BY-SA 4.0,https://stackoverflow.com/questions/70754089/difference-between-lookup-and-join-in-oracle-data-integrator,Difference between lookup and join in oracle data integrator,1642502585.0,,
['oracle-data-integrator'],"{'account_id': 23225789, 'reputation': 1, 'user_id': 17317361, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4c74e9cf28095c2f1279234a904feea8?s=256&d=identicon&r=PG', 'display_name': 'juno2020', 'link': 'https://stackoverflow.com/users/17317361/juno2020'}",False,796,,1,0,1686315873,1640880461,70533987,CC BY-SA 4.0,https://stackoverflow.com/questions/70533987/restarting-odi-12c-load-plan-persistently-goes-to-the-else-step-of-a-case-step,Restarting ODI 12c load plan persistently goes to the else step of a case step,,,
"['oracle', 'oracle-data-integrator']","{'account_id': 15570453, 'reputation': 1, 'user_id': 11353680, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/97ef59aad77babea905d010e6a9c8d96?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Rwk88', 'link': 'https://stackoverflow.com/users/11353680/rwk88'}",False,869,,1,0,1637677660,1637358169,70041210,CC BY-SA 4.0,https://stackoverflow.com/questions/70041210/odi-12c-integration-knowledge-module-merge-when-using-reusable-mapping,ODI 12c integration knowledge module merge when using reusable mapping,1637677660.0,,
"['sql', 'oracle', 'duplicates', 'oracle-data-integrator']","{'account_id': 6369444, 'reputation': 63, 'user_id': 4942353, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/87feaca42502debdfff4e311b444daa5?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'quinsard99', 'link': 'https://stackoverflow.com/users/4942353/quinsard99'}",True,489,70034206.0,2,0,1637344025,1637306499,70031185,CC BY-SA 4.0,https://stackoverflow.com/questions/70031185/delete-duplicate-in-i-table-in-odi,Delete Duplicate in I$ table in ODI,1637306724.0,,
"['oracle', 'plsql', 'oracle-data-integrator']","{'account_id': 23225789, 'reputation': 1, 'user_id': 17317361, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4c74e9cf28095c2f1279234a904feea8?s=256&d=identicon&r=PG', 'display_name': 'juno2020', 'link': 'https://stackoverflow.com/users/17317361/juno2020'}",False,578,,0,0,1635932366,1635932366,69822611,CC BY-SA 4.0,https://stackoverflow.com/questions/69822611/odi-procedure-for-calling-a-stored-procedure-for-delete-doesnt-work-when-starte,ODI procedure for calling a stored procedure for delete doesn&#39;t work when started with the ODI agent,,,
"['oracle11g', 'oracle-data-integrator']","{'account_id': 11522600, 'reputation': 311, 'user_id': 8443929, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0e7c4c1836548e889001a660fecbb34d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'ZEESHAN ', 'link': 'https://stackoverflow.com/users/8443929/zeeshan'}",False,271,,0,1,1633272391,1633272391,69425945,CC BY-SA 4.0,https://stackoverflow.com/questions/69425945/how-to-delete-unwanted-records-in-the-target-table-in-oracle-data-integrator-od,How to delete unwanted records in the Target table in Oracle Data Integrator (ODI),,,
"['oracle', 'mapping', 'oracle-data-integrator']","{'account_id': 22689878, 'reputation': 35, 'user_id': 16858958, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyYDfrfdSNgMcnqUwg7Er6rxmEyHR5R1Xbeizw=k-s256', 'display_name': 'Sara Moradi', 'link': 'https://stackoverflow.com/users/16858958/sara-moradi'}",False,513,,2,1,1675163637,1633158684,69414784,CC BY-SA 4.0,https://stackoverflow.com/questions/69414784/odi-12c-no-object-could-be-dropped-on-the-diagram-possibly-because-the-chosen,ODI 12c - No object could be dropped on the diagram possibly because the chosen technologies in the &quot;Create As&quot; dialog were incorrect,,,
"['sql-server', 'oracle-data-integrator']","{'account_id': 19231796, 'reputation': 1, 'user_id': 14053512, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh1YJRpasR5tLXdEZLrZpUsjJ82frpORNGHX2IN-g=k-s256', 'display_name': 'David Makinde', 'link': 'https://stackoverflow.com/users/14053512/david-makinde'}",False,571,,0,0,1633003284,1632996313,69390269,CC BY-SA 4.0,https://stackoverflow.com/questions/69390269/oracle-data-integrator-model-not-showing-tables-after-reverse-engineering,Oracle Data Integrator Model not showing Tables after Reverse Engineering,1633003284.0,,
"['sql', 'oracle', 'oracle-data-integrator']","{'account_id': 16284898, 'reputation': 19, 'user_id': 11759891, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/257bee19ba34f03496a89d17b4a4e367?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'mojgan', 'link': 'https://stackoverflow.com/users/11759891/mojgan'}",False,297,,1,0,1629905170,1629892061,68922350,CC BY-SA 4.0,https://stackoverflow.com/questions/68922350/how-to-insert-default-value-in-odi,How to insert default value in odi?,,,
"['snowflake-cloud-data-platform', 'connectivity', 'oracle-data-integrator']","{'account_id': 22492378, 'reputation': 11, 'user_id': 16689936, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7de2ad0bab2783af436013d6742244a4?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Harman', 'link': 'https://stackoverflow.com/users/16689936/harman'}",False,315,,0,0,1650360312,1629215349,68820439,CC BY-SA 4.0,https://stackoverflow.com/questions/68820439/odi-connection-to-snowflake-using-jdbc-driver,ODI connection to Snowflake using JDBC driver,1629219102.0,,
"['oracle', 'oracle-data-integrator']","{'account_id': 17465934, 'reputation': 79, 'user_id': 12662673, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCwfQCCnJL9qSibybLhO18mKBOpDNgtst6idNaslw=k-s256', 'display_name': 'Luis Alberto Gonzalez Diaz', 'link': 'https://stackoverflow.com/users/12662673/luis-alberto-gonzalez-diaz'}",False,357,,1,-1,1629078341,1628859792,68772841,CC BY-SA 4.0,https://stackoverflow.com/questions/68772841/how-to-filter-by-column-length-in-odi,How to filter by column length in ODI?,1629078341.0,,
['oracle-data-integrator'],"{'account_id': 22326806, 'reputation': 1, 'user_id': 16548714, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/53308be46bbb6b503fd175d57bd38982?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'biweb', 'link': 'https://stackoverflow.com/users/16548714/biweb'}",False,576,,1,0,1628766566,1627498554,68565998,CC BY-SA 4.0,https://stackoverflow.com/questions/68565998/odi-groovy-scripts-that-set-the-begin-mapping-comand-end-mapping-command-wit,ODI - Groovy scripts that set the Begin Mapping Comand &amp; End Mapping Command with PL/SQL code,,,
"['java', 'oracle19c', 'oracle-data-integrator']","{'account_id': 22252462, 'reputation': 1, 'user_id': 16485142, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwJbbEL7AbdlaDcKu18YdYBmr7HZjx7gVBpcALG=k-s256', 'display_name': 'Pariwat Yimprayoon', 'link': 'https://stackoverflow.com/users/16485142/pariwat-yimprayoon'}",False,518,,1,0,1627721310,1626755237,68449550,CC BY-SA 4.0,https://stackoverflow.com/questions/68449550/how-to-fix-java-lang-noclassdeffounderror-javax-xml-bind-jaxbexception-on-odi12c,How to fix java.lang.noclassdeffounderror javax/xml/bind/jaxbexception on ODI12c List Software - Oracle DB19c - ODI 12c - JDK 11.0.11,1627721310.0,,
